cell_type,n_datasets,normalized_shannon_entropy_mean,kl_divergence_mean
B cell,3,0.6852778496771738,0.9196491856234522
plasma cell,3,0.8048963246615295,0.8629765884153736
"CD4-positive, alpha-beta T cell",3,0.46674494754046236,1.6154163329996356
pericyte,2,0.3429876291339292,4.612971479082695
capillary endothelial cell,2,0.759435566818632,2.4074617254299726
basal cell,3,0.7473063089991848,3.024172823219987
macrophage,2,0.6991938166425287,1.2128663618108524
lung multiciliated epithelial cell,2,0.2275210692642206,4.615227093578318
intermediate monocyte,2,0.6305498999372434,2.1739393484812632
respiratory tract goblet cell,2,0.6642556977605982,4.295503079058323
adventitial cell,2,0.1127562607878225,5.968231322936865
classical monocyte,2,0.5379217576343346,2.5330141694132924
club cell,2,0.13793352452910668,4.320222997712369
"CD8-positive, alpha-beta T cell",2,0.1271049762311858,2.5679151595228786
vein endothelial cell,1,0.24988229283318544,5.213892196421743
pulmonary alveolar type 2 cell,2,0.798094667319446,4.240254158485502
mature NK T cell,1,0.2875965590943589,2.2822121800799913
neutrophil,1,0.0,3.7133613902003746
basophil,1,0.07748681069642112,3.379000084212531
pulmonary alveolar type 1 cell,1,0.2521079810389514,5.954700987487993
alveolar adventitial fibroblast,1,0.33464897597846643,6.110413629933162
natural killer cell,1,0.2580186686648155,2.7443790517342346
endothelial cell of artery,1,0.40145000261284725,5.29433385601196
