srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,lung multiciliated epithelial cell,"CD8-positive, alpha-beta T cell",plasma cell,intermediate monocyte,pulmonary alveolar type 2 cell,club cell,pulmonary alveolar type 1 cell,capillary endothelial cell,respiratory tract goblet cell,endothelial cell of lymphatic vessel,classical monocyte,basophil,macrophage,basal cell,,endothelial cell of artery,bronchial smooth muscle cell,monocyte,vein endothelial cell,mature NK T cell,adventitial cell,pericyte,neutrophil,alveolar adventitial fibroblast,endothelial cell,smooth muscle cell,fibroblast,erythrocyte,mast cell,sebocyte,T cell,melanocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
ERX11662371,1.5390810062606486,2.423596691788946,0.7192049281561745,1.7561177365297438,2.3683147243789735,0.7604264474101796,2.8165896485410267,2.8205333422465633,3.197291302012412,4.5628011583443415,2.8524288284613033,3.8183963658061923,6.51118788764512,2.9664601085841396,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662373,2.8439227903485964,2.4029857483371706,0.7281517759753494,,2.1558088492200107,,1.1990210207206704,,,,,,,3.0564383104052397,5.553964693079871,3.111769777782691,3.0436141161791688,,,,,,,,,,,,,,,,,,,,,,
SRX19233503,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662385,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX8831394,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662370,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
SRX20098024,,,2.0027982173828653,,,4.322157583735044,,,,,,0.7829694462761089,,,,,0.15588708247925162,,,,,,,,,,,,,,,,,,,,,,
ERX11662369,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
SRX22613097,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
SRX19233504,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662357,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662375,3.2409479542733046,4.672594722076285,2.3665683137085396,2.5969511694757688,4.489001341171594,2.542778385435063,3.4938712259820517,6.029484601980727,4.052830512509523,5.239410922745675,,3.4186675756304097,,3.3869761939371097,,0.5418387945315798,3.9623158049033225,,,,,,,,,,,,,,,,,,,,,,
ERX8831397,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662384,1.2572766059595533,1.7108013353458658,1.0083244458856733,,1.4216541758641572,2.7027205685975377,2.381122598018836,,,,,,,2.6924390342255577,,1.9278302286841917,,,,,,,,,,,,,,,,,,,,,,,
SRX22613099,,,,,,,,,,0.665129115836277,,,,,,,0.005224949354581527,,0.1676914374161003,0.07908981701284455,,,,,,,,,,,,,,,,,,,
ERX11662361,1.3267157000340517,1.75519245881592,1.1492846527884797,,0.8344185984363157,,1.75640078840793,,,,,,,1.4494401085280828,,2.497854281915412,,,,,2.731619890025814,,,,,,,,,,,,,,,,,,
SRX22613094,,,,,,,,0.06454242335099616,,0.1776556760374929,,0.02830802426068572,,,,,0.008933883560742,,,,,0.011940683866780594,,,,,,,,,,,,,,,,,
ERX11662382,1.642481610366417,2.422236316728794,1.8034782629333785,2.5126558960932015,1.4628345375986678,2.939993538316894,2.9142906922438034,,3.6071228006857003,5.231852750585515,,4.0018913101077755,,3.1482040412738663,,2.093194154690055,,,,,,,,,,,,,,,,,,,,,,,
SRX22613095,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662360,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662381,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
SRX22613098,,,0.2389507019944774,,,,,,,0.5093233988655619,,0.0668327904740293,,,,,0.04565031344378858,,0.7721766677793487,0.22476812695779885,,0.04435105028259248,,,,,,,,,,,,,,,,,
ERX11662367,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662376,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX8831396,,,0.0,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
SRX10327362,,,2.6184554178812434,1.8099490720251756,,2.839851436230738,,,,,,0.813884161058878,,,,,0.8745112522811112,2.940154781180001,,,,,,,,,,,,,,,,,,,,,
ERX11662377,0.9037933368129701,1.8160851714062094,1.2469357680016244,4.56752745397088,0.93904314024284,3.0636304320339636,1.0591908896496904,3.2984019711433223,3.08319821903858,4.244147548833937,1.346353798845503,2.9013939457800144,,1.5183377332652621,4.372463387112923,0.5019151289825201,2.0132419549584304,1.3792686584364753,2.830289163347785,,,,1.3438902922816927,,,,,,,,,,,,,,,,
ERX11662338,1.2100057369132118,3.5879158181105035,2.107418673914349,4.101084888157468,3.0068457720144632,1.025246607981375,3.1822881062348802,5.805935107753861,5.805935107753861,,,5.217978412748511,,3.263777871437429,7.055788067404339,1.053822736124579,,1.1133049411811895,,,,,,,,,,,,,,,,,,,,,
ERX11876760,1.9314346698678544,3.4743184370371636,1.5906249380346946,,3.4743184370371636,1.3833886529426578,,,,,3.3844911910282223,2.893761913163103,3.865818994284722,,4.019178074183702,5.37197656331077,1.9234115603619164,,1.8402300044699047,3.628349299587871,,1.459764457267688,3.1515515132627665,1.7479218942291352,3.7497026223867578,4.533243280329952,4.037798250934958,,,,,,,,,,,,
SRX19192164,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11876767,0.4149638210223883,,0.9062880651089077,,0.4366055890461653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876763,0.001717171152080962,,0.1161294551841527,,0.06990109142239444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876750,,,3.096544913593415,,,2.852921201428904,,,,,,3.633702217024934,,,,3.538829572686434,2.5779985543325243,,2.2209251461601305,1.0738164713932523,,2.231114567653515,,1.2773152531108767,1.4201628579157388,6.424474254886934,2.8053982691496557,,,,,,,,,,,,
ERX11662378,0.42567680429951776,,0.5958304079097766,1.8351550228135887,0.06615567958035075,1.0498899058806674,1.943972682699648,1.911390247409826,,,1.0356820347173465,1.9027925158018002,0.49139220004768586,0.9986927918614135,6.856183757702752,1.8944874423131273,1.84176834937122,0.5215926476468721,,,,1.5808587284802604,0.8093773329650507,0.9232571466237488,,,,,,,,,,,,,,,
SRX26771412,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662364,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662366,0.9689229102785475,5.5819941323732465,1.257196530268245,,1.8261461633220335,2.8341787404057865,2.0562246175945265,,,,,,,2.262115787207369,7.290023264072743,2.232077740642439,2.5664335312717155,0.9724327046914549,,,,,,,,7.94279046078019,,,,,,,,,,,,,
ERX11876753,,,2.029391139474523,,,4.27261158171245,,,,,,2.4514736348138357,,,,,1.982222937155636,,3.597571532046813,0.5817529586122145,,2.6171931928488825,,0.46173006911160147,1.4491886521017605,,0.9680172541701044,,,,,,,,,,,,
ERX11876755,,5.74604137320504,2.8994056667028962,4.495903961385689,,3.5986581733610086,,3.9272763513682123,3.52850321508388,,4.132284171877889,3.8981484487017255,4.25432138082909,,,4.564542517175192,2.1338570133260095,,2.588135718853315,5.110674517836765,,2.511546014709806,,0.9063628666079502,,6.040224477609498,1.4999681455733662,,,,,,,,,,,,
ERX11876768,0.7468835553670216,,0.4131295842351727,,,2.1832878809923364,,3.333322357676244,2.910379263204536,,,2.1907498953712787,,,,,0.39912154221584456,,,0.5190505542080845,,3.6173589969394344,,2.0899071708269616,0.7761379766689148,,,,,,,,,,,,,,
ERX11876754,3.867125784462986,6.409196419229735,2.7640048771305077,,4.8583499024956405,2.716315065387687,,3.4863107130637223,3.8987560157014096,5.72372712975818,3.26763579855023,3.060334892984186,6.187160967094418,,,3.570016662934124,2.792264863439692,,1.9045178786330605,2.6137490122127236,,1.4156150382599682,,2.1422774939877915,3.0348316048315107,5.792864901922745,2.9377596078325583,,,,,,,,,,,,
ERX11876765,0.5120697203472866,5.459380995013733,1.7311063137534763,,0.6352203327724509,4.358743213823474,5.889341955292919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876769,,,2.555273865757681,,,,,,,,,3.7468395641540537,,,,4.276245849254172,3.471370616127599,0.4301354750194409,,0.18158196343545524,,4.25305313111849,,2.248983097601657,0.3274066828931952,,3.994653294471794,,,,,,,,,,,,
SRX18248070,3.211602939852102,,2.008314022692841,6.2534948313321435,4.261745325287005,1.6688482662204358,,4.7502336431572525,4.613245614684062,,3.909962994276438,6.571193577930155,,3.777264524391065,7.9842889820192795,0.19011653519115884,,,,,,,4.209135168208022,,,,,,,,,,,,,,,,
SRX22996343,1.363732754588976,,0.698325861236311,6.247165624709313,2.99824996256234,1.6818256817642585,2.597131530900634,4.337574458184328,,,,4.783188917015518,,2.892409491150297,6.337574458184329,2.6625094004956,,,,,,6.751611613755376,,,,,,,,,,,,,,,,,
ERX11876770,5.153778277993817,,2.590230794736705,,,,,3.0070756145644855,2.5024756272590354,,3.5459031265179575,2.26202262470464,5.683590533448871,6.046159255272923,6.246610175442392,4.120794169582018,1.8648684158801978,,2.3205563958942976,3.364747773063692,,1.9671001546663656,,2.1746886559294443,4.074004428657891,5.906080594335301,4.35797774687814,,,,,,,,,,,,
ERX11876758,,,1.6440200017491382,,5.239650410757387,1.269033988276658,,6.400642287429693,,,1.4211618956098333,2.8036505281027346,5.075253716810431,,6.400704271105009,4.480685655401087,2.32370503386589,,1.718310188839104,1.6490081175867395,,1.5059064956427048,,1.995971386589809,2.5441815461283297,,2.305193920810419,,,,,,,,,,,,
ERX11876751,,,3.17579055468108,,,4.89922329919381,,,,,,3.17755628230552,,,,2.831542841575167,2.434981210346985,,4.707877532303838,0.8455701844439608,,3.266452854579031,,1.0306936631429509,1.2981946754912093,,2.7183879354545235,,,,,,,,,,,,
SRX22996310,1.2269072218218502,3.1239275744710584,1.0160767767008796,4.464687344088793,1.6282638072801636,0.9897261179040712,2.7041753265444752,4.299810960897363,,4.392794425607007,4.430440102960892,5.992660050000033,6.655828831440801,2.7192253007624636,6.314791913605734,2.0943174201271337,,,4.8286891997353,,,,2.2916160258845464,,,,,,,,,,,,,,,,
SRX22996385,0.6880018898583548,2.7702454870846744,1.3091954192804505,,1.7490854486690788,1.7400267232002933,2.3871192854970964,,,,,,,2.384951174900492,4.689529733501204,2.5023513104785233,,0.463503625928355,,,,,2.635393352923903,,,,,,,,,,,,,,,,
SRX22996351,0.8792678113175176,1.296045460584188,0.6966152608191962,7.160231605238469,0.9863802633935125,,2.7774439424309447,5.700799986601171,,,,,,2.772812539293982,5.358805372369069,4.047084526017654,,,,,,,1.225459248620019,,,,,,,,,,,,,,,,
SRX26487574,0.08203304239445433,,0.5644002123849562,,0.9909540428351563,0.8033359318153209,6.498767011975897,,,,,,,5.056866124497713,,,,0.16299983014575084,,,,,2.1472607297029884,,,,,,,,,,,,,,,,
SRX20407496,3.0226700924495336,,0.7493959656696083,,4.289789753275254,0.7150891239451646,3.8269586828268283,5.038665788652658,,5.038665788652658,2.488302230838814,,,4.524751385404742,1.4275016033725203,0.845516290499311,,,3.789570573776737,,,,,,,,,,,,,,,,,,,,
SRX25038166,0.6514024724784202,2.945187115370617,0.7807284428221899,4.553900522490622,1.9384263576649217,0.3554990387827718,,3.5579410502525453,,,2.240613857573489,5.822169769732699,,1.0177351972797815,6.028055382543705,0.5584058527352266,,,6.364021632532839,,,,2.621945303466017,,,,,,,,,,,,,,,,
SRX22996360,2.9671499779232478,,1.1262005232221595,5.501568391199601,,1.2001493228606703,,3.2872712182269175,1.0763513919427672,,1.24705909079075,1.0691245502724465,,,3.3432555987396286,3.142194238294806,1.7026332157995456,,3.345914983411817,3.0632652050408677,,3.5739739565690964,,2.711098458208049,3.9432760509870586,,,,,,,,,,,,,,
ERX11876748,4.061044025809154,,3.4434300040834525,,,3.217941227835172,,5.777149620203959,2.7260475797037453,,4.724733704294804,2.1838471956560173,,,,3.463361822713392,1.9265867645698065,,4.269744016853948,1.4541853731914485,,3.547213727071739,,1.1929306050947628,1.4804619943183412,,2.2658618454804498,,,,,,,,,,,,
SRX22996331,0.6146294533519793,,0.944914673757446,,1.937999078435408,,3.083100963281289,,,,,,,3.7847872494206283,,3.2988773731578553,3.3724230095779806,,,,,,,,,,,,,,,,,,,,,,
SRX24313469,1.6174481332120556,,0.7006929981845162,,,1.2212845822420273,,,,,,,,,,4.267480310864986,0.40962528336711546,1.9754483884759353,,,,0.7695395778652363,,0.8210261107752946,,,,,,,,,,,,,,,
SRX22996346,1.9688504313704775,,0.7147327610693123,4.751104445009363,4.356913091636375,1.591941836161947,,1.441784099110467,1.7847750381938292,,1.004936167541695,1.1112287605687678,,,4.928626817873482,2.9012220425513564,,,2.7334122463160813,,,2.9909413872588333,,6.132533551645388,5.690791389516322,,,,,,,,,,,,,,
SRX22996320,1.576267536662933,4.036942844798256,1.0454838590283584,,3.061931231107348,1.0978495955796714,3.6712121386769803,4.423411191880329,,,3.5912907432570997,2.1685109194025305,,3.703999541714325,,4.16250911670901,,,,,,,3.5559591162501065,,,,,,,,,,,,,,,,
SRX22996348,2.3064130711763733,,0.9248354795997225,4.639989930413517,4.7027989910150145,1.355906245753363,,2.043813175559338,2.1216890473089336,,1.4345365286934795,1.8107099602141403,6.502500340529184,,5.107640723187969,2.9866845953533363,,,2.8326609845693724,,,3.0770260093894217,,6.212993723334198,6.198399858681452,,,,,,,,,,,,,,
SRX22996378,2.280142450939985,1.78471956350839,1.1047631131273197,3.3850652804109114,1.489613509179998,,3.258077075923722,4.7075584957788355,4.902986141152603,4.99808469074574,3.3388915374450243,4.288566828838912,7.112439506781552,3.3791194223353727,6.94251450533924,2.628820389456664,5.217112119424237,2.2494297842785533,4.76863639879255,,,,1.7310015367697371,6.173840051445697,,,,,,,,,,,,,,,
SRX22996356,0.7999212548819853,,1.091980707547928,,1.8840048312027324,1.1793461828530984,2.5852742667562953,,3.061783200585361,,,3.0834704033253906,,2.754158612302254,4.971722045672935,3.1237181712766717,2.47420577369141,,,,,6.231670100661024,,6.60219920564646,,,,,,,,,,,,,,,
SRX22996333,0.6080943473766297,,0.8244288955594147,,2.0139689083071497,,3.2738029515193707,,,,,,,3.2738029515193707,,3.2738029515193707,1.99453490726578,,,,,,,,,,,,,,,,,,,,,,
SRX22996323,0.695077409122596,1.9136610839929802,1.4574114098503794,6.596655667674663,1.7039408014068775,,3.1810129582811757,5.55226154831621,,,5.602219489404946,6.437199144093228,,3.3227271446690017,5.204338244895903,3.7188870819185507,,,,,,,1.9136610839929802,,,,,,,,,,,,,,,,
SRX26487567,1.397197712641084,4.062256600324615,0.8937287912199781,3.0583610876709524,3.625073897266957,2.0685054612153952,2.7598319013755948,3.2544833784242613,1.9189247646563357,3.625281261843262,3.120680968386867,1.626945352275716,7.038553240769394,2.9668911370823348,4.383882875741337,1.9764384124425962,2.8285996723982914,1.5023118483222055,4.822495820309514,4.721442162179807,,,,3.832839222699442,3.6946049723035697,,4.721442162179807,,,,,,,,,,,,
SRX22996328,1.2977229755892472,,0.7227832182077413,5.932087070598304,2.9587666258485896,1.810291975605985,3.2500665037458147,4.679009233154397,,,,4.9353076530246005,,3.597806188080953,6.845109844053022,2.792089324429647,,,,,,6.731567319119081,,,,,,,,,,,,,,,,,
SRX26487572,0.08122464419367686,,0.36894409253312876,,1.0766826140687948,,6.68289428856948,,,,,,,,,6.2149105267276825,,0.5637009203073167,,,,,,,,,,,,,,,,,,,,,
SRX27313889,,,0.021946408750210672,,,0.2581734659308947,,,,,,,,,,,0.0018087223221675938,0.06943439804407152,0.1662583355144045,0.6603451888780326,,0.2592525439436462,,0.11325574982471225,,,,,,,,,,,,,,,
