position,srx,status,r2_file,timestamp,error
1/801,ERX11662371,success,clustered_20260509/ERX11662371_clustered.h5ad,2026-05-09 21:43:50,
3/801,ERX11662373,success,clustered_20260509/ERX11662373_clustered.h5ad,2026-05-09 21:43:52,
2/801,SRX19233503,success,clustered_20260509/SRX19233503_clustered.h5ad,2026-05-09 21:44:03,
4/801,ERX11662385,success,clustered_20260509/ERX11662385_clustered.h5ad,2026-05-09 21:44:28,
13/801,ERX8831394,success,clustered_20260509/ERX8831394_clustered.h5ad,2026-05-09 21:44:56,
8/801,ERX11662370,success,clustered_20260509/ERX11662370_clustered.h5ad,2026-05-09 21:45:54,
15/801,SRX20098024,success,clustered_20260509/SRX20098024_clustered.h5ad,2026-05-09 21:46:43,
9/801,ERX11662369,success,clustered_20260509/ERX11662369_clustered.h5ad,2026-05-09 21:47:03,
16/801,SRX22613097,success,clustered_20260509/SRX22613097_clustered.h5ad,2026-05-09 21:47:25,
17/801,SRX19233504,success,clustered_20260509/SRX19233504_clustered.h5ad,2026-05-09 21:48:36,
5/801,ERX11662357,success,clustered_20260509/ERX11662357_clustered.h5ad,2026-05-09 21:49:14,
19/801,ERX11662375,success,clustered_20260509/ERX11662375_clustered.h5ad,2026-05-09 21:49:47,
14/801,ERX8831397,success,clustered_20260509/ERX8831397_clustered.h5ad,2026-05-09 21:50:00,
21/801,ERX11662384,success,clustered_20260509/ERX11662384_clustered.h5ad,2026-05-09 21:50:29,
23/801,SRX22613099,success,clustered_20260509/SRX22613099_clustered.h5ad,2026-05-09 21:51:47,
22/801,ERX11662361,success,clustered_20260509/ERX11662361_clustered.h5ad,2026-05-09 21:51:59,
24/801,SRX22613094,success,clustered_20260509/SRX22613094_clustered.h5ad,2026-05-09 21:52:14,
26/801,ERX11662382,success,clustered_20260509/ERX11662382_clustered.h5ad,2026-05-09 21:52:52,
25/801,SRX22613095,success,clustered_20260509/SRX22613095_clustered.h5ad,2026-05-09 21:53:39,
6/801,ERX11662360,success,clustered_20260509/ERX11662360_clustered.h5ad,2026-05-09 21:54:05,
20/801,ERX11662381,success,clustered_20260509/ERX11662381_clustered.h5ad,2026-05-09 21:54:55,
29/801,SRX22613098,success,clustered_20260509/SRX22613098_clustered.h5ad,2026-05-09 21:55:20,
10/801,ERX11662367,success,clustered_20260509/ERX11662367_clustered.h5ad,2026-05-09 21:55:39,
18/801,ERX11662376,success,clustered_20260509/ERX11662376_clustered.h5ad,2026-05-09 21:56:51,
31/801,ERX8831396,success,clustered_20260509/ERX8831396_clustered.h5ad,2026-05-09 21:57:09,
33/801,SRX10327362,success,clustered_20260509/SRX10327362_clustered.h5ad,2026-05-09 21:57:46,
11/801,ERX11662377,success,clustered_20260509/ERX11662377_clustered.h5ad,2026-05-09 21:59:25,
30/801,ERX11662338,success,clustered_20260509/ERX11662338_clustered.h5ad,2026-05-09 21:59:36,
36/801,ERX11876760,success,clustered_20260509/ERX11876760_clustered.h5ad,2026-05-09 21:59:37,
32/801,SRX19192164,success,clustered_20260509/SRX19192164_clustered.h5ad,2026-05-09 22:00:02,
38/801,ERX11876767,success,clustered_20260509/ERX11876767_clustered.h5ad,2026-05-09 22:00:20,
37/801,ERX11876763,success,clustered_20260509/ERX11876763_clustered.h5ad,2026-05-09 22:00:27,
35/801,ERX11876750,success,clustered_20260509/ERX11876750_clustered.h5ad,2026-05-09 22:00:30,
12/801,ERX11662378,success,clustered_20260509/ERX11662378_clustered.h5ad,2026-05-09 22:00:44,
34/801,SRX26771412,success,clustered_20260509/SRX26771412_clustered.h5ad,2026-05-09 22:01:22,
7/801,ERX11662364,success,clustered_20260509/ERX11662364_clustered.h5ad,2026-05-09 22:01:43,
27/801,ERX11662366,success,clustered_20260509/ERX11662366_clustered.h5ad,2026-05-09 22:01:53,
42/801,ERX11876753,success,clustered_20260509/ERX11876753_clustered.h5ad,2026-05-09 22:01:54,
40/801,ERX11876755,success,clustered_20260509/ERX11876755_clustered.h5ad,2026-05-09 22:02:00,
44/801,ERX11876768,success,clustered_20260509/ERX11876768_clustered.h5ad,2026-05-09 22:02:00,
41/801,ERX11876754,success,clustered_20260509/ERX11876754_clustered.h5ad,2026-05-09 22:02:10,
47/801,ERX11876765,success,clustered_20260509/ERX11876765_clustered.h5ad,2026-05-09 22:02:30,
43/801,ERX11876769,success,clustered_20260509/ERX11876769_clustered.h5ad,2026-05-09 22:02:47,
39/801,SRX18248070,success,clustered_20260509/SRX18248070_clustered.h5ad,2026-05-09 22:02:49,
50/801,SRX22996343,success,clustered_20260509/SRX22996343_clustered.h5ad,2026-05-09 22:03:00,
49/801,ERX11876770,success,clustered_20260509/ERX11876770_clustered.h5ad,2026-05-09 22:03:04,
45/801,ERX11876758,success,clustered_20260509/ERX11876758_clustered.h5ad,2026-05-09 22:03:17,
46/801,ERX11876751,success,clustered_20260509/ERX11876751_clustered.h5ad,2026-05-09 22:03:26,
56/801,SRX22996310,success,clustered_20260509/SRX22996310_clustered.h5ad,2026-05-09 22:03:59,
53/801,SRX22996385,success,clustered_20260509/SRX22996385_clustered.h5ad,2026-05-09 22:04:05,
55/801,SRX22996351,success,clustered_20260509/SRX22996351_clustered.h5ad,2026-05-09 22:04:06,
48/801,SRX26487574,success,clustered_20260509/SRX26487574_clustered.h5ad,2026-05-09 22:04:16,
51/801,SRX20407496,success,clustered_20260509/SRX20407496_clustered.h5ad,2026-05-09 22:04:42,
57/801,SRX25038166,success,clustered_20260509/SRX25038166_clustered.h5ad,2026-05-09 22:04:45,
59/801,SRX22996360,success,clustered_20260509/SRX22996360_clustered.h5ad,2026-05-09 22:04:55,
52/801,ERX11876748,success,clustered_20260509/ERX11876748_clustered.h5ad,2026-05-09 22:04:58,
62/801,SRX22996331,success,clustered_20260509/SRX22996331_clustered.h5ad,2026-05-09 22:05:08,
54/801,SRX24313469,success,clustered_20260509/SRX24313469_clustered.h5ad,2026-05-09 22:05:14,
64/801,SRX22996346,success,clustered_20260509/SRX22996346_clustered.h5ad,2026-05-09 22:05:32,
63/801,SRX22996320,success,clustered_20260509/SRX22996320_clustered.h5ad,2026-05-09 22:05:35,
65/801,SRX22996348,success,clustered_20260509/SRX22996348_clustered.h5ad,2026-05-09 22:05:44,
67/801,SRX22996378,success,clustered_20260509/SRX22996378_clustered.h5ad,2026-05-09 22:06:22,
66/801,SRX22996356,success,clustered_20260509/SRX22996356_clustered.h5ad,2026-05-09 22:06:32,
69/801,SRX22996333,success,clustered_20260509/SRX22996333_clustered.h5ad,2026-05-09 22:06:37,
68/801,SRX22996323,success,clustered_20260509/SRX22996323_clustered.h5ad,2026-05-09 22:06:37,
60/801,SRX26487567,success,clustered_20260509/SRX26487567_clustered.h5ad,2026-05-09 22:06:43,
76/801,SRX22146401,failed,,2026-05-09 22:06:45,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required."
70/801,SRX22996328,success,clustered_20260509/SRX22996328_clustered.h5ad,2026-05-09 22:06:47,
61/801,SRX26487572,success,clustered_20260509/SRX26487572_clustered.h5ad,2026-05-09 22:07:00,
58/801,SRX27313889,success,clustered_20260509/SRX27313889_clustered.h5ad,2026-05-09 22:07:00,
72/801,SRX22996322,success,clustered_20260509/SRX22996322_clustered.h5ad,2026-05-09 22:07:03,
73/801,SRX24732577,success,clustered_20260509/SRX24732577_clustered.h5ad,2026-05-09 22:07:10,
71/801,SRX22996369,success,clustered_20260509/SRX22996369_clustered.h5ad,2026-05-09 22:07:27,
81/801,SRX22159982,success,clustered_20260509/SRX22159982_clustered.h5ad,2026-05-09 22:07:52,
74/801,SRX10425169,success,clustered_20260509/SRX10425169_clustered.h5ad,2026-05-09 22:07:53,
28/801,ERX11662359,success,clustered_20260509/ERX11662359_clustered.h5ad,2026-05-09 22:07:54,
80/801,SRX22996382,success,clustered_20260509/SRX22996382_clustered.h5ad,2026-05-09 22:07:56,
82/801,SRX22996352,success,clustered_20260509/SRX22996352_clustered.h5ad,2026-05-09 22:07:59,
78/801,SRX20221194,success,clustered_20260509/SRX20221194_clustered.h5ad,2026-05-09 22:08:09,
83/801,SRX22996373,success,clustered_20260509/SRX22996373_clustered.h5ad,2026-05-09 22:08:14,
75/801,SRX22996392,success,clustered_20260509/SRX22996392_clustered.h5ad,2026-05-09 22:08:22,
84/801,SRX19844830,success,clustered_20260509/SRX19844830_clustered.h5ad,2026-05-09 22:08:33,
86/801,SRX22996309,success,clustered_20260509/SRX22996309_clustered.h5ad,2026-05-09 22:08:45,
91/801,SRX19844849,success,clustered_20260509/SRX19844849_clustered.h5ad,2026-05-09 22:08:55,
94/801,SRX19704124,failed,,2026-05-09 22:08:57,InsufficientCellsError: 51 cells remaining after filtering (threshold: 500)
90/801,SRX19886043,success,clustered_20260509/SRX19886043_clustered.h5ad,2026-05-09 22:09:09,
85/801,SRX17689201,success,clustered_20260509/SRX17689201_clustered.h5ad,2026-05-09 22:09:13,
87/801,SRX22996384,success,clustered_20260509/SRX22996384_clustered.h5ad,2026-05-09 22:09:22,
88/801,SRX19727430,success,clustered_20260509/SRX19727430_clustered.h5ad,2026-05-09 22:09:23,
79/801,SRX21460097,success,clustered_20260509/SRX21460097_clustered.h5ad,2026-05-09 22:09:24,
77/801,SRX21460119,success,clustered_20260509/SRX21460119_clustered.h5ad,2026-05-09 22:09:39,
92/801,SRX18248067,success,clustered_20260509/SRX18248067_clustered.h5ad,2026-05-09 22:09:44,
89/801,ERX11876757,success,clustered_20260509/ERX11876757_clustered.h5ad,2026-05-09 22:09:48,
97/801,SRX22996312,success,clustered_20260509/SRX22996312_clustered.h5ad,2026-05-09 22:09:53,
98/801,SRX22996341,success,clustered_20260509/SRX22996341_clustered.h5ad,2026-05-09 22:10:02,
96/801,SRX19886028,success,clustered_20260509/SRX19886028_clustered.h5ad,2026-05-09 22:10:04,
93/801,SRX19886032,success,clustered_20260509/SRX19886032_clustered.h5ad,2026-05-09 22:10:06,
101/801,SRX19844834,success,clustered_20260509/SRX19844834_clustered.h5ad,2026-05-09 22:10:32,
99/801,SRX22996316,success,clustered_20260509/SRX22996316_clustered.h5ad,2026-05-09 22:10:36,
103/801,SRX19844831,success,clustered_20260509/SRX19844831_clustered.h5ad,2026-05-09 22:10:40,
95/801,SRX23231247,success,clustered_20260509/SRX23231247_clustered.h5ad,2026-05-09 22:10:42,
106/801,SRX17689199,success,clustered_20260509/SRX17689199_clustered.h5ad,2026-05-09 22:10:48,
105/801,SRX22996388,success,clustered_20260509/SRX22996388_clustered.h5ad,2026-05-09 22:10:50,
102/801,SRX25038163,success,clustered_20260509/SRX25038163_clustered.h5ad,2026-05-09 22:10:58,
107/801,SRX19704151,success,clustered_20260509/SRX19704151_clustered.h5ad,2026-05-09 22:11:14,
110/801,SRX22996339,success,clustered_20260509/SRX22996339_clustered.h5ad,2026-05-09 22:11:22,
104/801,SRX19704161,success,clustered_20260509/SRX19704161_clustered.h5ad,2026-05-09 22:11:35,
108/801,SRX22996374,success,clustered_20260509/SRX22996374_clustered.h5ad,2026-05-09 22:11:47,
109/801,SRX19704122,success,clustered_20260509/SRX19704122_clustered.h5ad,2026-05-09 22:11:48,
111/801,SRX19886030,success,clustered_20260509/SRX19886030_clustered.h5ad,2026-05-09 22:11:50,
114/801,SRX19704126,success,clustered_20260509/SRX19704126_clustered.h5ad,2026-05-09 22:11:51,
115/801,ERX11876764,success,clustered_20260509/ERX11876764_clustered.h5ad,2026-05-09 22:12:07,
100/801,SRX25319036,success,clustered_20260509/SRX25319036_clustered.h5ad,2026-05-09 22:12:08,
112/801,SRX22996383,success,clustered_20260509/SRX22996383_clustered.h5ad,2026-05-09 22:12:09,
113/801,SRX22996334,success,clustered_20260509/SRX22996334_clustered.h5ad,2026-05-09 22:12:21,
117/801,SRX17689198,success,clustered_20260509/SRX17689198_clustered.h5ad,2026-05-09 22:12:29,
118/801,SRX17689200,success,clustered_20260509/SRX17689200_clustered.h5ad,2026-05-09 22:12:47,
121/801,SRX17689203,success,clustered_20260509/SRX17689203_clustered.h5ad,2026-05-09 22:12:47,
120/801,SRX17689204,success,clustered_20260509/SRX17689204_clustered.h5ad,2026-05-09 22:12:50,
122/801,SRX17689205,success,clustered_20260509/SRX17689205_clustered.h5ad,2026-05-09 22:12:51,
126/801,SRX22834774,success,clustered_20260509/SRX22834774_clustered.h5ad,2026-05-09 22:13:10,
123/801,SRX17689210,success,clustered_20260509/SRX17689210_clustered.h5ad,2026-05-09 22:13:14,
119/801,SRX17689197,success,clustered_20260509/SRX17689197_clustered.h5ad,2026-05-09 22:13:16,
127/801,SRX19727427,success,clustered_20260509/SRX19727427_clustered.h5ad,2026-05-09 22:13:26,
124/801,SRX17664572,success,clustered_20260509/SRX17664572_clustered.h5ad,2026-05-09 22:13:28,
116/801,SRX19704198,success,clustered_20260509/SRX19704198_clustered.h5ad,2026-05-09 22:13:38,
130/801,SRX22996325,success,clustered_20260509/SRX22996325_clustered.h5ad,2026-05-09 22:13:42,
128/801,SRX22226502,success,clustered_20260509/SRX22226502_clustered.h5ad,2026-05-09 22:13:44,
138/801,SRX17941758,failed,,2026-05-09 22:13:45,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required."
129/801,SRX22996344,success,clustered_20260509/SRX22996344_clustered.h5ad,2026-05-09 22:13:55,
125/801,SRX23619806,success,clustered_20260509/SRX23619806_clustered.h5ad,2026-05-09 22:13:55,
134/801,SRX17896694,success,clustered_20260509/SRX17896694_clustered.h5ad,2026-05-09 22:14:09,
135/801,SRX17689209,success,clustered_20260509/SRX17689209_clustered.h5ad,2026-05-09 22:14:11,
136/801,SRX17896691,success,clustered_20260509/SRX17896691_clustered.h5ad,2026-05-09 22:14:33,
131/801,SRX23619807,success,clustered_20260509/SRX23619807_clustered.h5ad,2026-05-09 22:14:37,
142/801,SRX24073315,success,clustered_20260509/SRX24073315_clustered.h5ad,2026-05-09 22:14:53,
132/801,SRX23619809,success,clustered_20260509/SRX23619809_clustered.h5ad,2026-05-09 22:14:53,
133/801,SRX23838225,success,clustered_20260509/SRX23838225_clustered.h5ad,2026-05-09 22:14:59,
143/801,SRX24073303,success,clustered_20260509/SRX24073303_clustered.h5ad,2026-05-09 22:14:59,
137/801,SRX16217005,success,clustered_20260509/SRX16217005_clustered.h5ad,2026-05-09 22:15:25,
147/801,SRX24073304,success,clustered_20260509/SRX24073304_clustered.h5ad,2026-05-09 22:15:43,
146/801,SRX24073324,success,clustered_20260509/SRX24073324_clustered.h5ad,2026-05-09 22:15:46,
145/801,SRX24073302,success,clustered_20260509/SRX24073302_clustered.h5ad,2026-05-09 22:16:12,
141/801,SRX12868714,success,clustered_20260509/SRX12868714_clustered.h5ad,2026-05-09 22:16:19,
139/801,SRX16217016,success,clustered_20260509/SRX16217016_clustered.h5ad,2026-05-09 22:16:39,
151/801,SRX24073325,success,clustered_20260509/SRX24073325_clustered.h5ad,2026-05-09 22:16:42,
150/801,SRX24073314,success,clustered_20260509/SRX24073314_clustered.h5ad,2026-05-09 22:16:58,
144/801,SRX14891764,success,clustered_20260509/SRX14891764_clustered.h5ad,2026-05-09 22:17:12,
152/801,SRX15263316,success,clustered_20260509/SRX15263316_clustered.h5ad,2026-05-09 22:17:35,
154/801,SRX24073318,success,clustered_20260509/SRX24073318_clustered.h5ad,2026-05-09 22:17:44,
148/801,SRX14891759,success,clustered_20260509/SRX14891759_clustered.h5ad,2026-05-09 22:17:44,
153/801,SRX24073312,success,clustered_20260509/SRX24073312_clustered.h5ad,2026-05-09 22:18:01,
156/801,SRX24073319,success,clustered_20260509/SRX24073319_clustered.h5ad,2026-05-09 22:18:29,
160/801,SRX24073307,success,clustered_20260509/SRX24073307_clustered.h5ad,2026-05-09 22:18:46,
164/801,SRX18248068,success,clustered_20260509/SRX18248068_clustered.h5ad,2026-05-09 22:20:10,
155/801,SRX16217017,success,clustered_20260509/SRX16217017_clustered.h5ad,2026-05-09 22:20:26,
157/801,SRX16217006,success,clustered_20260509/SRX16217006_clustered.h5ad,2026-05-09 22:20:42,
149/801,SRX17150750,success,clustered_20260509/SRX17150750_clustered.h5ad,2026-05-09 22:20:43,
158/801,SRX16217004,success,clustered_20260509/SRX16217004_clustered.h5ad,2026-05-09 22:20:46,
159/801,SRX16217013,success,clustered_20260509/SRX16217013_clustered.h5ad,2026-05-09 22:20:57,
140/801,SRX16217009,success,clustered_20260509/SRX16217009_clustered.h5ad,2026-05-09 22:21:03,
161/801,SRX14891761,success,clustered_20260509/SRX14891761_clustered.h5ad,2026-05-09 22:21:07,
169/801,SRX15263318,success,clustered_20260509/SRX15263318_clustered.h5ad,2026-05-09 22:21:58,
165/801,SRX18248066,success,clustered_20260509/SRX18248066_clustered.h5ad,2026-05-09 22:22:36,
162/801,SRX17150749,success,clustered_20260509/SRX17150749_clustered.h5ad,2026-05-09 22:23:09,
171/801,SRX14891765,success,clustered_20260509/SRX14891765_clustered.h5ad,2026-05-09 22:23:22,
170/801,SRX18248063,success,clustered_20260509/SRX18248063_clustered.h5ad,2026-05-09 22:23:41,
166/801,SRX18248065,success,clustered_20260509/SRX18248065_clustered.h5ad,2026-05-09 22:24:18,
163/801,SRX16217015,success,clustered_20260509/SRX16217015_clustered.h5ad,2026-05-09 22:24:24,
177/801,SRX17035589,success,clustered_20260509/SRX17035589_clustered.h5ad,2026-05-09 22:24:35,
167/801,SRX18248062,success,clustered_20260509/SRX18248062_clustered.h5ad,2026-05-09 22:24:47,
173/801,SRX14891767,success,clustered_20260509/SRX14891767_clustered.h5ad,2026-05-09 22:25:09,
179/801,ERX4409913,success,clustered_20260509/ERX4409913_clustered.h5ad,2026-05-09 22:25:16,
174/801,SRX15263315,success,clustered_20260509/SRX15263315_clustered.h5ad,2026-05-09 22:25:30,
172/801,SRX16217002,success,clustered_20260509/SRX16217002_clustered.h5ad,2026-05-09 22:25:39,
175/801,SRX12868715,success,clustered_20260509/SRX12868715_clustered.h5ad,2026-05-09 22:25:39,
176/801,SRX12868717,success,clustered_20260509/SRX12868717_clustered.h5ad,2026-05-09 22:26:28,
180/801,SRX16217012,success,clustered_20260509/SRX16217012_clustered.h5ad,2026-05-09 22:27:31,
168/801,SRX18248064,success,clustered_20260509/SRX18248064_clustered.h5ad,2026-05-09 22:28:16,
186/801,SRX12868721,success,clustered_20260509/SRX12868721_clustered.h5ad,2026-05-09 22:28:32,
183/801,SRX16217007,success,clustered_20260509/SRX16217007_clustered.h5ad,2026-05-09 22:28:32,
187/801,SRX15263317,success,clustered_20260509/SRX15263317_clustered.h5ad,2026-05-09 22:28:36,
182/801,SRX16217003,success,clustered_20260509/SRX16217003_clustered.h5ad,2026-05-09 22:28:47,
181/801,SRX14891769,success,clustered_20260509/SRX14891769_clustered.h5ad,2026-05-09 22:29:16,
193/801,SRX19215444,success,clustered_20260509/SRX19215444_clustered.h5ad,2026-05-09 22:29:27,
184/801,SRX16217010,success,clustered_20260509/SRX16217010_clustered.h5ad,2026-05-09 22:29:32,
188/801,SRX12868712,success,clustered_20260509/SRX12868712_clustered.h5ad,2026-05-09 22:29:44,
185/801,SRX12868713,success,clustered_20260509/SRX12868713_clustered.h5ad,2026-05-09 22:29:55,
194/801,SRX19264641,success,clustered_20260509/SRX19264641_clustered.h5ad,2026-05-09 22:30:14,
191/801,SRX12868719,success,clustered_20260509/SRX12868719_clustered.h5ad,2026-05-09 22:30:25,
195/801,SRX19704127,success,clustered_20260509/SRX19704127_clustered.h5ad,2026-05-09 22:30:29,
196/801,SRX19704147,success,clustered_20260509/SRX19704147_clustered.h5ad,2026-05-09 22:30:33,
197/801,SRX19704149,success,clustered_20260509/SRX19704149_clustered.h5ad,2026-05-09 22:30:39,
178/801,SRX17137139,success,clustered_20260509/SRX17137139_clustered.h5ad,2026-05-09 22:30:53,
199/801,SRX19704128,success,clustered_20260509/SRX19704128_clustered.h5ad,2026-05-09 22:30:56,
190/801,SRX14891760,success,clustered_20260509/SRX14891760_clustered.h5ad,2026-05-09 22:31:01,
192/801,SRX14891762,success,clustered_20260509/SRX14891762_clustered.h5ad,2026-05-09 22:31:20,
