resolution,matchedJaccard,nClusters
0.1,4.356313395469755,10
0.2,4.022811870931336,11
0.3,5.1020253453370685,14
0.4,6.123481972460133,16
0.5,6.039302752293427,17
0.6,6.7009016755948965,21
0.7,6.970362904829391,21
0.8,7.043192903272089,21
0.9,6.826492380531857,22
1.0,6.790600426766656,23
1.1,6.909696468629754,23
1.2,6.671208162509615,26
1.3,6.546624350291153,29
1.4,6.312165860531491,29
1.5,6.631906113209021,28
1.6,6.417461423771343,31
1.7,6.7099604310773975,30
1.8,6.482153105911152,33
1.9,6.418707735706084,35
