leiden_atlas,diseaseArea,nCells,nSamples,nStudies
0,COVID-19 / SARS-CoV-2,16,14,3
0,Control,45,19,5
0,Cystic Fibrosis,1,1,1
0,IPF / Pulmonary Fibrosis,90,53,7
0,Interstitial Lung Disease,1,1,1
0,Lung Cancer,39,26,10
1,COPD,5,4,2
1,COVID-19 / SARS-CoV-2,28,13,3
1,Control,21,7,4
1,Cystic Fibrosis,14,9,2
1,IPF / Pulmonary Fibrosis,81,43,6
1,Interstitial Lung Disease,3,2,1
1,Lung Cancer,83,46,10
10,COPD,3,3,2
10,COVID-19 / SARS-CoV-2,64,26,6
10,Control,10,7,5
10,IPF / Pulmonary Fibrosis,110,69,6
10,Interstitial Lung Disease,30,10,1
10,Lung Cancer,105,54,12
10,Pulmonary Hypertension,7,4,2
11,COVID-19 / SARS-CoV-2,10,6,2
11,Control,6,5,4
11,Cystic Fibrosis,2,2,1
11,IPF / Pulmonary Fibrosis,23,15,4
11,Interstitial Lung Disease,2,2,1
11,Lung Cancer,14,12,7
12,COPD,14,7,3
12,COVID-19 / SARS-CoV-2,66,28,6
12,Control,18,11,6
12,Cystic Fibrosis,1,1,1
12,IPF / Pulmonary Fibrosis,69,45,8
12,Interstitial Lung Disease,1,1,1
12,Lung Cancer,309,97,13
12,Pulmonary Hypertension,9,2,1
13,COVID-19 / SARS-CoV-2,22,14,4
13,Control,7,4,2
13,Cystic Fibrosis,16,8,1
13,IPF / Pulmonary Fibrosis,142,34,6
13,Lung Cancer,19,15,10
14,COPD,2,1,1
14,COVID-19 / SARS-CoV-2,13,9,6
14,Control,12,8,3
14,Cystic Fibrosis,16,10,1
14,IPF / Pulmonary Fibrosis,8,6,5
14,Interstitial Lung Disease,1,1,1
14,Lung Cancer,13,8,7
14,Pulmonary Hypertension,5,1,1
15,COVID-19 / SARS-CoV-2,5,5,2
15,Control,3,3,1
15,IPF / Pulmonary Fibrosis,22,20,5
15,Interstitial Lung Disease,2,2,1
15,Lung Cancer,73,41,9
16,COVID-19 / SARS-CoV-2,36,20,2
16,Control,24,14,3
16,IPF / Pulmonary Fibrosis,123,58,6
16,Interstitial Lung Disease,6,5,1
16,Lung Cancer,38,22,7
16,Pulmonary Hypertension,5,3,2
17,COVID-19 / SARS-CoV-2,11,5,1
17,Control,2,2,2
17,IPF / Pulmonary Fibrosis,20,11,4
17,Interstitial Lung Disease,3,3,1
17,Lung Cancer,15,13,8
18,COVID-19 / SARS-CoV-2,3,3,3
18,Control,2,2,1
18,IPF / Pulmonary Fibrosis,2,2,2
18,Lung Cancer,4,4,4
18,Pulmonary Hypertension,2,1,1
2,COPD,6,3,2
2,COVID-19 / SARS-CoV-2,104,23,4
2,Control,34,11,5
2,IPF / Pulmonary Fibrosis,173,82,7
2,Interstitial Lung Disease,31,11,1
2,Lung Cancer,94,42,11
2,Pulmonary Hypertension,8,3,2
3,COPD,14,6,2
3,COVID-19 / SARS-CoV-2,41,25,6
3,Control,28,10,6
3,IPF / Pulmonary Fibrosis,53,32,7
3,Interstitial Lung Disease,3,1,1
3,Lung Cancer,185,84,13
3,Pulmonary Hypertension,6,3,2
4,COPD,1,1,1
4,COVID-19 / SARS-CoV-2,38,13,3
4,Control,7,5,5
4,Cystic Fibrosis,35,17,2
4,IPF / Pulmonary Fibrosis,127,45,5
4,Interstitial Lung Disease,4,3,1
4,Lung Cancer,17,15,6
5,COPD,1,1,1
5,COVID-19 / SARS-CoV-2,15,11,3
5,Control,6,4,4
5,Cystic Fibrosis,26,15,2
5,IPF / Pulmonary Fibrosis,26,22,7
5,Interstitial Lung Disease,6,6,1
5,Lung Cancer,12,12,7
5,Pulmonary Hypertension,1,1,1
6,COPD,1,1,1
6,COVID-19 / SARS-CoV-2,31,20,6
6,Control,9,5,3
6,Cystic Fibrosis,34,15,2
6,IPF / Pulmonary Fibrosis,44,21,6
6,Interstitial Lung Disease,5,2,1
6,Lung Cancer,24,18,10
6,Pulmonary Hypertension,5,1,1
7,COVID-19 / SARS-CoV-2,50,27,8
7,Control,3,3,1
7,Cystic Fibrosis,2,2,1
7,IPF / Pulmonary Fibrosis,49,28,7
7,Interstitial Lung Disease,2,2,1
7,Lung Cancer,55,42,13
7,Pulmonary Hypertension,6,2,2
8,COPD,2,2,1
8,COVID-19 / SARS-CoV-2,7,7,2
8,IPF / Pulmonary Fibrosis,7,7,3
8,Interstitial Lung Disease,2,2,1
8,Lung Cancer,43,19,9
8,Pulmonary Hypertension,1,1,1
9,COVID-19 / SARS-CoV-2,1,1,1
9,Control,26,13,4
9,IPF / Pulmonary Fibrosis,11,7,3
9,Interstitial Lung Disease,1,1,1
9,Lung Cancer,14,12,7
