cluster,nCellsLabeled,nLabels,nStudies,topLabel,topLabelFraction,labelEntropy
0,1007,17,38,B cell,0.5988083416087389,1.86169725155495
1,5540,13,60,"CD4-positive, alpha-beta T cell",0.916245487364621,0.5745175756493281
10,528,6,8,macrophage,0.9640151515151515,0.2877781061771985
11,2,1,1,macrophage,1.0,-0.0
12,47,9,3,B cell,0.3404255319148936,2.4741036653327257
13,812,21,40,basophil,0.5960591133004927,2.0996464427589627
14,3685,23,51,adventitial cell,0.2738127544097693,3.1466301421083593
15,7,1,1,basal cell,1.0,-0.0
16,8,3,1,plasma cell,0.5,1.4056390622295665
17,702,20,58,basal cell,0.405982905982906,2.916261836451247
18,1,1,1,B cell,1.0,-0.0
19,2,1,1,endothelial cell of artery,1.0,-0.0
2,23,1,3,"CD4-positive, alpha-beta T cell",1.0,-0.0
20,2615,19,68,respiratory tract goblet cell,0.3181644359464627,2.8649479972433394
21,1668,21,82,plasma cell,0.3195443645083933,3.013836834229873
22,4,2,1,macrophage,0.5,1.0
23,725,15,50,basal cell,0.4689655172413793,1.9118134065007615
24,1738,21,52,macrophage,0.31185270425776757,2.5307718982023593
26,4607,17,55,macrophage,0.8042109832863035,1.2424923966300474
27,2,1,1,basal cell,1.0,-0.0
29,1,1,1,respiratory tract goblet cell,1.0,-0.0
3,134,5,27,"CD4-positive, alpha-beta T cell",0.6791044776119403,1.4364581779718608
31,1791,12,60,basal cell,0.9380234505862647,0.515995225544576
32,122,9,14,basal cell,0.28688524590163933,2.379353051717164
33,32,6,3,basal cell,0.5625,1.916615921862549
34,2437,15,52,intermediate monocyte,0.23020106688551498,2.6655513209416863
35,168,6,7,"CD4-positive, alpha-beta T cell",0.6428571428571429,1.4520287511211036
36,5153,24,43,capillary endothelial cell,0.5066951290510382,2.249434015101574
38,1483,18,36,pulmonary alveolar type 1 cell,0.7552258934592043,1.4423875890800502
39,215,21,23,macrophage,0.2372093023255814,3.2276244400064624
4,2210,11,54,"CD8-positive, alpha-beta T cell",0.34751131221719456,2.3208172275957817
43,2502,17,57,lung multiciliated epithelial cell,0.6139088729016786,1.8826576412362215
44,2398,5,56,lung multiciliated epithelial cell,0.9491242702251876,0.3216318443410406
45,1786,15,59,respiratory tract goblet cell,0.8247480403135499,1.0800454709745302
49,78,6,1,macrophage,0.7948717948717948,1.1523323189537882
5,2543,13,56,"CD4-positive, alpha-beta T cell",0.6236728273692489,1.4878212096480268
51,1,1,1,basal cell,1.0,-0.0
52,1639,25,51,macrophage,0.20622330689444784,3.3835490152567442
54,218,11,1,pulmonary alveolar type 2 cell,0.3761467889908257,2.619575368256287
56,1,1,1,respiratory tract goblet cell,1.0,-0.0
59,765,17,34,endothelial cell of lymphatic vessel,0.6954248366013072,1.8741892256524884
6,1344,11,46,B cell,0.9441964285714286,0.41508032427178587
60,1381,22,39,pericyte,0.3953656770456191,2.625871632598413
63,1,1,1,basal cell,1.0,-0.0
65,2,2,1,"CD4-positive, alpha-beta T cell",0.5,1.0
66,418,17,5,macrophage,0.715311004784689,1.8364645421033914
68,9,1,1,respiratory tract goblet cell,1.0,-0.0
7,372,10,21,macrophage,0.6129032258064516,1.9934014149688135
70,8,1,1,pulmonary alveolar type 2 cell,1.0,-0.0
8,3605,26,42,pulmonary alveolar type 2 cell,0.42163661581137307,2.636433133265122
9,5347,19,55,macrophage,0.7763231718720778,1.230793724059868
