cluster,gene,score,log2FoldChange,pValue,adjustedPValue,fractionInCluster,fractionOutsideCluster,rankWithinCluster,detectionDifference,topSourceLabel,isSharedCandidate,isDiseaseAssociatedCandidate,isUnexpectedConvergenceCandidate,isAnyCandidate
0,ENSG00000211592,49.355804,,2.1730859034257346e-272,4.346171806851469e-269,1.0,1.0,1,0.0,B cell,True,False,False,True
0,ENSG00000132465,39.825027,,9.083770441732836e-210,4.541885220866418e-207,1.0,1.0,2,0.0,B cell,True,False,False,True
0,ENSG00000211895,36.556988,,1.5838913872824294e-187,6.335565549129717e-185,1.0,1.0,3,0.0,B cell,True,False,False,True
0,ENSG00000170476,33.84528,,9.043744985400791e-169,1.808748997080158e-166,1.0,1.0,4,0.0,B cell,True,False,False,True
0,ENSG00000211896,32.618805,,2.7086714288145486e-160,4.514452381357581e-158,1.0,1.0,5,0.0,B cell,True,False,False,True
0,ENSG00000211677,31.149721,,3.957598364037009e-150,5.653711948624298e-148,1.0,1.0,6,0.0,B cell,True,False,False,True
0,ENSG00000211897,28.62532,,1.143698747718713e-132,1.4296234346483912e-130,1.0,1.0,7,0.0,B cell,True,False,False,True
0,ENSG00000211675,27.710533,,2.218133969617095e-126,2.609569376020112e-124,1.0,1.0,8,0.0,B cell,True,False,False,True
0,ENSG00000211679,26.87592,,1.1822009703081054e-120,1.3135566336756727e-118,1.0,1.0,9,0.0,B cell,True,False,False,True
0,ENSG00000253755,25.507093,,2.4351539255982336e-111,1.9481231404785868e-109,1.0,1.0,10,0.0,B cell,True,False,False,True
0,ENSG00000211892,25.281454,,8.144578338294321e-110,6.265060260226401e-108,1.0,1.0,11,0.0,B cell,True,False,False,True
0,ENSG00000099958,24.07931,,9.737820939893751e-102,6.71573857923707e-100,1.0,1.0,12,0.0,B cell,True,False,False,True
0,ENSG00000286848,22.564287,,1.0131230080047021e-91,5.195502605152319e-90,1.0,1.0,13,0.0,B cell,True,False,False,True
0,ENSG00000206560,18.205797,4.6152635,2.055405326178066e-64,6.228500988418383e-63,1.0,1.0,14,0.0,B cell,True,False,False,True
0,ENSG00000105369,16.776873,,5.697852051888073e-56,1.47996157191898e-54,1.0,1.0,15,0.0,B cell,True,False,False,True
0,ENSG00000211899,16.568632,,8.965052605710492e-55,2.2987314373616643e-53,1.0,1.0,16,0.0,B cell,True,False,False,True
0,ENSG00000183508,16.532558,7.3750634,1.304778508859834e-54,3.3032367312907193e-53,1.0,1.0,17,0.0,B cell,True,False,False,True
0,ENSG00000211890,16.272781,,4.316365533774767e-53,1.0277060794701826e-51,1.0,1.0,18,0.0,B cell,True,False,False,True
0,ENSG00000176533,15.634182,7.0848446,1.4529124079383692e-49,3.0913029956135514e-48,1.0,1.0,19,0.0,B cell,True,False,False,True
0,ENSG00000211893,14.728345,,1.1915689109131707e-44,2.1664889289330377e-43,1.0,1.0,20,0.0,B cell,True,False,False,True
0,ENSG00000255733,14.698986,,1.6596013404503004e-44,2.9902726854960367e-43,1.0,1.0,21,0.0,B cell,True,False,False,True
0,ENSG00000211673,13.836076,,5.123876124731232e-40,8.069096259419263e-39,1.0,1.0,22,0.0,B cell,True,False,False,True
0,ENSG00000211593,12.290406,,1.8107288072589966e-32,2.0694043511531387e-31,1.0,1.0,23,0.0,B cell,True,False,False,True
0,ENSG00000168421,11.992037,4.326936,4.070942966824186e-31,4.262767504527944e-30,1.0,1.0,24,0.0,B cell,True,False,False,True
0,ENSG00000090104,11.572423,3.177778,3.2585827255176875e-29,3.1636725490462986e-28,1.0,1.0,25,0.0,B cell,True,False,False,True
0,ENSG00000121101,11.122823,4.1904154,3.2385229361406805e-27,2.828404311039896e-26,1.0,1.0,26,0.0,B cell,True,False,False,True
0,ENSG00000211598,10.468113,,2.0002292299722526e-24,1.4707567867443034e-23,1.0,1.0,27,0.0,B cell,True,False,False,True
0,ENSG00000137265,9.898424,5.9652286,4.013232439820862e-22,2.589182219239266e-21,1.0,1.0,28,0.0,B cell,True,False,False,True
0,ENSG00000287092,9.49853,,1.4571772865221813e-20,8.546494349103704e-20,1.0,1.0,29,0.0,B cell,True,False,False,True
0,ENSG00000211642,9.243951,,1.3535370626325767e-19,7.585803276292477e-19,1.0,1.0,30,0.0,B cell,True,False,False,True
0,ENSG00000121895,9.03896,,7.709274294091249e-19,4.125134851830084e-18,1.0,1.0,31,0.0,B cell,True,False,False,True
0,ENSG00000100629,8.970618,5.137516,1.369677205472985e-18,7.189906590409371e-18,1.0,1.0,32,0.0,B cell,True,False,False,True
0,ENSG00000170819,8.487688,,7.357986225368181e-17,3.5374933775808566e-16,1.0,1.0,33,0.0,B cell,True,False,False,True
0,ENSG00000263961,8.150042,,1.0533312137912206e-15,4.734072870971778e-15,1.0,1.0,34,0.0,B cell,True,False,False,True
0,ENSG00000106415,8.149829,4.5188947,1.0458770380202227e-15,4.711157828919923e-15,1.0,1.0,35,0.0,B cell,True,False,False,True
0,ENSG00000188825,8.044549,3.9918287,2.364897697672967e-15,1.0441049437849743e-14,1.0,1.0,36,0.0,B cell,True,False,False,True
0,ENSG00000197329,8.040655,2.5822763,2.428821941631861e-15,1.0699656130536832e-14,1.0,1.0,37,0.0,B cell,True,False,False,True
0,ENSG00000257261,8.031961,,2.603225877340242e-15,1.1442751109187879e-14,1.0,1.0,38,0.0,B cell,True,False,False,True
0,ENSG00000187323,7.9162483,5.2502747,6.341590205960773e-15,2.698549023813095e-14,1.0,1.0,39,0.0,B cell,True,False,False,True
0,ENSG00000081189,7.8294425,2.4398742,1.2032424701924468e-14,5.045041803741915e-14,1.0,1.0,40,0.0,B cell,True,False,False,True
0,ENSG00000204388,7.728331,3.438569,2.5663514350100234e-14,1.0496324887566558e-13,1.0,1.0,41,0.0,B cell,True,False,False,True
0,ENSG00000273802,7.542637,,1.0151763178680218e-13,4.028477451857229e-13,1.0,1.0,42,0.0,B cell,True,False,False,True
0,ENSG00000211949,7.5377235,,1.0557705813541956e-13,4.1730062504118405e-13,1.0,1.0,43,0.0,B cell,True,False,False,True
0,ENSG00000243466,7.426144,,2.360626612626746e-13,9.132017843817197e-13,1.0,1.0,44,0.0,B cell,True,False,False,True
0,ENSG00000184588,7.2315884,2.3158164,9.24512480909126e-13,3.4172294249018043e-12,1.0,1.0,45,0.0,B cell,True,False,False,True
0,ENSG00000239951,7.2154517,,1.048131641625904e-12,3.846354648168455e-12,1.0,1.0,46,0.0,B cell,True,False,False,True
0,ENSG00000234883,7.04034,3.945173,3.499689758416032e-12,1.2279613187424673e-11,1.0,1.0,47,0.0,B cell,True,False,False,True
0,ENSG00000197253,6.99982,4.415947,4.615528588129279e-12,1.5998365990049492e-11,1.0,1.0,48,0.0,B cell,True,False,False,True
0,ENSG00000211685,6.833145,,1.4278592425472725e-11,4.7995268657051175e-11,1.0,1.0,49,0.0,B cell,True,False,False,True
0,ENSG00000023445,6.804659,3.8356655,1.7124807440143412e-11,5.736953916295951e-11,1.0,1.0,50,0.0,B cell,True,False,False,True
0,ENSG00000211648,6.7319627,,2.793415927100063e-11,9.280451585050043e-11,1.0,1.0,51,0.0,B cell,True,False,False,True
0,ENSG00000017427,6.6700873,4.8487782,4.169834558126575e-11,1.3626910320675084e-10,1.0,1.0,52,0.0,B cell,True,False,False,True
0,ENSG00000286122,6.6572423,4.902443,4.5268730966252776e-11,1.4769569646412e-10,1.0,1.0,53,0.0,B cell,True,False,False,True
0,ENSG00000035720,6.5609236,,8.478770451094688e-11,2.7132065443503003e-10,1.0,1.0,54,0.0,B cell,True,False,False,True
0,ENSG00000241351,6.5318346,,1.0244374606463202e-10,3.267743096160511e-10,1.0,1.0,55,0.0,B cell,True,False,False,True
0,ENSG00000211938,6.531604,,1.0263343372215605e-10,3.268580691788409e-10,1.0,1.0,56,0.0,B cell,True,False,False,True
0,ENSG00000211950,6.4296083,,1.9645120258264143e-10,6.158344908546752e-10,1.0,1.0,57,0.0,B cell,True,False,False,True
0,ENSG00000204389,6.3742895,2.9185517,2.757137968282165e-10,8.509685087290633e-10,1.0,1.0,58,0.0,B cell,True,False,False,True
0,ENSG00000270550,6.362058,,3.004320213888744e-10,9.244062196580752e-10,1.0,1.0,59,0.0,B cell,True,False,False,True
0,ENSG00000211959,6.284754,,4.863407223812026e-10,1.4759961225529668e-09,1.0,1.0,60,0.0,B cell,True,False,False,True
0,ENSG00000158373,6.250538,,5.983743201364171e-10,1.7915398806479553e-09,1.0,1.0,61,0.0,B cell,True,False,False,True
0,ENSG00000211653,6.245811,,6.18470047256844e-10,1.846179245542818e-09,1.0,1.0,62,0.0,B cell,True,False,False,True
0,ENSG00000122224,6.228095,,6.870880400305991e-10,2.0449048810434495e-09,1.0,1.0,63,0.0,B cell,True,False,False,True
0,ENSG00000244437,6.216258,,7.416725291117689e-10,2.1975482344052412e-09,1.0,1.0,64,0.0,B cell,True,False,False,True
0,ENSG00000211651,6.145966,,1.1392115607159324e-09,3.326165140776445e-09,1.0,1.0,65,0.0,B cell,True,False,False,True
