cluster,diseaseArea,studyAccession,nCaseSamples,nControlSamples,meanCaseProportion,meanControlProportion,effect,variance,combinedEffect,combinedSe,nStudiesCombined
1,Lung Cancer,PRJEB68315,5,7,0.1490586870883239,0.23669862881318599,-0.08763994172486209,0.005555480022961438,0.024169695752437742,0.044667276599306194,3
1,Lung Cancer,PRJNA1177414,13,10,0.39040014278235624,0.3531309979548925,0.03726914482746374,0.009045202315655781,0.024169695752437742,0.044667276599306194,3
1,Lung Cancer,PRJNA773987,6,4,0.24583702269682853,0.13300128911285597,0.11283573358397256,0.004747138113280102,0.024169695752437742,0.044667276599306194,3
34,Lung Cancer,PRJEB68315,5,5,0.04545081766366474,0.15810805452778895,-0.11265723686412421,0.00831429468981508,-0.035233613774197786,0.01137984160410818,4
34,Lung Cancer,PRJEB71931,3,2,0.04034563208800717,0.06587301587301587,-0.025527383785008705,0.0013130168530538877,-0.035233613774197786,0.01137984160410818,4
34,Lung Cancer,PRJNA1177414,2,5,0.19336384439359267,0.1492149550825796,0.04414888931101307,0.007070396562528672,-0.035233613774197786,0.01137984160410818,4
34,Lung Cancer,PRJNA773987,4,4,0.013714441616952492,0.050337537599124973,-0.036623095982172484,0.00014928390213953322,-0.035233613774197786,0.01137984160410818,4
36,IPF / Pulmonary Fibrosis,PRJNA1172658,16,7,0.14413292179836223,0.15201646728804513,-0.007883545489682897,0.0023994643630933666,-0.05437021017714717,0.015412579766701606,6
36,IPF / Pulmonary Fibrosis,PRJNA1208088,26,31,0.13810629455240203,0.20021375051282891,-0.06210745596042688,0.0008754908259200659,-0.05437021017714717,0.015412579766701606,6
36,IPF / Pulmonary Fibrosis,PRJNA563828,18,4,0.0628924136303845,0.09965187998276234,-0.03675946635237784,0.0031150108532652316,-0.05437021017714717,0.015412579766701606,6
36,IPF / Pulmonary Fibrosis,PRJNA883741,10,7,0.12291947441635757,0.14175143127571335,-0.018831956859355778,0.0009173235216881872,-0.05437021017714717,0.015412579766701606,6
36,IPF / Pulmonary Fibrosis,PRJNA945854,31,28,0.1062025699811504,0.20991073881532135,-0.10370816883417096,0.0008953660806282744,-0.05437021017714717,0.015412579766701606,6
36,IPF / Pulmonary Fibrosis,PRJNA950922,3,2,0.12000837389438428,0.17297047970479706,-0.05296210581041279,0.008150588893682061,-0.05437021017714717,0.015412579766701606,6
36,Lung Cancer,PRJEB71931,12,3,0.1665746669863205,0.25820105820105815,-0.09162639121473765,0.004110275351131639,-0.0035374132302396074,0.012900644844465143,3
36,Lung Cancer,PRJNA759630,11,11,0.3942545188943251,0.6359330806521603,-0.24167856175783514,0.013718751993858653,-0.0035374132302396074,0.012900644844465143,3
36,Lung Cancer,PRJNA773987,5,4,0.023748272268261338,0.020471380717996795,0.003276891550264543,0.00017567073194989062,-0.0035374132302396074,0.012900644844465143,3
4,Lung Cancer,PRJEB68315,4,7,0.12667195788139265,0.2074603830082617,-0.08078842512686904,0.010524199793426631,-0.07034686308830987,0.024741800075288672,3
4,Lung Cancer,PRJNA1177414,10,9,0.06250503722957591,0.07587318432680795,-0.013368147097232039,0.0009351483765114908,-0.07034686308830987,0.024741800075288672,3
4,Lung Cancer,PRJNA773987,5,4,0.03809080171504952,0.23618256572522367,-0.19809176401017414,0.0021312844969661156,-0.07034686308830987,0.024741800075288672,3
43,COVID-19 / SARS-CoV-2,PRJNA1069102,7,7,0.49578414709288754,0.4802758656563729,0.015508281436514615,0.003235118768708606,0.005745066231763757,0.008171148310427184,2
43,COVID-19 / SARS-CoV-2,PRJNA847631,18,7,0.025801790973012283,0.0202624680625836,0.005539322910428683,6.817468082273269e-05,0.005745066231763757,0.008171148310427184,2
43,IPF / Pulmonary Fibrosis,PRJNA1172658,11,3,0.07519877563085378,0.1042368125701459,-0.02903803693929212,0.0047273603926401625,-0.0051178277091171506,0.007822720183256944,5
43,IPF / Pulmonary Fibrosis,PRJNA1208088,21,23,0.0820683909184819,0.07231302548604197,0.009755365432439933,0.0008480370143962256,-0.0051178277091171506,0.007822720183256944,5
43,IPF / Pulmonary Fibrosis,PRJNA663601,2,2,0.020292207792207792,0.03132911392405063,-0.011036906131842841,0.00035453152809906285,-0.0051178277091171506,0.007822720183256944,5
43,IPF / Pulmonary Fibrosis,PRJNA883741,3,3,0.02435634540897699,0.0327436128326006,-0.008387267423623609,9.334643490230705e-05,-0.0051178277091171506,0.007822720183256944,5
43,IPF / Pulmonary Fibrosis,PRJNA945854,23,14,0.09873298322115075,0.07615882292024963,0.02257416030090112,0.0007056747034023568,-0.0051178277091171506,0.007822720183256944,5
44,IPF / Pulmonary Fibrosis,PRJNA1172658,14,3,0.13688701741901377,0.04503367003367004,0.09185334738534373,0.0007459100125989742,0.038694664926887674,0.0092518504404557,5
44,IPF / Pulmonary Fibrosis,PRJNA1208088,18,17,0.06378376288246183,0.052370467843482045,0.011413295038979789,0.00033599029823328365,0.038694664926887674,0.0092518504404557,5
44,IPF / Pulmonary Fibrosis,PRJNA563828,22,7,0.06680197831488173,0.03701483898108297,0.029787139333798757,0.0004233857777002392,0.038694664926887674,0.0092518504404557,5
44,IPF / Pulmonary Fibrosis,PRJNA883741,8,3,0.05910978422272117,0.052623963392025463,0.00648582083069571,0.00042213528278066127,0.038694664926887674,0.0092518504404557,5
44,IPF / Pulmonary Fibrosis,PRJNA945854,28,25,0.12549200178780823,0.04608735949827711,0.07940464228953112,0.0003795143144890722,0.038694664926887674,0.0092518504404557,5
5,Lung Cancer,PRJEB68315,3,5,0.08963816841461088,0.07006347274662075,0.019574695667990125,0.002144200304355631,-0.01980742228975425,0.02930507314773515,3
5,Lung Cancer,PRJNA1177414,10,7,0.2134131686293248,0.2151097198299438,-0.001696551200619012,0.006179539910046944,-0.01980742228975425,0.02930507314773515,3
5,Lung Cancer,PRJNA773987,5,4,0.05776217143196266,0.11728656392827845,-0.05952439249631579,0.0018648575682063651,-0.01980742228975425,0.02930507314773515,3
9,IPF / Pulmonary Fibrosis,PRJNA1172658,3,3,0.020913832794241926,0.05190224237843285,-0.030988409584190923,0.00034140144475867555,-0.013821438995716053,0.00897628942036651,6
9,IPF / Pulmonary Fibrosis,PRJNA1208088,12,14,0.03539043643065548,0.038909477822479485,-0.0035190413918240043,0.00012683438972477514,-0.013821438995716053,0.00897628942036651,6
9,IPF / Pulmonary Fibrosis,PRJNA563828,31,23,0.24384464358276156,0.29717940776394247,-0.05333476418118091,0.0020119133977696134,-0.013821438995716053,0.00897628942036651,6
