cluster,nCells,nSamples,nStudiesAll,nDiseaseAreas,nCellsLabeled,nLabels,nStudies,topLabel,topLabelFraction,labelEntropy,topOntology,topOntologyFraction,nOntologies,interpretationStatus,interpretedCellType
0,107527,705,61,8,106474,31,61,B cell,0.5949997182410729,1.866065400836198,CL:0000236,0.5949997182410729,31,unresolved,unresolved
1,679157,808,71,8,668850,30,71,"CD4-positive, alpha-beta T cell",0.9163026089556702,0.5797564803221366,CL:0000624,0.9163026089556702,30,resolved,"CD4-positive, alpha-beta T cell"
10,51435,294,45,8,51356,22,44,macrophage,0.9465301035906223,0.4220832786593612,CL:0000235,0.9465301035906223,22,resolved,macrophage
11,362,7,2,2,362,4,2,macrophage,0.5027624309392266,1.0683961443184173,CL:0000235,0.5027624309392266,4,unresolved,unresolved
12,4042,27,12,5,4021,14,12,B cell,0.4471524496393932,2.375793982225828,CL:0000236,0.4471524496393932,14,unresolved,unresolved
13,77865,730,63,8,77063,32,63,basophil,0.6113958709108133,2.066873855267226,CL:0000767,0.6113958709108133,32,unresolved,unresolved
14,352858,719,64,8,350120,30,64,adventitial cell,0.27624814349365934,3.1338844738317717,CL:0002503,0.27624814349365934,30,unresolved,unresolved
15,996,1,1,1,996,2,1,basal cell,0.9969879518072289,0.029564938415632472,CL:0000646,0.9969879518072289,2,unresolved,unresolved
16,240,5,3,3,234,6,3,plasma cell,0.452991452991453,1.7889086972271089,CL:0000786,0.452991452991453,6,unresolved,unresolved
17,70606,735,89,8,70459,30,89,basal cell,0.3827332207383017,3.0661378256076457,CL:0000646,0.3827332207383017,30,unresolved,unresolved
18,291,17,9,4,288,15,9,B cell,0.2673611111111111,3.142425564479376,CL:0000236,0.2673611111111111,15,unresolved,unresolved
19,359,8,2,2,346,14,2,endothelial cell of artery,0.630057803468208,1.9844592843628095,CL:1000413,0.630057803468208,14,unresolved,unresolved
2,2444,54,22,6,2442,6,22,"CD4-positive, alpha-beta T cell",0.963963963963964,0.2631054233663952,CL:0000624,0.963963963963964,6,resolved,"CD4-positive, alpha-beta T cell"
20,261581,843,87,8,260829,30,87,respiratory tract goblet cell,0.3266546281280072,2.844452076992309,CL:0002370,0.3266546281280072,30,unresolved,unresolved
21,176419,935,93,8,169589,35,93,plasma cell,0.3122903018474076,3.048049508654597,CL:0000786,0.3122903018474076,35,unresolved,unresolved
22,456,21,10,5,450,13,10,macrophage,0.4822222222222222,1.9706593348491919,CL:0000235,0.4822222222222222,13,unresolved,unresolved
23,73813,586,77,8,73336,25,77,basal cell,0.47180102541725755,1.8939286541819795,CL:0000646,0.47180102541725755,25,unresolved,unresolved
24,174980,790,66,8,173280,33,66,macrophage,0.327868190212373,2.528368160802741,CL:0000235,0.327868190212373,33,unresolved,unresolved
25,6,4,4,3,6,4,4,pulmonary alveolar type 1 cell,0.5,1.7924812503605778,CL:0002062,0.5,4,unresolved,unresolved
26,452899,798,64,8,450525,30,64,macrophage,0.798202097552855,1.289100572647915,CL:0000235,0.798202097552855,30,resolved,macrophage
27,152,4,3,1,152,7,3,basal cell,0.5,2.145479095897323,CL:0000646,0.5,7,unresolved,unresolved
28,76,4,3,3,76,6,3,"CD4-positive, alpha-beta T cell",0.5131578947368421,1.7094449600870207,CL:0000624,0.5131578947368421,6,unresolved,unresolved
29,81,1,1,1,81,5,1,respiratory tract goblet cell,0.6419753086419753,1.4111345063700036,CL:0002370,0.6419753086419753,5,unresolved,unresolved
3,17625,550,62,8,17562,26,62,"CD4-positive, alpha-beta T cell",0.5879170937250883,1.679621098718113,CL:0000624,0.5879170937250883,26,unresolved,unresolved
30,37,1,1,1,37,5,1,basal cell,0.4864864864864865,1.8725608796146709,CL:0000646,0.4864864864864865,5,unresolved,unresolved
31,192676,714,84,8,191807,24,84,basal cell,0.9368114823755129,0.532808354671482,CL:0000646,0.9368114823755129,24,resolved,basal cell
32,11258,354,52,8,11184,24,52,basal cell,0.28263590844062947,2.5831489900751685,CL:0000646,0.28263590844062947,24,unresolved,unresolved
33,3299,63,28,8,3296,17,28,basal cell,0.41322815533980584,2.401977244807285,CL:0000646,0.41322815533980584,17,unresolved,unresolved
34,234954,764,65,8,232683,32,65,intermediate monocyte,0.23035632169088416,2.6942271163432467,CL:0002393,0.23035632169088416,32,unresolved,unresolved
35,15569,198,30,6,15142,23,30,"CD4-positive, alpha-beta T cell",0.654008717474574,1.6009712628829353,CL:0000624,0.654008717474574,23,unresolved,unresolved
36,487751,719,58,8,484274,31,58,capillary endothelial cell,0.5106695796181501,2.2547171867361704,CL:0002144,0.5106695796181501,31,unresolved,unresolved
37,25,1,1,1,25,2,1,endothelial cell of artery,0.96,0.24229218908241482,CL:1000413,0.96,2,unresolved,unresolved
