cluster,diseaseArea,interpretedCellType,interpretationStatus,nOverlapStudies,nCaseProfiles,nControlProfiles,nHits,ran
0,IPF / Pulmonary Fibrosis,unresolved,unresolved,7,73,41,162,True
0,Lung Cancer,unresolved,unresolved,5,41,20,250,True
1,COVID-19 / SARS-CoV-2,"CD4-positive, alpha-beta T cell",resolved,4,51,13,16,True
1,IPF / Pulmonary Fibrosis,"CD4-positive, alpha-beta T cell",resolved,6,116,52,167,True
1,Lung Cancer,"CD4-positive, alpha-beta T cell",resolved,5,45,26,300,True
13,IPF / Pulmonary Fibrosis,unresolved,unresolved,6,104,52,255,True
13,Lung Cancer,unresolved,unresolved,5,29,19,46,True
14,COVID-19 / SARS-CoV-2,unresolved,unresolved,2,35,12,84,True
14,IPF / Pulmonary Fibrosis,unresolved,unresolved,8,123,70,838,True
14,Lung Cancer,unresolved,unresolved,5,41,25,1143,True
14,Pulmonary Hypertension,unresolved,unresolved,2,6,6,5,True
17,COVID-19 / SARS-CoV-2,unresolved,unresolved,4,34,15,10,True
17,Cystic Fibrosis,unresolved,unresolved,2,9,3,44,True
17,IPF / Pulmonary Fibrosis,unresolved,unresolved,3,19,11,597,True
17,Lung Cancer,unresolved,unresolved,3,27,9,0,True
20,COVID-19 / SARS-CoV-2,unresolved,unresolved,5,47,19,3,True
20,Cystic Fibrosis,unresolved,unresolved,2,23,5,28,True
20,IPF / Pulmonary Fibrosis,unresolved,unresolved,8,137,60,3385,True
20,Lung Cancer,unresolved,unresolved,5,35,15,104,True
21,COVID-19 / SARS-CoV-2,unresolved,unresolved,7,65,23,27,True
21,Cystic Fibrosis,unresolved,unresolved,2,20,5,12,True
21,IPF / Pulmonary Fibrosis,unresolved,unresolved,7,114,50,423,True
21,Lung Cancer,unresolved,unresolved,5,53,24,43,True
21,Pulmonary Hypertension,unresolved,unresolved,2,6,6,0,True
23,COVID-19 / SARS-CoV-2,unresolved,unresolved,4,40,16,15,True
23,Cystic Fibrosis,unresolved,unresolved,2,22,5,9,True
23,IPF / Pulmonary Fibrosis,unresolved,unresolved,3,31,11,305,True
23,Lung Cancer,unresolved,unresolved,2,7,3,2,True
24,COVID-19 / SARS-CoV-2,unresolved,unresolved,4,47,13,0,True
24,IPF / Pulmonary Fibrosis,unresolved,unresolved,6,124,50,599,True
24,Lung Cancer,unresolved,unresolved,5,40,25,209,True
26,COVID-19 / SARS-CoV-2,macrophage,resolved,3,49,12,38,True
26,IPF / Pulmonary Fibrosis,macrophage,resolved,6,129,64,804,True
26,Lung Cancer,macrophage,resolved,5,30,24,300,True
3,COVID-19 / SARS-CoV-2,unresolved,unresolved,2,10,4,14,True
3,IPF / Pulmonary Fibrosis,unresolved,unresolved,2,9,2,0,True
3,Lung Cancer,unresolved,unresolved,3,18,9,19,True
31,COVID-19 / SARS-CoV-2,basal cell,resolved,5,41,16,1,True
31,Cystic Fibrosis,basal cell,resolved,2,22,5,32,True
31,IPF / Pulmonary Fibrosis,basal cell,resolved,7,78,18,403,True
31,Lung Cancer,basal cell,resolved,3,11,7,132,True
31,Pulmonary Hypertension,basal cell,resolved,2,4,4,0,True
32,Lung Cancer,unresolved,unresolved,3,5,5,3,True
34,COVID-19 / SARS-CoV-2,unresolved,unresolved,3,46,12,24,True
34,IPF / Pulmonary Fibrosis,unresolved,unresolved,6,114,55,221,True
34,Lung Cancer,unresolved,unresolved,5,33,26,15,True
36,COVID-19 / SARS-CoV-2,unresolved,unresolved,2,36,12,89,True
36,IPF / Pulmonary Fibrosis,unresolved,unresolved,8,127,69,769,True
36,Lung Cancer,unresolved,unresolved,5,43,26,342,True
36,Pulmonary Hypertension,unresolved,unresolved,2,6,6,0,True
38,COVID-19 / SARS-CoV-2,pulmonary alveolar type 1 cell,resolved,2,33,11,2,True
38,IPF / Pulmonary Fibrosis,pulmonary alveolar type 1 cell,resolved,6,73,58,598,True
