gene,cluster,evidenceClass,nDiseaseAreasHit,diseaseAreas,meanLog2FoldChange,minPadj,interpretedCellType,geneSymbol
ENSG00000000003,9,areaSelective,1,Lung Cancer,2.225278577744043,0.006148032448553556,macrophage,TSPAN6
ENSG00000000005,14,areaSelective,1,IPF / Pulmonary Fibrosis,-1.1564587658496284,0.012193795562588601,unresolved,TNMD
ENSG00000000938,14,areaSelective,1,Lung Cancer,-1.2482480310479704,0.0086508079884743,unresolved,FGR
ENSG00000000938,36,areaSelective,1,Lung Cancer,-1.0560196818200696,4.990332523352877e-05,unresolved,FGR
ENSG00000000938,60,areaSelective,1,Lung Cancer,-1.4871945268820623,0.013578635279952277,unresolved,FGR
ENSG00000000971,0,areaSelective,1,IPF / Pulmonary Fibrosis,1.2124990272804528,0.00992537760116279,unresolved,CFH
ENSG00000000971,17,areaSelective,1,IPF / Pulmonary Fibrosis,1.0678429521750434,0.03649570334430475,unresolved,CFH
ENSG00000000971,24,areaSelective,1,Lung Cancer,1.162282863212734,0.008596866215209928,unresolved,CFH
ENSG00000000971,38,areaSelective,1,IPF / Pulmonary Fibrosis,1.0785067993237134,2.716152155283979e-06,pulmonary alveolar type 1 cell,CFH
ENSG00000000971,52,areaSelective,1,IPF / Pulmonary Fibrosis,1.222448299521493,2.4965067036786046e-12,unresolved,CFH
ENSG00000001084,23,areaSelective,1,IPF / Pulmonary Fibrosis,-1.4303495846193104,0.000368951632009525,unresolved,GCLC
ENSG00000001617,9,areaSelective,1,Lung Cancer,1.5282839496247789,0.03159405571316369,macrophage,SEMA3F
ENSG00000001626,8,areaSelective,1,Lung Cancer,-1.4912788939866233,2.5076311142820457e-05,unresolved,CFTR
ENSG00000001630,17,areaSelective,1,IPF / Pulmonary Fibrosis,-1.064208719889446,0.00012730579619250356,unresolved,CYP51A1
ENSG00000002016,21,areaSelective,1,COVID-19 / SARS-CoV-2,1.0305943084069276,0.046272895774396736,unresolved,RAD52
ENSG00000002586,31,areaSelective,1,Lung Cancer,1.3648048523366971,0.012029948524916675,basal cell,CD99
ENSG00000002587,17,areaSelective,1,IPF / Pulmonary Fibrosis,1.4214607660137841,0.018921286369934003,unresolved,HS3ST1
ENSG00000002587,24,areaSelective,1,Lung Cancer,1.18621757571987,0.007622382995652002,unresolved,HS3ST1
ENSG00000002587,9,areaSelective,1,Lung Cancer,1.8758079545100539,0.006132184964114382,macrophage,HS3ST1
ENSG00000002726,8,areaSelective,1,IPF / Pulmonary Fibrosis,1.8825566374878135,3.390553227852102e-06,unresolved,AOC1
ENSG00000002746,14,sharedSameDirection,2,"IPF / Pulmonary Fibrosis,Lung Cancer",2.1873059077049875,6.83409923401439e-37,unresolved,HECW1
ENSG00000002746,36,areaSelective,1,COVID-19 / SARS-CoV-2,1.4042119325459355,0.043890863213308796,unresolved,HECW1
ENSG00000002746,52,areaSelective,1,IPF / Pulmonary Fibrosis,1.8311319868927156,8.842973453007774e-12,unresolved,HECW1
ENSG00000002746,60,areaSelective,1,IPF / Pulmonary Fibrosis,1.3224184464510043,7.647858105716615e-05,unresolved,HECW1
ENSG00000002933,24,areaSelective,1,Lung Cancer,1.2150712318417451,0.0008729507220672088,unresolved,TMEM176A
ENSG00000002933,9,areaSelective,1,Lung Cancer,1.2211899739860061,0.03458341232917622,macrophage,TMEM176A
ENSG00000003096,14,areaSelective,1,IPF / Pulmonary Fibrosis,1.2548306344484994,6.351664119620842e-20,unresolved,KLHL13
ENSG00000003096,52,areaSelective,1,IPF / Pulmonary Fibrosis,1.3426559082605791,1.4456335705286862e-11,unresolved,KLHL13
ENSG00000003096,60,areaSelective,1,IPF / Pulmonary Fibrosis,1.1153276445750087,2.1773961452881486e-08,unresolved,KLHL13
ENSG00000003137,36,areaSelective,1,IPF / Pulmonary Fibrosis,-1.7176384123124768,2.8953998058866553e-12,unresolved,CYP26B1
