gene,topCluster,tau,meanExprTop,meanDetectionTop,meanDetectionBackground,maxDetectionBackground,meanExprBackground,nStudiesAgreeTop,nStudiesScored,detectionDifference,geneSymbol,biotype,interpretedCellType,interpretationStatus,topLabel,topLabelFraction,labelEntropy,proposalClass,cluster,diseaseArea,evidenceScore,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,nCaseProfiles,nControlProfiles,nStudies,caseDetection,controlDetection,detectionDelta,topSourceLabel,topSourceLabelFraction,negLog10Padj,absLog2FoldChange,absDetectionDelta,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,absMeanLog2FoldChange,evidenceClass,nDiseaseAreasHit,diseaseAreas,minPadj,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,resolvedBonus,allEvidenceClasses,nEvidenceClasses,reviewTier,reviewRank,reviewPriority,studyDirectionAgreement,nStudiesAgree,nStudiesScoredAgreement
ENSG00000181458,,,,,,,,,,,TMEM45A,protein_coding,,,,,,sharedDiseaseProgram,,,0.9700379549006475,,,,,,,,,,,,,,,,,,3.0,14.0,2.1093968009687063,up,2.1093968009687063,,,,,,,,,,,,sharedDiseaseProgram,1,primary,1,high,,,
ENSG00000154146,,,,,,,,,,,NRGN,protein_coding,,,,,,sharedDiseaseProgram,,,0.9661978120116097,,,,,,,,,,,,,,,,,,3.0,11.0,-2.1091790955880603,down,2.1091790955880603,,,,,,,,,,,,sharedDiseaseProgram,1,primary,2,high,,,
ENSG00000185303,,,,,,,,,,,SFTPA2,protein_coding,,,,,,sharedDiseaseProgram,,,0.9580709979906229,,,,,,,,,,,,,,,,,,3.0,18.0,-1.9359651768939619,down,1.9359651768939619,,,,,,,,,,,,sharedDiseaseProgram,1,primary,3,high,,,
ENSG00000111218,,,,,,,,,,,PRMT8,protein_coding,,,,,,sharedDiseaseProgram,,,0.9549453002902434,,,,,,,,,,,,,,,,,,3.0,7.0,2.194136660626598,up,2.194136660626598,,,,,,,,,,,,sharedDiseaseProgram,1,primary,4,high,,,
ENSG00000138316,,,,,,,,,,,ADAMTS14,protein_coding,,,,,,sharedDiseaseProgram,,,0.9514623799955347,,,,,,,,,,,,,,,,,,3.0,13.0,1.9106885186063969,up,1.9106885186063969,,,,,,,,,,,,sharedDiseaseProgram,1,primary,5,high,,,
ENSG00000262406,,,,,,,,,,,MMP12,protein_coding,,,,,,sharedDiseaseProgram,,,0.9463942844384906,,,,,,,,,,,,,,,,,,3.0,5.0,2.5073602813049383,up,2.5073602813049383,,,,,,,,,,,,sharedDiseaseProgram,1,primary,6,medium,,,
ENSG00000168484,,,,,,,,,,,SFTPC,protein_coding,respiratory tract goblet cell,resolved,,,,replicatedDiseaseDepletion,45,IPF / Pulmonary Fibrosis,0.9080303030303031,370.5227388482982,-3.1962676583139684,0.3496592145078034,-9.141093744127932,6.182384782475878e-20,2.768781024831822e-16,119.0,58.0,9.0,0.23420960229873616,0.5088920995334865,-0.2746824972347503,respiratory tract goblet cell,0.8534097573980272,15.557711390035465,3.1962676583139684,0.2746824972347503,,,,,,,,,,,,,,,,,"replicatedDiseaseDepletion,unexpectedExpression",2,primary,7,medium,7/9,7,9
ENSG00000151789,,,,,,,,,,,ZNF385D,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,36,IPF / Pulmonary Fibrosis,0.9010191082802549,349.6352276033545,2.1446784784272306,0.17004007590995723,12.612782409970931,1.7954055967646805e-36,5.340209521876947e-33,131.0,116.0,9.0,0.3994429483286912,0.10329769360517946,0.2961452547235117,capillary endothelial cell,0.5106695796181501,32.27244170319431,2.1446784784272306,0.2961452547235117,,,,,,,,,,,,,,,,,"replicatedDiseaseGain,unexpectedExpression",2,primary,8,medium,8/9,8,9
ENSG00000108821,,,,,,,,,,,COL1A1,protein_coding,unresolved,unresolved,,,,replicatedDiseaseGain,14,IPF / Pulmonary Fibrosis,0.898471337579618,1170.572514402477,2.2193833970644214,0.14700810929102234,15.0970134080893,1.6943583908091334e-51,2.8694611024656827e-48,127.0,106.0,9.0,0.6264324830811474,0.3610769238390742,0.2653555592420732,adventitial cell,0.2762481434936593,47.54219965803987,2.2193833970644214,0.2653555592420732,,,,,,,,,,,,,,,,,"replicatedDiseaseGain,unexpectedExpression",2,primary,9,medium,8/9,8,9
ENSG00000149021,,,,,,,,,,,SCGB1A1,protein_coding,unresolved,unresolved,,,,replicatedDiseaseDepletion,20,Lung Cancer,0.896212121212121,66482.31757035402,-8.341131765305317,1.0617773456404203,-7.855820054508972,3.971649324152217e-15,7.125933217393908e-11,35.0,15.0,5.0,0.24300484963590177,0.6110982309604845,-0.3680933813245828,respiratory tract goblet cell,0.3266546281280072,10.147158252073863,8.341131765305317,0.3680933813245828,,,,,,,,,,,,,,,,,"replicatedDiseaseDepletion,unexpectedExpression",2,primary,10,medium,4/5,4,5
