pseudobulk_id,gene_count_Unique,umi_count_Unique,gene_count_UniqueAndMult-EM,umi_count_UniqueAndMult-EM,gene_count_UniqueAndMult-Uniform,umi_count_UniqueAndMult-Uniform,SRX_accession,cell_type,cell_ontology_term_id,n_genes_by_counts,total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,total_counts_hb,pct_counts_hb,n_genes,study_accession,leiden_uncorrected,leiden_atlas,diseaseArea,diseaseAreaSource,diseaseName,diseaseOntologyTermId,diseased,isBiologicalControl,controlType,eligible,excludeReason,disease_ontology_term_id,psbulk_cells,psbulk_counts
ERX11662338_0,2089,14203.0,2193,15116.005,2267,15115.998,ERX11662338,B cell,CL:0000236,2089,14203.0,72.09744420192918,76.73730901922129,81.44758149686686,87.31253960430895,466.0,3.2809968,928.0,6.5338306,0.0,0.0,2089,PRJEB68315,0,0,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,70,1000683.0
ERX11662338_1,2814,6983.0,2961,7320.001,3047,7320.0015,ERX11662338,"CD4-positive, alpha-beta T cell",CL:0000624,2814,6983.0,24.24459401403408,31.891737075755405,41.48646713446942,56.966919662036375,501.0,7.174567,802.0,11.485035,0.0,0.0,2814,PRJEB68315,4,1,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,3796,13802744.0
ERX11662338_13,2568,7648.0,2719,8092.0,2806,8092.0015,ERX11662338,basophil,CL:0000767,2568,7648.0,27.144351464435147,37.31694560669456,48.99320083682008,64.69665271966527,295.0,3.8572178,1249.0,16.331068,0.0,0.0,2568,PRJEB68315,42,13,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,88,936183.0
ERX11662338_20,2561,6320.0,2722,6663.001,2844,6663.004,ERX11662338,club cell,CL:0000158,2561,6320.0,25.221518987341774,31.930379746835442,40.83860759493671,57.83227848101266,539.0,8.528481,42.0,0.664557,0.0,0.0,2561,PRJEB68315,13,20,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,40,599943.0
ERX11662338_21,467,710.0,506,802.00006,514,802.0001,ERX11662338,plasma cell,CL:0000786,467,710.0,38.59154929577465,48.30985915492958,62.394366197183096,100.0,132.0,18.59155,19.0,2.6760564,0.0,0.0,467,PRJEB68315,39,21,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,46,45968.0
ERX11662338_24,5474,21080.0,5710,22457.998,5953,22458.0,ERX11662338,macrophage,CL:0000235,5474,21080.0,21.095825426944973,27.210626185958255,35.03320683111954,48.9753320683112,2172.0,10.303605,592.0,2.8083491,0.0,0.0,5474,PRJEB68315,53,24,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,686,9352392.0
ERX11662338_26,3859,17480.0,4020,18004.998,4153,18005.002,ERX11662338,macrophage,CL:0000235,3859,17480.0,32.225400457665906,40.56064073226545,50.171624713958806,64.50228832951946,238.0,1.361556,1151.0,6.584668,0.0,0.0,3859,PRJEB68315,39,26,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,335,4584324.0
ERX11662338_3,2617,5230.0,2756,5600.001,2861,5600.0015,ERX11662338,"CD4-positive, alpha-beta T cell",CL:0000624,2617,5230.0,18.718929254302104,24.722753346080307,33.21223709369025,50.439770554493315,286.0,5.468451,91.0,1.7399619,0.0,0.0,2617,PRJEB68315,47,3,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,21,286798.0
ERX11662338_34,3717,11942.0,3924,12581.0,4075,12580.999,ERX11662338,classical monocyte,CL:0000860,3717,11942.0,22.676268631719978,29.84424719477474,38.8879584659186,55.42622676268631,807.0,6.757662,612.0,5.1247697,0.0,0.0,3717,PRJEB68315,39,34,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,365,2926925.0
ERX11662338_36,1589,2824.0,1742,3162.999,1782,3162.9985,ERX11662338,endothelial cell of artery,CL:1000413,1589,2824.0,20.361189801699716,29.21388101983003,41.25354107648725,61.43767705382436,113.0,4.001416,177.0,6.2677054,0.0,0.0,1589,PRJEB68315,16,36,Lung Cancer,disease_text,,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,26,192371.0
