cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
0,COPD,0,0,0,0,0,False,unresolved,unresolved,B cell,0.5949997182410729
0,COVID-19 / SARS-CoV-2,1,18,6,1315,221,True,unresolved,unresolved,B cell,0.5949997182410729
0,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,B cell,0.5949997182410729
0,IPF / Pulmonary Fibrosis,7,73,41,22451,3824,True,unresolved,unresolved,B cell,0.5949997182410729
0,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,B cell,0.5949997182410729
0,Lung Cancer,5,41,20,8487,2623,True,unresolved,unresolved,B cell,0.5949997182410729
0,Pulmonary Hypertension,1,2,1,112,20,False,unresolved,unresolved,B cell,0.5949997182410729
1,COPD,1,1,1,831,1030,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,COVID-19 / SARS-CoV-2,4,51,13,32237,13729,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,Cystic Fibrosis,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,IPF / Pulmonary Fibrosis,6,116,52,36235,10488,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,Interstitial Lung Disease,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,Lung Cancer,5,45,26,81239,53854,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
1,Pulmonary Hypertension,1,3,3,4521,804,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9163026089556702
10,COPD,0,0,0,0,0,False,macrophage,resolved,macrophage,0.9465301035906223
10,COVID-19 / SARS-CoV-2,1,29,10,31143,8458,True,macrophage,resolved,macrophage,0.9465301035906223
10,IPF / Pulmonary Fibrosis,1,8,5,4682,1290,True,macrophage,resolved,macrophage,0.9465301035906223
10,Lung Cancer,0,0,0,0,0,False,macrophage,resolved,macrophage,0.9465301035906223
11,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.5027624309392266
12,COPD,0,0,0,0,0,False,unresolved,unresolved,B cell,0.4471524496393932
12,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,B cell,0.4471524496393932
12,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,B cell,0.4471524496393932
13,COPD,1,1,1,63,105,False,unresolved,unresolved,basophil,0.6113958709108133
13,COVID-19 / SARS-CoV-2,1,29,10,4883,1714,True,unresolved,unresolved,basophil,0.6113958709108133
13,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6113958709108133
13,IPF / Pulmonary Fibrosis,6,104,52,9912,4219,True,unresolved,unresolved,basophil,0.6113958709108133
13,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6113958709108133
13,Lung Cancer,5,29,19,4013,3517,True,unresolved,unresolved,basophil,0.6113958709108133
13,Pulmonary Hypertension,1,3,2,273,106,True,unresolved,unresolved,basophil,0.6113958709108133
14,COPD,1,1,1,23,20,False,unresolved,unresolved,adventitial cell,0.27624814349365934
14,COVID-19 / SARS-CoV-2,2,35,12,15184,2663,True,unresolved,unresolved,adventitial cell,0.27624814349365934
14,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.27624814349365934
14,IPF / Pulmonary Fibrosis,8,123,70,85180,49673,True,unresolved,unresolved,adventitial cell,0.27624814349365934
14,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.27624814349365934
14,Lung Cancer,5,41,25,33038,7407,True,unresolved,unresolved,adventitial cell,0.27624814349365934
14,Pulmonary Hypertension,2,6,6,5165,7826,True,unresolved,unresolved,adventitial cell,0.27624814349365934
16,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.452991452991453
17,COPD,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.3827332207383017
17,COVID-19 / SARS-CoV-2,4,34,15,4481,554,True,unresolved,unresolved,basal cell,0.3827332207383017
17,Cystic Fibrosis,2,9,3,263,152,True,unresolved,unresolved,basal cell,0.3827332207383017
17,IPF / Pulmonary Fibrosis,3,19,11,571,439,True,unresolved,unresolved,basal cell,0.3827332207383017
17,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.3827332207383017
17,Lung Cancer,3,27,9,4687,1182,True,unresolved,unresolved,basal cell,0.3827332207383017
17,Pulmonary Hypertension,1,3,3,6579,6045,True,unresolved,unresolved,basal cell,0.3827332207383017
19,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,endothelial cell of artery,0.630057803468208
2,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.963963963963964
2,IPF / Pulmonary Fibrosis,1,6,3,2214,147,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.963963963963964
20,COPD,1,1,1,58,44,False,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,COVID-19 / SARS-CoV-2,5,47,19,14497,5171,True,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,Cystic Fibrosis,2,23,5,17439,1495,True,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,IPF / Pulmonary Fibrosis,8,137,60,50557,8921,True,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,Lung Cancer,5,35,15,19640,3046,True,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
20,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.3266546281280072
21,COPD,1,1,1,34,55,False,unresolved,unresolved,plasma cell,0.3122903018474076
21,COVID-19 / SARS-CoV-2,7,65,23,23771,5688,True,unresolved,unresolved,plasma cell,0.3122903018474076
21,Cystic Fibrosis,2,20,5,4195,750,True,unresolved,unresolved,plasma cell,0.3122903018474076
21,IPF / Pulmonary Fibrosis,7,114,50,12894,12667,True,unresolved,unresolved,plasma cell,0.3122903018474076
21,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.3122903018474076
21,Lung Cancer,5,53,24,5838,4237,True,unresolved,unresolved,plasma cell,0.3122903018474076
21,Pulmonary Hypertension,2,6,6,2611,3562,True,unresolved,unresolved,plasma cell,0.3122903018474076
22,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.4822222222222222
23,COPD,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.47180102541725755
23,COVID-19 / SARS-CoV-2,4,40,16,5456,6466,True,unresolved,unresolved,basal cell,0.47180102541725755
23,Cystic Fibrosis,2,22,5,5061,899,True,unresolved,unresolved,basal cell,0.47180102541725755
23,IPF / Pulmonary Fibrosis,3,31,11,6257,939,True,unresolved,unresolved,basal cell,0.47180102541725755
23,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.47180102541725755
23,Lung Cancer,2,7,3,1501,5912,True,unresolved,unresolved,basal cell,0.47180102541725755
24,COPD,1,1,1,41,37,False,unresolved,unresolved,macrophage,0.327868190212373
24,COVID-19 / SARS-CoV-2,4,47,13,7594,2770,True,unresolved,unresolved,macrophage,0.327868190212373
24,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.327868190212373
24,IPF / Pulmonary Fibrosis,6,124,50,35222,5374,True,unresolved,unresolved,macrophage,0.327868190212373
24,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.327868190212373
24,Lung Cancer,5,40,25,18018,13055,True,unresolved,unresolved,macrophage,0.327868190212373
24,Pulmonary Hypertension,1,3,3,1073,662,True,unresolved,unresolved,macrophage,0.327868190212373
26,COPD,1,1,1,68,101,False,macrophage,resolved,macrophage,0.798202097552855
26,COVID-19 / SARS-CoV-2,3,49,12,51082,18485,True,macrophage,resolved,macrophage,0.798202097552855
26,Cystic Fibrosis,1,1,1,38,11,False,macrophage,resolved,macrophage,0.798202097552855
26,IPF / Pulmonary Fibrosis,6,129,64,90548,31066,True,macrophage,resolved,macrophage,0.798202097552855
26,Interstitial Lung Disease,0,0,0,0,0,False,macrophage,resolved,macrophage,0.798202097552855
26,Lung Cancer,5,30,24,16340,7648,True,macrophage,resolved,macrophage,0.798202097552855
26,Pulmonary Hypertension,1,3,3,2864,1895,True,macrophage,resolved,macrophage,0.798202097552855
27,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.5
29,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.6419753086419753
3,COPD,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883
3,COVID-19 / SARS-CoV-2,2,10,4,1536,81,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883
3,IPF / Pulmonary Fibrosis,2,9,2,173,36,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883
3,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883
3,Lung Cancer,3,18,9,1778,3668,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883
30,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.4864864864864865
31,COPD,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9368114823755129
31,COVID-19 / SARS-CoV-2,5,41,16,18516,8792,True,basal cell,resolved,basal cell,0.9368114823755129
31,Cystic Fibrosis,2,22,5,12849,4115,True,basal cell,resolved,basal cell,0.9368114823755129
31,IPF / Pulmonary Fibrosis,7,78,18,13752,878,True,basal cell,resolved,basal cell,0.9368114823755129
31,Interstitial Lung Disease,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9368114823755129
31,Lung Cancer,3,11,7,1508,470,True,basal cell,resolved,basal cell,0.9368114823755129
31,Pulmonary Hypertension,2,4,4,2090,1191,True,basal cell,resolved,basal cell,0.9368114823755129
32,COPD,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.28263590844062947
32,COVID-19 / SARS-CoV-2,1,5,4,90,65,True,unresolved,unresolved,basal cell,0.28263590844062947
32,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.28263590844062947
32,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.28263590844062947
32,Lung Cancer,3,5,5,265,651,True,unresolved,unresolved,basal cell,0.28263590844062947
32,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.28263590844062947
33,Lung Cancer,1,14,3,3052,106,True,unresolved,unresolved,basal cell,0.41322815533980584
34,COPD,1,1,1,271,442,False,unresolved,unresolved,intermediate monocyte,0.23035632169088416
34,COVID-19 / SARS-CoV-2,3,46,12,39363,9778,True,unresolved,unresolved,intermediate monocyte,0.23035632169088416
