srxAccession,studyAccession,diseaseRaw,diseaseOntologyTermId,diseaseName,tissueRaw,tissueOntologyRaw,cellLineRaw,diseaseArea,diseaseAreaSource,diseased,isBiologicalControl,controlType,isExperimentalComparator,eligible,excludeReason
ERX11662338,PRJEB68315,non-small cell lung cancer,MONDO:0005233,,lung,UBERON:0002048,not applicable; the sample is from a patient,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662359,PRJEB68315,lung squamous cell carcinoma,MONDO:0005097,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662361,PRJEB68315,lung squamous cell carcinoma,MONDO:0005097,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662362,PRJEB68315,lung squamous cell carcinoma,MONDO:0005097,,lung,UBERON:0002048,other,Lung Cancer,disease_text,True,False,,False,True,
ERX11662366,PRJEB68315,lung squamous cell carcinoma,MONDO:0005097,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,True,False,,False,True,
ERX11662371,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,True,False,,False,True,
ERX11662373,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,not_applicable,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662375,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,not_applicable,Lung Cancer,disease_text,True,False,,False,True,
ERX11662377,PRJEB68315,non-small cell lung cancer,MONDO:0005233,,lung,UBERON:0002048,not specified,Lung Cancer,disease_text,True,False,,False,True,
ERX11662378,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,not_applicable,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662382,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,not_applicable,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11662384,PRJEB68315,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,False,True,matchedAdjacent,False,True,
ERX11876748,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor central margin,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876750,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876751,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876752,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor subpleural margin (primary fibroblasts and endothelial cells),UBERON:0002401,none; primary cells,Lung Cancer,disease_text,True,False,,False,True,
ERX11876753,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor subpleural margin,UBERON:0002401,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876754,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor subpleural margin,UBERON:0002401,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876755,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,False,True,healthy,False,True,
ERX11876756,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor central margin,,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876757,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor central margin,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876758,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor subpleural margin,UBERON:0008946,unsure,Lung Cancer,disease_text,True,False,,False,True,
ERX11876759,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor central margin,,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876760,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung,UBERON:0002048,not specified,Lung Cancer,disease_text,False,True,healthy,False,True,
ERX11876763,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,UBERON:0002048,lymphocyte,Lung Cancer,disease_text,True,False,,False,True,
ERX11876764,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor subpleural margin,UBERON:0002401,lymphocyte (sample from a patient),Lung Cancer,disease_text,True,False,,False,True,
ERX11876765,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,UBERON:0002048,lymphocyte,Lung Cancer,disease_text,True,False,,False,True,
ERX11876766,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,,lymphocyte,Lung Cancer,disease_text,True,False,,False,True,
ERX11876767,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor subpleural margin,UBERON:0008946,lymphocyte,Lung Cancer,disease_text,True,False,,False,True,
ERX11876768,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor subpleural margin,UBERON:0002401,other,Lung Cancer,disease_text,True,False,,False,True,
ERX11876769,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung tumor subpleural margin,,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876770,PRJEB71931,non-small cell lung adenocarcinoma,MONDO:0005233,,lung,UBERON:0002048,unsure,Lung Cancer,disease_text,False,True,healthy,False,True,
ERX11876771,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor central margin,UBERON:0002048,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX11876772,PRJEB71931,non-small cell squamous lung carcinoma,MONDO:0056806,,lung tumor subpleural margin,UBERON:0008946,"fibroblast, endothelial cell",Lung Cancer,disease_text,True,False,,False,True,
ERX4409913,PRJEB39956,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,PC-9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
ERX4409915,PRJEB39956,lung adenocarcinoma,MONDO:0005061,,lung,UBERON:0002048,PC-9,Lung Cancer,disease_text,True,False,,False,False,excluded_sample_type
ERX8831396,PRJEB51720,squamous cell lung carcinoma,MONDO:0005097,,lung,UBERON:0002048,HARA,Lung Cancer,disease_text,True,False,,False,True,
SRX10008476,PRJNA699012,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung (CD90+ cells from lung explant),UBERON:0002048,none; primary cells,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,False,excluded_sample_type
SRX10048373,PRJNA669824,"COVID-19, idiopathic pulmonary fibrosis (IPF)",MONDO:0100096,,"lung (pulmonary vasculature, autopsy)",UBERON:0000102,none,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,True,
SRX10048375,PRJNA669824,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung,UBERON:0002048,none,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,True,
SRX10048376,PRJNA669824,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung,UBERON:0002048,not_applicable,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,True,
SRX10048377,PRJNA669824,healthy control (study includes COVID-19 and idiopathic pulmonary fibrosis),,,"lung (vascular fraction, autopsy)",UBERON:0000102,none,IPF / Pulmonary Fibrosis,disease_text,,False,,False,True,
SRX10048379,PRJNA669824,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung (autopsy),UBERON:0002048,none,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,True,
SRX10048380,PRJNA669824,idiopathic pulmonary fibrosis (IPF),MONDO:0800504,,lung (explant),UBERON:0002048,not_applicable,IPF / Pulmonary Fibrosis,disease_text,True,False,,False,False,excluded_sample_type
