gene,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,geneSymbol,biotype
ENSG00000002746,3,4,1.786474836259926,up,HECW1,protein_coding
ENSG00000004468,3,10,1.565471461372542,up,CD38,protein_coding
ENSG00000073910,3,4,-0.9901970417900706,down,FRY,protein_coding
ENSG00000089127,3,7,1.6827763433974412,up,OAS1,protein_coding
ENSG00000090530,3,6,-1.1739221404457616,down,P3H2,protein_coding
ENSG00000101335,3,4,-0.7384170834490346,down,MYL9,protein_coding
ENSG00000101443,3,6,1.9889864641212036,up,WFDC2,protein_coding
ENSG00000111218,3,7,2.194136660626598,up,PRMT8,protein_coding
ENSG00000124721,3,3,1.2927877265059753,up,DNAH8,protein_coding
ENSG00000127920,3,4,-1.8733294728742713,down,GNG11,protein_coding
ENSG00000132530,3,6,1.5246657397955887,up,XAF1,protein_coding
ENSG00000137809,3,5,1.7595895688309948,up,ITGA11,protein_coding
ENSG00000138316,3,13,1.9106885186063969,up,ADAMTS14,protein_coding
ENSG00000138821,3,17,-1.6894483106329945,down,SLC39A8,protein_coding
ENSG00000152766,3,5,1.5974472071146717,up,ANKRD22,protein_coding
ENSG00000154146,3,11,-2.1091790955880603,down,NRGN,protein_coding
ENSG00000156234,3,4,2.3141410593707135,up,CXCL13,protein_coding
ENSG00000157890,3,5,1.4534831541269,up,MEGF11,protein_coding
ENSG00000162849,3,11,1.5803071083393552,up,KIF26B,protein_coding
ENSG00000163032,3,9,1.72353462178188,up,VSNL1,protein_coding
ENSG00000163739,3,4,-2.4551736454510174,down,CXCL1,protein_coding
ENSG00000164161,3,23,-1.7830262968386243,down,HHIP,protein_coding
ENSG00000172572,3,2,1.8186185812708073,up,PDE3A,protein_coding
ENSG00000181458,3,14,2.1093968009687063,up,TMEM45A,protein_coding
ENSG00000183486,3,11,1.5513726423878857,up,MX2,protein_coding
ENSG00000183780,3,5,1.7971836865751967,up,SLC35F3,protein_coding
ENSG00000185303,3,18,-1.9359651768939619,down,SFTPA2,protein_coding
ENSG00000187608,3,12,1.4905621306283894,up,ISG15,protein_coding
ENSG00000188906,3,9,-1.637529673331986,down,LRRK2,protein_coding
ENSG00000205038,3,10,-1.0966846168936588,down,PKHD1L1,protein_coding
ENSG00000205403,3,3,1.79960956856503,up,CFI,protein_coding
ENSG00000227191,3,4,-1.3978727061508411,down,TRGC2,TR_C_gene
ENSG00000228221,3,3,1.606657511114806,up,LINC00578,lncRNA
ENSG00000231131,3,5,1.5298184714777283,up,LNCAROD,lncRNA
ENSG00000232855,3,3,-1.1983034263079666,down,AF165147.1,lncRNA
ENSG00000234690,3,3,1.3737792901730357,up,EPCAM-DT,lncRNA
ENSG00000234883,3,2,-1.8574038779633801,down,MIR155HG,lncRNA
ENSG00000243649,3,4,1.3340686786963796,up,CFB,protein_coding
ENSG00000251003,3,9,1.9123393710638779,up,ZFPM2-AS1,lncRNA
ENSG00000251191,3,4,1.41817159961347,up,LINC00589,lncRNA
ENSG00000253944,3,2,1.960927557672325,up,AC027117.2,lncRNA
ENSG00000262406,3,5,2.5073602813049383,up,MMP12,protein_coding
ENSG00000000971,2,5,1.1487159883026874,up,CFH,protein_coding
ENSG00000002587,2,3,1.494495432081236,up,HS3ST1,protein_coding
ENSG00000003147,2,4,1.401097616462868,up,ICA1,protein_coding
ENSG00000003436,2,9,-1.343994830897228,down,TFPI,protein_coding
ENSG00000003989,2,3,-1.5006433318378647,down,SLC7A2,protein_coding
ENSG00000004799,2,3,-1.344949256816326,down,PDK4,protein_coding
ENSG00000005001,2,2,1.8534777091816224,up,PRSS22,protein_coding
ENSG00000005249,2,2,-1.4264366166264533,down,PRKAR2B,protein_coding
ENSG00000006042,2,1,1.9736977800073574,up,TMEM98,protein_coding
ENSG00000006071,2,12,-1.5358057030230758,down,ABCC8,protein_coding
ENSG00000006128,2,2,-1.9353895578287292,down,TAC1,protein_coding
ENSG00000006210,2,3,1.5767576777066339,up,CX3CL1,protein_coding
ENSG00000006283,2,4,1.3358975532530333,up,CACNA1G,protein_coding
ENSG00000006327,2,3,-1.0988383507167274,down,TNFRSF12A,protein_coding
ENSG00000006704,2,2,1.041730923896266,up,GTF2IRD1,protein_coding
ENSG00000006747,2,6,0.5747058907131342,up,SCIN,protein_coding
ENSG00000007306,2,2,1.8276807442472225,up,CEACAM7,protein_coding
ENSG00000007312,2,3,1.2161822704214857,up,CD79B,protein_coding
ENSG00000007866,2,1,1.6845120209977722,up,TEAD3,protein_coding
ENSG00000008118,2,4,1.512892600975635,up,CAMK1G,protein_coding
ENSG00000008311,2,2,-1.277272577094307,down,AASS,protein_coding
ENSG00000008517,2,2,1.3660527659189325,up,IL32,protein_coding
ENSG00000010438,2,1,-1.7007225982257612,down,PRSS3,protein_coding
ENSG00000010932,2,2,1.1806747660113919,up,FMO1,protein_coding
ENSG00000011347,2,4,1.6889393490410731,up,SYT7,protein_coding
ENSG00000011465,2,4,-1.433311077185504,down,DCN,protein_coding
ENSG00000012171,2,2,-1.2477268232753174,down,SEMA3B,protein_coding
ENSG00000012223,2,11,1.077639571914049,up,LTF,protein_coding
ENSG00000013297,2,2,1.2306035624178016,up,CLDN11,protein_coding
ENSG00000016391,2,2,-1.0303825354739304,down,CHDH,protein_coding
ENSG00000016402,2,4,-1.337755358309216,down,IL20RA,protein_coding
ENSG00000021645,2,3,1.2965893720568689,up,NRXN3,protein_coding
ENSG00000022267,2,4,-1.3699371286564368,down,FHL1,protein_coding
ENSG00000025423,2,14,-1.152827402973427,down,HSD17B6,protein_coding
ENSG00000030419,2,2,1.2434452390720498,up,IKZF2,protein_coding
ENSG00000035720,2,2,2.288420802832702,up,STAP1,protein_coding
ENSG00000036473,2,3,-1.4250518479783139,down,OTC,protein_coding
ENSG00000038295,2,3,-1.3467008755980001,down,TLL1,protein_coding
ENSG00000038427,2,2,1.4995561203191243,up,VCAN,protein_coding
ENSG00000039139,2,1,1.7886693172648753,up,DNAH5,protein_coding
ENSG00000039560,2,3,1.5156635477622298,up,RAI14,protein_coding
ENSG00000040608,2,2,1.5232965506781089,up,RTN4R,protein_coding
