gene,geneSymbol,biotype,cluster,diseaseArea,log2FoldChange,padj,caseDetection,controlDetection,detectionDelta,nStudies,interpretedCellType,interpretationStatus,topSourceLabel,topSourceLabelFraction,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,direction
ENSG00000114315,HES1,protein_coding,31,Lung Cancer,1.631520053985858,0.021276883382000275,0.7245694618790971,0.26105834407638673,0.46351111780271037,3,basal cell,resolved,basal cell,0.9368114823755128,33,0.8658217032303045,unresolved,basal cell,0.4132281553398058,0.532808354671482,gain
ENSG00000181458,TMEM45A,protein_coding,45,Cystic Fibrosis,3.1869037835106795,0.001573088710464486,0.6327178350348552,0.19800675897908682,0.4347110760557684,2,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272,57,0.5,unresolved,respiratory tract goblet cell,0.5,0.9397563624623004,gain
ENSG00000168878,SFTPB,protein_coding,38,Lung Cancer,2.1121995217199374,0.00368134024532314,0.8210482309222087,0.39864811415946927,0.4224001167627394,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,57,1.0,unresolved,respiratory tract goblet cell,0.5,1.453044605741464,gain
ENSG00000099795,NDUFB7,protein_coding,31,Lung Cancer,1.0241318096534435,0.022574413388087373,0.7429926514208507,0.32214212397919345,0.42085052744165724,3,basal cell,resolved,basal cell,0.9368114823755128,15,0.9819277108433735,unresolved,basal cell,0.9969879518072288,0.532808354671482,gain
ENSG00000131400,NAPSA,protein_coding,38,Lung Cancer,1.9371904855129705,0.0023630483045454648,0.7861332137218232,0.36876516601655335,0.41736804770526986,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,57,1.0,unresolved,respiratory tract goblet cell,0.5,1.453044605741464,gain
ENSG00000141232,TOB1,protein_coding,31,Lung Cancer,1.1961552871804226,0.029046931808930067,0.6942996761548675,0.27844436840062864,0.4158553077542389,3,basal cell,resolved,basal cell,0.9368114823755128,33,0.9076613706694688,unresolved,basal cell,0.4132281553398058,0.532808354671482,gain
ENSG00000160213,CSTB,protein_coding,31,Lung Cancer,1.7085852948232467,0.026606321311426206,0.9136372414899584,0.49838001623130107,0.4152572252586573,3,basal cell,resolved,basal cell,0.9368114823755128,22,1.0,unresolved,macrophage,0.4822222222222222,0.532808354671482,gain
ENSG00000168209,DDIT4,protein_coding,31,Lung Cancer,2.1824252445583348,0.0038459237628017105,0.8503496686829728,0.4397961190361409,0.4105535496468319,3,basal cell,resolved,basal cell,0.9368114823755128,23,0.6836158155878701,unresolved,basal cell,0.4718010254172575,0.532808354671482,gain
ENSG00000137673,MMP7,protein_coding,23,IPF / Pulmonary Fibrosis,2.293485076629391,7.41233010384088e-06,0.6983864684234858,0.2904357699029321,0.40795069852055377,3,unresolved,unresolved,basal cell,0.4718010254172575,45,0.25210562539080117,respiratory tract goblet cell,respiratory tract goblet cell,0.8534097573980272,1.8939286541819795,gain
ENSG00000002586,CD99,protein_coding,31,Lung Cancer,1.3648048523366971,0.012029948524916675,0.7546530220615569,0.3489742967271671,0.4056787253343898,3,basal cell,resolved,basal cell,0.9368114823755128,33,0.9178124132916178,unresolved,basal cell,0.4132281553398058,0.532808354671482,gain
