cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast
0,COPD,0,0,0,0,0,False
0,IPF / Pulmonary Fibrosis,1,3,1,160,11,False
0,Interstitial Lung Disease,0,0,0,0,0,False
0,Lung Cancer,1,2,1,23,11,False
1,COPD,0,0,0,0,0,False
1,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
1,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
1,Lung Cancer,3,16,14,633,529,True
1,Pulmonary Hypertension,0,0,0,0,0,False
10,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
10,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
12,Interstitial Lung Disease,0,0,0,0,0,False
13,COPD,0,0,0,0,0,False
13,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
13,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
13,Lung Cancer,0,0,0,0,0,False
14,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
14,Cystic Fibrosis,0,0,0,0,0,False
14,IPF / Pulmonary Fibrosis,1,17,13,587,221,True
14,Interstitial Lung Disease,0,0,0,0,0,False
14,Lung Cancer,1,12,1,260,29,False
14,Pulmonary Hypertension,1,1,1,27,19,False
17,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
17,Lung Cancer,0,0,0,0,0,False
17,Pulmonary Hypertension,1,3,1,70,35,False
2,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
20,COPD,0,0,0,0,0,False
20,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
20,Cystic Fibrosis,0,0,0,0,0,False
20,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
20,Interstitial Lung Disease,0,0,0,0,0,False
20,Lung Cancer,0,0,0,0,0,False
21,COPD,0,0,0,0,0,False
21,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
21,Cystic Fibrosis,0,0,0,0,0,False
21,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
21,Interstitial Lung Disease,0,0,0,0,0,False
21,Lung Cancer,1,1,1,12,16,False
21,Pulmonary Hypertension,1,1,1,17,24,False
23,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
23,Cystic Fibrosis,0,0,0,0,0,False
23,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
23,Lung Cancer,0,0,0,0,0,False
24,COPD,0,0,0,0,0,False
24,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
24,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
24,Interstitial Lung Disease,0,0,0,0,0,False
24,Lung Cancer,1,3,3,115,80,True
26,COPD,0,0,0,0,0,False
26,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
26,Cystic Fibrosis,0,0,0,0,0,False
26,IPF / Pulmonary Fibrosis,1,18,5,330,133,True
26,Interstitial Lung Disease,0,0,0,0,0,False
26,Lung Cancer,1,2,2,107,54,True
26,Pulmonary Hypertension,0,0,0,0,0,False
3,Lung Cancer,0,0,0,0,0,False
31,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
31,Cystic Fibrosis,0,0,0,0,0,False
31,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
31,Interstitial Lung Disease,0,0,0,0,0,False
31,Lung Cancer,0,0,0,0,0,False
31,Pulmonary Hypertension,1,1,1,14,11,False
32,Interstitial Lung Disease,0,0,0,0,0,False
32,Lung Cancer,0,0,0,0,0,False
33,Lung Cancer,0,0,0,0,0,False
34,COPD,0,0,0,0,0,False
34,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
34,IPF / Pulmonary Fibrosis,1,2,1,22,16,False
34,Interstitial Lung Disease,0,0,0,0,0,False
34,Lung Cancer,2,4,4,53,62,True
35,IPF / Pulmonary Fibrosis,1,2,3,24,44,True
36,COPD,0,0,0,0,0,False
36,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
36,IPF / Pulmonary Fibrosis,2,27,19,635,580,True
36,Interstitial Lung Disease,0,0,0,0,0,False
36,Lung Cancer,2,9,6,165,100,True
36,Pulmonary Hypertension,1,3,1,195,74,False
38,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
38,IPF / Pulmonary Fibrosis,1,4,8,84,145,True
38,Lung Cancer,0,0,0,0,0,False
39,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
39,Lung Cancer,0,0,0,0,0,False
4,COPD,0,0,0,0,0,False
4,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
4,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
4,Lung Cancer,2,4,5,67,103,True
43,COPD,0,0,0,0,0,False
43,COVID-19 / SARS-CoV-2,1,5,2,178,68,True
43,Cystic Fibrosis,0,0,0,0,0,False
43,IPF / Pulmonary Fibrosis,2,16,8,377,153,True
43,Interstitial Lung Disease,0,0,0,0,0,False
43,Lung Cancer,0,0,0,0,0,False
44,COPD,0,0,0,0,0,False
44,COVID-19 / SARS-CoV-2,1,5,1,83,27,False
44,Cystic Fibrosis,0,0,0,0,0,False
44,IPF / Pulmonary Fibrosis,2,17,3,392,43,True
44,Interstitial Lung Disease,0,0,0,0,0,False
44,Lung Cancer,0,0,0,0,0,False
45,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
45,Cystic Fibrosis,0,0,0,0,0,False
45,IPF / Pulmonary Fibrosis,1,5,1,88,17,False
45,Interstitial Lung Disease,0,0,0,0,0,False
45,Lung Cancer,0,0,0,0,0,False
49,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
5,COPD,0,0,0,0,0,False
5,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
5,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
5,Lung Cancer,3,8,9,237,297,True
5,Pulmonary Hypertension,0,0,0,0,0,False
52,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
52,IPF / Pulmonary Fibrosis,1,9,9,242,652,True
52,Lung Cancer,0,0,0,0,0,False
52,Pulmonary Hypertension,0,0,0,0,0,False
54,IPF / Pulmonary Fibrosis,1,5,3,136,57,True
59,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
59,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
59,Lung Cancer,0,0,0,0,0,False
59,Pulmonary Hypertension,0,0,0,0,0,False
6,COPD,0,0,0,0,0,False
6,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
6,Lung Cancer,1,2,1,196,17,False
60,COPD,0,0,0,0,0,False
60,IPF / Pulmonary Fibrosis,1,4,4,42,66,True
60,Interstitial Lung Disease,0,0,0,0,0,False
60,Lung Cancer,0,0,0,0,0,False
66,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
66,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
7,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
7,IPF / Pulmonary Fibrosis,0,0,0,0,0,False
7,Lung Cancer,0,0,0,0,0,False
8,COPD,0,0,0,0,0,False
8,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
8,Cystic Fibrosis,0,0,0,0,0,False
8,IPF / Pulmonary Fibrosis,1,8,18,159,441,True
8,Interstitial Lung Disease,0,0,0,0,0,False
8,Lung Cancer,0,0,0,0,0,False
9,COPD,0,0,0,0,0,False
9,COVID-19 / SARS-CoV-2,0,0,0,0,0,False
9,Cystic Fibrosis,0,0,0,0,0,False
9,IPF / Pulmonary Fibrosis,2,38,5,854,70,True
9,Interstitial Lung Disease,0,0,0,0,0,False
9,Lung Cancer,1,2,2,59,142,True
