srxAccession,cluster,nClusterCells,studyAccession,diseaseArea,diseased,nCells,proportion
ERX11662338,0,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,1,48,PRJEB68315,Lung Cancer,False,154,0.3116883116883117
ERX11662338,13,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,17,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,20,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,24,10,PRJEB68315,Lung Cancer,False,154,0.06493506493506493
ERX11662338,26,5,PRJEB68315,Lung Cancer,False,154,0.032467532467532464
ERX11662338,34,4,PRJEB68315,Lung Cancer,False,154,0.025974025974025976
ERX11662338,4,16,PRJEB68315,Lung Cancer,False,154,0.1038961038961039
ERX11662338,43,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,44,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,5,7,PRJEB68315,Lung Cancer,False,154,0.045454545454545456
ERX11662338,6,3,PRJEB68315,Lung Cancer,False,154,0.01948051948051948
ERX11662338,8,1,PRJEB68315,Lung Cancer,False,154,0.006493506493506494
ERX11662338,9,50,PRJEB68315,Lung Cancer,False,154,0.3246753246753247
ERX11662359,0,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,1,65,PRJEB68315,Lung Cancer,False,350,0.18571428571428572
ERX11662359,13,5,PRJEB68315,Lung Cancer,False,350,0.014285714285714285
ERX11662359,20,8,PRJEB68315,Lung Cancer,False,350,0.022857142857142857
ERX11662359,21,4,PRJEB68315,Lung Cancer,False,350,0.011428571428571429
ERX11662359,24,23,PRJEB68315,Lung Cancer,False,350,0.06571428571428571
ERX11662359,26,41,PRJEB68315,Lung Cancer,False,350,0.11714285714285715
ERX11662359,3,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,34,24,PRJEB68315,Lung Cancer,False,350,0.06857142857142857
ERX11662359,36,8,PRJEB68315,Lung Cancer,False,350,0.022857142857142857
ERX11662359,38,2,PRJEB68315,Lung Cancer,False,350,0.005714285714285714
ERX11662359,4,20,PRJEB68315,Lung Cancer,False,350,0.05714285714285714
ERX11662359,43,1,PRJEB68315,Lung Cancer,False,350,0.002857142857142857
ERX11662359,44,7,PRJEB68315,Lung Cancer,False,350,0.02
ERX11662359,45,2,PRJEB68315,Lung Cancer,False,350,0.005714285714285714
ERX11662359,5,11,PRJEB68315,Lung Cancer,False,350,0.03142857142857143
ERX11662359,59,3,PRJEB68315,Lung Cancer,False,350,0.008571428571428572
ERX11662359,6,6,PRJEB68315,Lung Cancer,False,350,0.017142857142857144
ERX11662359,7,7,PRJEB68315,Lung Cancer,False,350,0.02
ERX11662359,8,19,PRJEB68315,Lung Cancer,False,350,0.054285714285714284
ERX11662359,9,92,PRJEB68315,Lung Cancer,False,350,0.26285714285714284
ERX11662361,0,1,PRJEB68315,Lung Cancer,False,59,0.01694915254237288
ERX11662361,1,14,PRJEB68315,Lung Cancer,False,59,0.23728813559322035
ERX11662361,24,5,PRJEB68315,Lung Cancer,False,59,0.0847457627118644
ERX11662361,34,11,PRJEB68315,Lung Cancer,False,59,0.1864406779661017
ERX11662361,4,23,PRJEB68315,Lung Cancer,False,59,0.3898305084745763
ERX11662361,5,2,PRJEB68315,Lung Cancer,False,59,0.03389830508474576
ERX11662361,6,3,PRJEB68315,Lung Cancer,False,59,0.05084745762711865
