cluster,nCells,nSamples,nStudiesAll,nDiseaseAreas,nCellsLabeled,nLabels,nStudies,topLabel,topLabelFraction,labelEntropy,topOntology,topOntologyFraction,nOntologies,interpretationStatus,interpretedCellType
0,1150,239,39,8,1139,17,39,B cell,0.591747146619842,1.833042604703328,CL:0000236,0.591747146619842,17,unresolved,unresolved
1,7454,599,64,8,7330,14,64,"CD4-positive, alpha-beta T cell",0.9118690313778991,0.6089488864492272,CL:0000624,0.9118690313778991,14,resolved,"CD4-positive, alpha-beta T cell"
10,550,62,8,5,548,6,8,macrophage,0.9653284671532847,0.27916860701984536,CL:0000235,0.9653284671532847,6,resolved,macrophage
11,2,1,1,1,2,1,1,macrophage,1.0,-0.0,CL:0000235,1.0,1,unresolved,unresolved
12,47,3,3,2,47,9,3,B cell,0.3404255319148936,2.4741036653327257,CL:0000236,0.3404255319148936,9,unresolved,unresolved
13,851,268,42,8,844,21,42,basophil,0.6066350710900474,2.059925059710979,CL:0000767,0.6066350710900474,21,unresolved,unresolved
14,3655,437,49,8,3629,22,49,adventitial cell,0.2904381372278865,3.005186888453507,CL:0002503,0.2904381372278865,22,unresolved,unresolved
15,7,1,1,1,7,1,1,basal cell,1.0,-0.0,CL:0000646,1.0,1,unresolved,unresolved
17,607,153,56,6,605,18,56,basal cell,0.47768595041322315,2.638808724002842,CL:0000646,0.47768595041322315,18,unresolved,unresolved
18,1,1,1,1,1,1,1,B cell,1.0,-0.0,CL:0000236,1.0,1,unresolved,unresolved
19,2,2,1,1,2,1,1,endothelial cell of artery,1.0,-0.0,CL:1000413,1.0,1,unresolved,unresolved
2,23,8,3,2,23,1,3,"CD4-positive, alpha-beta T cell",1.0,-0.0,CL:0000624,1.0,1,resolved,"CD4-positive, alpha-beta T cell"
20,2855,490,68,8,2844,19,68,respiratory tract goblet cell,0.33263009845288327,2.840909736421647,CL:0002370,0.33263009845288327,19,unresolved,unresolved
21,1924,475,86,8,1842,21,85,plasma cell,0.34473398479913137,2.8453711532773127,CL:0000786,0.34473398479913137,21,unresolved,unresolved
22,4,1,1,1,4,2,1,macrophage,0.5,1.0,CL:0000235,0.5,2,unresolved,unresolved
23,763,173,49,7,758,15,49,basal cell,0.4604221635883905,1.9201411752328394,CL:0000646,0.4604221635883905,15,unresolved,unresolved
24,1880,479,57,8,1860,21,57,macrophage,0.30376344086021506,2.5550095719426094,CL:0000235,0.30376344086021506,21,unresolved,unresolved
26,4893,589,59,8,4870,17,59,macrophage,0.8012320328542094,1.2732081641091142,CL:0000235,0.8012320328542094,17,resolved,macrophage
28,1,1,1,1,1,1,1,respiratory tract goblet cell,1.0,-0.0,CL:0002370,1.0,1,unresolved,unresolved
29,1,1,1,1,1,1,1,respiratory tract goblet cell,1.0,-0.0,CL:0002370,1.0,1,unresolved,unresolved
3,184,80,30,6,183,5,29,"CD4-positive, alpha-beta T cell",0.6557377049180327,1.4345442321747188,CL:0000624,0.6557377049180327,5,unresolved,unresolved
31,1990,232,59,7,1981,9,59,basal cell,0.9575971731448764,0.34749768666616654,CL:0000646,0.9575971731448764,9,resolved,basal cell
32,137,45,15,6,137,9,15,basal cell,0.2773722627737226,2.4139692284531917,CL:0000646,0.2773722627737226,9,unresolved,unresolved
33,32,9,3,2,32,6,3,basal cell,0.5625,1.916615921862549,CL:0000646,0.5625,6,unresolved,unresolved
34,2605,472,54,8,2589,16,54,intermediate monocyte,0.22170722286597142,2.660640939674223,CL:0002393,0.22170722286597142,16,unresolved,unresolved
35,174,35,8,3,169,6,8,"CD4-positive, alpha-beta T cell",0.6390532544378699,1.471233245225601,CL:0000624,0.6390532544378699,6,unresolved,unresolved
36,4865,483,42,8,4836,24,42,capillary endothelial cell,0.5119933829611248,2.1262044875945483,CL:0002144,0.5119933829611248,24,unresolved,unresolved
