pseudobulk_id,gene_count_Unique,umi_count_Unique,gene_count_UniqueAndMult-EM,umi_count_UniqueAndMult-EM,gene_count_UniqueAndMult-Uniform,umi_count_UniqueAndMult-Uniform,SRX_accession,cell_type,cell_ontology_term_id,n_genes_by_counts,total_counts,pct_counts_in_top_50_genes,pct_counts_in_top_100_genes,pct_counts_in_top_200_genes,pct_counts_in_top_500_genes,total_counts_mt,pct_counts_mt,total_counts_ribo,pct_counts_ribo,total_counts_hb,pct_counts_hb,n_genes,study_accession,leiden_uncorrected,leiden_atlas,diseaseArea,diseaseAreaSource,diseaseName,diseaseOntologyTermId,diseased,isBiologicalControl,controlType,eligible,excludeReason,disease_ontology_term_id,psbulk_cells,psbulk_counts
ERX11662338_1,1028,1939.0,1112,2048.0,1132,2047.9998,ERX11662338,"CD4-positive, alpha-beta T cell",CL:0000624,1028,1939.0,30.118617844249613,41.10366168127901,53.068592057761734,72.76946879834966,173.0,8.922125,308.0,15.884477,0.0,0.0,1028,PRJEB68315,4,1,Lung Cancer,ontology,non-small cell lung carcinoma,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,48,174233.0
ERX11662338_24,5535,24906.0,5778,25864.998,5985,25865.002,ERX11662338,macrophage,CL:0000235,5535,24906.0,28.85248534489681,36.39283706737332,45.46695575363366,58.13458604352365,1198.0,4.810086,2306.0,9.258814,0.0,0.0,5535,PRJEB68315,39,24,Lung Cancer,ontology,non-small cell lung carcinoma,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,10,143134.0
ERX11662338_4,2111,4416.0,2247,4654.0005,2310,4654.0,ERX11662338,natural killer cell,CL:0000623,2111,4416.0,22.916666666666664,31.11413043478261,41.55344202898551,58.46920289855072,197.0,4.461051,524.0,11.865942,0.0,0.0,2111,PRJEB68315,6,4,Lung Cancer,ontology,non-small cell lung carcinoma,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,16,63838.0
ERX11662338_9,5848,26590.0,6119,28862.0,6376,28862.008,ERX11662338,macrophage,CL:0000235,5848,26590.0,23.49003384731102,30.16171493042497,38.322677698382854,51.87664535539677,1458.0,5.4832644,1226.0,4.610756,0.0,0.0,5848,PRJEB68315,49,9,Lung Cancer,ontology,non-small cell lung carcinoma,MONDO:0005233,False,True,matchedAdjacent,True,,MONDO:0005233,50,965681.0
ERX11662359_1,1285,2065.0,1386,2218.9993,1421,2218.9998,ERX11662359,"CD4-positive, alpha-beta T cell",CL:0000624,1285,2065.0,19.90314769975787,27.99031476997579,39.370460048426146,61.98547215496368,91.0,4.40678,63.0,3.0508475,0.0,0.0,1285,PRJEB68315,4,1,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,65,179201.0
ERX11662359_24,4155,12611.0,4347,13229.0,4494,13229.0,ERX11662359,intermediate monocyte,CL:0002393,4155,12611.0,21.584331139481407,28.39584489731187,37.52279755768773,52.90619300610578,484.0,3.8379192,1019.0,8.080247,0.0,0.0,4155,PRJEB68315,39,24,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,23,292398.0
ERX11662359_26,4288,14967.0,4540,15663.001,4673,15662.996,ERX11662359,macrophage,CL:0000235,4288,14967.0,23.10416249081312,30.65410569920492,40.221821340281956,55.96311886149529,931.0,6.2203517,975.0,6.514332,0.0,0.0,4288,PRJEB68315,39,26,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,41,423258.0
ERX11662359_34,3301,12175.0,3478,12699.001,3592,12698.995,ERX11662359,intermediate monocyte,CL:0002393,3301,12175.0,24.03285420944559,33.95482546201232,45.49486652977413,62.53798767967146,440.0,3.613963,1543.0,12.673511,0.0,0.0,3301,PRJEB68315,43,34,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,24,151951.0
ERX11662359_4,1228,2061.0,1307,2216.0,1331,2215.9995,ERX11662359,"CD8-positive, alpha-beta T cell",CL:0000625,1228,2061.0,27.365356622998544,35.37117903930131,45.608927704997576,64.67734109655507,92.0,4.4638524,208.0,10.092189,0.0,0.0,1228,PRJEB68315,6,4,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,20,55203.0
ERX11662359_5,1169,1998.0,1276,2156.0,1307,2156.0,ERX11662359,"CD4-positive, alpha-beta T cell",CL:0000624,1169,1998.0,28.32832832832833,36.63663663663664,47.4974974974975,66.51651651651652,129.0,6.456456,228.0,11.411411,0.0,0.0,1169,PRJEB68315,4,5,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,11,31312.0
ERX11662359_8,6701,34822.0,6982,36090.996,7232,36091.01,ERX11662359,macrophage,CL:0000235,6701,34822.0,35.451725920395155,40.293492619608294,46.32416288553213,56.811785652748256,1305.0,3.7476308,1863.0,5.350066,0.0,0.0,6701,PRJEB68315,26,8,Lung Cancer,ontology,squamous cell lung carcinoma,MONDO:0005097,False,True,matchedAdjacent,True,,MONDO:0005097,19,375320.0
