cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
0,COPD,0,0,0,0,0,False,unresolved,unresolved,B cell,0.591747146619842
0,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,B cell,0.591747146619842
0,IPF / Pulmonary Fibrosis,1,3,1,160,11,False,unresolved,unresolved,B cell,0.591747146619842
0,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,B cell,0.591747146619842
0,Lung Cancer,1,2,1,23,11,False,unresolved,unresolved,B cell,0.591747146619842
1,COPD,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
1,COVID-19 / SARS-CoV-2,3,15,6,289,134,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
1,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
1,Interstitial Lung Disease,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
1,Lung Cancer,3,18,14,767,529,True,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
1,Pulmonary Hypertension,1,2,1,72,11,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",0.9118690313778991
10,COVID-19 / SARS-CoV-2,1,9,2,220,58,True,macrophage,resolved,macrophage,0.9653284671532847
10,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,macrophage,resolved,macrophage,0.9653284671532847
12,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,B cell,0.3404255319148936
13,COPD,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6066350710900474
13,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6066350710900474
13,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6066350710900474
13,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basophil,0.6066350710900474
14,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.2904381372278865
14,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.2904381372278865
14,IPF / Pulmonary Fibrosis,2,19,18,635,288,True,unresolved,unresolved,adventitial cell,0.2904381372278865
14,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.2904381372278865
14,Lung Cancer,1,12,1,260,29,False,unresolved,unresolved,adventitial cell,0.2904381372278865
14,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,adventitial cell,0.2904381372278865
17,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.47768595041322315
17,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.47768595041322315
2,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,"CD4-positive, alpha-beta T cell",resolved,"CD4-positive, alpha-beta T cell",1.0
20,COPD,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
20,COVID-19 / SARS-CoV-2,1,2,1,53,18,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
20,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
20,IPF / Pulmonary Fibrosis,1,6,1,128,17,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
20,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
20,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.33263009845288327
21,COPD,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.34473398479913137
21,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.34473398479913137
21,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.34473398479913137
21,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.34473398479913137
21,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,plasma cell,0.34473398479913137
21,Lung Cancer,1,1,1,12,16,False,unresolved,unresolved,plasma cell,0.34473398479913137
23,COVID-19 / SARS-CoV-2,1,1,1,12,63,False,unresolved,unresolved,basal cell,0.4604221635883905
23,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.4604221635883905
23,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.4604221635883905
23,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.4604221635883905
24,COPD,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.30376344086021506
24,COVID-19 / SARS-CoV-2,1,1,1,15,20,False,unresolved,unresolved,macrophage,0.30376344086021506
24,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.30376344086021506
24,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.30376344086021506
24,Lung Cancer,1,3,3,115,80,True,unresolved,unresolved,macrophage,0.30376344086021506
24,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.30376344086021506
26,COPD,0,0,0,0,0,False,macrophage,resolved,macrophage,0.8012320328542094
26,COVID-19 / SARS-CoV-2,1,12,4,326,178,True,macrophage,resolved,macrophage,0.8012320328542094
26,Cystic Fibrosis,0,0,0,0,0,False,macrophage,resolved,macrophage,0.8012320328542094
26,IPF / Pulmonary Fibrosis,2,20,6,359,147,True,macrophage,resolved,macrophage,0.8012320328542094
26,Interstitial Lung Disease,0,0,0,0,0,False,macrophage,resolved,macrophage,0.8012320328542094
26,Lung Cancer,1,2,2,107,54,True,macrophage,resolved,macrophage,0.8012320328542094
26,Pulmonary Hypertension,1,2,1,44,28,False,macrophage,resolved,macrophage,0.8012320328542094
3,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6557377049180327
31,COVID-19 / SARS-CoV-2,1,2,1,130,57,False,basal cell,resolved,basal cell,0.9575971731448764
31,Cystic Fibrosis,1,8,1,127,14,False,basal cell,resolved,basal cell,0.9575971731448764
31,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
31,Interstitial Lung Disease,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
31,Lung Cancer,0,0,0,0,0,False,basal cell,resolved,basal cell,0.9575971731448764
32,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.2773722627737226
32,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.2773722627737226
33,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.5625
