scope,studyAccession,nCells,nClusters,nLabels,nmi,ari,homogeneity,completeness,vMeasure
global,,61887,51,32,0.5084397729821191,0.32063615947553675,0.5447743127720902,0.4766489560279932,0.5084397729821191
study,PRJEB51720,50,6,2,0.08159049461803014,0.031967649864145305,0.30882066108293793,0.04700455477568494,0.08159049461803014
study,PRJEB68315,1949,27,22,0.5508760558531562,0.3974538210717888,0.6286265054616736,0.4902414885534719,0.5508760558531562
study,PRJEB71931,1056,26,23,0.6716299112130787,0.5667231439787629,0.6371630455767024,0.7100389449478611,0.6716299112130787
study,PRJNA1002309,50,14,11,0.7233202658632807,0.4203666768488072,0.7968579249848661,0.6622086516523761,0.7233202658632806
study,PRJNA1008237,1884,27,24,0.646575951254699,0.5319578043501413,0.6436950642065496,0.6494827413196043,0.646575951254699
study,PRJNA1010235,86,8,5,0.5615619615603309,0.43874302493222544,0.7291079838162711,0.4566302127781821,0.5615619615603309
study,PRJNA1021137,185,5,2,0.02300182602518112,0.01407898175983764,0.18546109311093137,0.012261265180818952,0.023001826025181117
study,PRJNA1032112,274,26,23,0.6031939801828546,0.3468243803576025,0.6383977046191474,0.5716698863433207,0.6031939801828546
study,PRJNA1041762,34,7,7,0.3451101411800612,0.08025094102885821,0.3561664628945673,0.3347195856161211,0.34511014118006117
study,PRJNA1041779,13,8,5,0.8574282058812592,0.5102040816326531,1.0000000000000002,0.7504370493782307,0.8574282058812592
study,PRJNA1050266,16,9,4,0.4549641002399252,0.01818181818181818,0.6733390566475629,0.3435463540765222,0.4549641002399252
study,PRJNA1050294,41,9,6,0.31612192522507304,0.10066213575241373,0.44483046729211695,0.24518064407907358,0.316121925225073
study,PRJNA1055415,3148,26,25,0.6876967799311939,0.5842892439833144,0.7389291430861391,0.6431080080261606,0.687696779931194
study,PRJNA1065377,81,9,11,0.5661349790732897,0.3907213929636801,0.5349172694642016,0.601222238989381,0.5661349790732897
study,PRJNA1066790,343,10,3,0.5024907512372067,0.3814943400043571,0.7031030830880078,0.39094474939548474,0.5024907512372067
study,PRJNA1069102,669,10,6,0.3927824839816206,0.2227921656081646,0.39016137486671126,0.3954390485761247,0.39278248398162063
study,PRJNA1071273,31,8,6,0.5058129980564949,0.16422171120450402,0.5587041795845579,0.46206994701243465,0.5058129980564949
study,PRJNA1083452,822,28,25,0.5685959563759195,0.3506690420866648,0.5619473064528342,0.5754038162854866,0.5685959563759195
study,PRJNA1086544,464,10,4,0.47991704248199907,0.361636724365358,0.7482411995529222,0.3532421218299448,0.479917042481999
study,PRJNA1092571,123,22,17,0.7585774087612184,0.5575650253382605,0.7848824441083713,0.7339784029131387,0.7585774087612184
study,PRJNA1102355,398,25,24,0.44134386995814606,0.38562874458903534,0.4551159910110399,0.42838077482600195,0.44134386995814606
study,PRJNA1108287,791,21,15,0.5302777280274644,0.3525951555225939,0.7757583311711945,0.4028120663337174,0.5302777280274643
study,PRJNA1117768,69,16,12,0.7356608717534298,0.5388280096670123,0.8616078819694022,0.6418389606238272,0.7356608717534298
study,PRJNA1121368,647,19,17,0.668723078224628,0.5586885059193153,0.7366483910372125,0.6122668156646447,0.6687230782246278
study,PRJNA1127657,346,23,19,0.689578548965494,0.5748565955679845,0.7242826224058206,0.6580481087915814,0.6895785489654939
study,PRJNA1135480,346,9,4,0.42749262686533984,0.3539274581903249,0.6504435466992836,0.31836682170633673,0.42749262686533984
study,PRJNA1135481,545,9,6,0.39958792691630884,0.30764729940873176,0.46781081637169425,0.3487309702186788,0.39958792691630896
study,PRJNA1136930,58,10,12,0.7048900413177808,0.7386098088450876,0.6402397218049188,0.7840634350793041,0.7048900413177807
study,PRJNA1149046,480,9,7,0.33456386364465973,0.2253627624953608,0.4088028071425263,0.28314456554751744,0.3345638636446597
study,PRJNA1172658,1728,26,23,0.5594164703093247,0.3477579213939347,0.5751594432373466,0.5445123539837882,0.5594164703093247
study,PRJNA1177414,1602,29,25,0.5196724914963868,0.457865140618883,0.5894377865916741,0.46467410673555043,0.5196724914963868
study,PRJNA1186577,60,7,2,0.12144810129777624,0.05412205254227371,0.616241383177617,0.06736184592779247,0.12144810129777625
study,PRJNA1202516,22,12,7,0.7544815092756613,0.3201672862453532,0.9099850061643617,0.6443681549841351,0.7544815092756614
study,PRJNA1208088,6977,30,26,0.3018732973221977,0.18137938583883156,0.33005145812599357,0.2781280962979794,0.3018732973221977
study,PRJNA1272602,411,14,10,0.5171739280013958,0.4062516185113337,0.5932389513301742,0.45839817230906266,0.5171739280013957
study,PRJNA554141,82,10,6,0.4781447051414544,0.21987961643965512,0.7656455614755717,0.34761488530339896,0.4781447051414544
study,PRJNA563828,3380,29,26,0.5706844631589523,0.424901940869662,0.6296561250438998,0.5218130527349059,0.5706844631589523
study,PRJNA613670,124,17,10,0.46109546384520506,0.2299627699180938,0.6032891844496248,0.3731459225298114,0.4610954638452051
study,PRJNA633134,359,23,20,0.7173254244581997,0.629570270421646,0.7898934554278424,0.6569692294994789,0.7173254244581997
study,PRJNA634136,261,9,6,0.1086817322280761,0.000799944215815835,0.1206785678773991,0.09885446323197047,0.1086817322280761
study,PRJNA634159,540,23,22,0.48199362467658774,0.2684332905395337,0.5761617351582108,0.41428303533730604,0.48199362467658774
study,PRJNA657422,101,16,17,0.7671174322689547,0.4918800000680233,0.8468924369041327,0.7010777788056515,0.7671174322689546
study,PRJNA661032,560,16,11,0.5255024540525082,0.495966526604727,0.6484751849060726,0.44173468370153945,0.5255024540525081
study,PRJNA661081,29,12,9,0.7167009744725944,0.37334933973589435,0.7420855206452657,0.6929956473659231,0.7167009744725943
study,PRJNA661567,82,8,5,0.43283410162776514,0.2561401337557996,0.6166092555682868,0.3334516639986192,0.43283410162776514
study,PRJNA663601,392,18,14,0.4759578079186836,0.3640018411717349,0.5080911215254549,0.4476471642105753,0.4759578079186836
study,PRJNA667491,978,10,5,0.45550903875892074,0.3526338439705179,0.6415029021204195,0.3531256948608767,0.45550903875892074
study,PRJNA668609,795,25,23,0.7375032349741233,0.5502683357220767,0.7434587729543388,0.7316423533998938,0.7375032349741233
study,PRJNA669824,1794,29,26,0.5660402703741104,0.35295674851104014,0.5649568034219445,0.567127901029578,0.5660402703741103
study,PRJNA675538,239,9,4,0.2165846122427577,0.08040595615248528,0.38186412058931724,0.15115938140065918,0.2165846122427577
study,PRJNA691041,47,3,2,0.1661161703675064,0.1355467720685112,0.6054202034904341,0.09626471957132068,0.16611617036750642
study,PRJNA692173,131,8,3,0.21626382677112652,0.1418645637423266,0.48616835128209407,0.13906149984945648,0.21626382677112652
study,PRJNA694436,156,14,9,0.5451098682777809,0.4273232656851091,0.6349628574740173,0.4775344264188116,0.5451098682777809
study,PRJNA701396,65,10,6,0.4348487299963464,0.24775839299367486,0.6120669454817292,0.33721213457168125,0.43484872999634633
study,PRJNA701930,744,10,7,0.36028187362602143,0.31205546991269884,0.4391629550259195,0.3054227848186714,0.36028187362602143
study,PRJNA704098,58,16,14,0.8676620996766592,0.7755399669216794,0.9168960592566916,0.8234460625887708,0.8676620996766591
study,PRJNA713903,129,9,4,0.6160426395871426,0.5323170994110082,0.7758097612635563,0.5108419220924016,0.6160426395871426
study,PRJNA714138,70,7,3,0.17675823506894414,0.041935902145959845,0.20683627655418535,0.15431745744411124,0.17675823506894417
study,PRJNA716656,45,10,12,0.8210022511239269,0.5464815634390068,0.8029846818119301,0.8398469450345042,0.821002251123927
study,PRJNA746455,256,23,22,0.6617535056253723,0.4638562026632659,0.6828831363725272,0.6418922078300123,0.6617535056253722
study,PRJNA759630,540,21,17,0.6026014946207651,0.5162783316162356,0.5730202955509318,0.63540309996639,0.6026014946207651
study,PRJNA762558,73,7,3,0.31642432877546645,0.1563754718225443,0.8793154692344471,0.19292437384789096,0.3164243287754664
study,PRJNA768255,286,10,6,0.39947831734120803,0.2505706796341771,0.6569571198039403,0.28699673579541457,0.399478317341208
study,PRJNA769143,769,8,8,0.10611292790524433,0.041980808289265016,0.12357896399229322,0.09297263773506577,0.10611292790524433
study,PRJNA773094,13,4,5,0.616016680957127,0.29266281945589445,0.5602562237761975,0.684103222085241,0.6160166809571269
study,PRJNA773987,1052,25,25,0.6734481878137866,0.5449513813898075,0.6827409159240547,0.6644050279043587,0.6734481878137865
study,PRJNA782639,1029,28,24,0.6207084687278851,0.49422965991321277,0.6822227796049551,0.5693698247393074,0.620708468727885
study,PRJNA789499,66,6,3,0.5376331375164864,0.31025115041303986,0.846547747697809,0.3938961044890202,0.5376331375164864
study,PRJNA797244,393,8,4,0.24833979836708425,0.12926289995591442,0.5085404739621101,0.164282657222144,0.24833979836708428
study,PRJNA804479,598,25,23,0.5513083197068677,0.2911774253062351,0.5685433158025336,0.5350875130558572,0.5513083197068678
study,PRJNA819093,139,12,9,0.350502055027941,0.2717757982080119,0.43786191465558433,0.2922032337952752,0.35050205502794096
study,PRJNA827791,1021,26,25,0.6340864185275564,0.519644586529407,0.6667919272440076,0.6044392492571482,0.6340864185275564
study,PRJNA847631,5114,38,27,0.4771023886554582,0.24630157930195598,0.5349115178835708,0.4305697197241063,0.4771023886554582
study,PRJNA858410,135,6,4,0.2659700348635478,0.14916503879215676,0.3453796039055055,0.21624992147167255,0.2659700348635478
study,PRJNA864822,488,20,15,0.6482407978763307,0.5342875225342646,0.7194441895521598,0.5898621415352185,0.6482407978763308
study,PRJNA868764,52,4,5,0.6121166268131114,0.4359701281472852,0.7410790066781172,0.5213852913045726,0.6121166268131114
study,PRJNA882878,52,9,5,0.15087687797151275,-0.008257821326188446,0.2915162869305453,0.10177597488190158,0.15087687797151272
study,PRJNA883741,714,23,24,0.7535296564173283,0.5296526734507331,0.7732857509784794,0.7347578813457587,0.7535296564173283
study,PRJNA886085,74,11,7,0.3119690864165731,0.1379734387120296,0.35692451248958657,0.2770713424494873,0.3119690864165731
study,PRJNA896321,18,9,5,0.5059168717445148,0.12089174902321305,0.8001204594707999,0.36990363221118955,0.5059168717445147
study,PRJNA901260,951,28,25,0.599831702197043,0.40777116970885746,0.6757566781568488,0.5392446074877019,0.599831702197043
study,PRJNA934540,201,9,9,0.24105907585605002,0.3354326787016528,0.2254885622788334,0.2589394517300803,0.24105907585605002
study,PRJNA945417,196,11,5,0.42816775150342484,0.25982006892958565,0.6545385277816572,0.3181397771836689,0.42816775150342484
study,PRJNA945854,7044,31,27,0.5263852076664037,0.32379411138493996,0.5552397811406062,0.5003814969125822,0.5263852076664037
study,PRJNA946652,412,17,19,0.4857564195360355,0.3373929537560296,0.48624157586624167,0.48527223038781936,0.4857564195360355
study,PRJNA949104,671,15,7,0.4123477256472974,0.35971770660001606,0.5705009678503704,0.32284830489818755,0.4123477256472974
study,PRJNA950922,590,20,13,0.6512498438771789,0.5120242473701608,0.7180458322267157,0.5958235454259595,0.6512498438771788
study,PRJNA953399,9,4,3,0.5597000402631418,0.2,0.6137465571428701,0.5144018201252031,0.5597000402631418
study,PRJNA953640,875,26,23,0.513533981244061,0.4068633060127168,0.511388635699255,0.5156974026578892,0.5135339812440609
study,PRJNA973717,731,24,24,0.6471809957265124,0.506674057656795,0.6573299265018249,0.6373406913436591,0.6471809957265123
study,PRJNA988459,365,21,15,0.4133363179634417,0.24542639241243788,0.4411042499511011,0.38885737635129564,0.4133363179634416
studyMacro,,61887,51,32,0.4993627873650326,0.33901520463133783,0.599989536856617,0.4500770798649488,0.4993627873650326
