leiden_atlas,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",adventitial cell,alveolar adventitial fibroblast,basal cell,basophil,bronchial smooth muscle cell,capillary endothelial cell,classical monocyte,club cell,endothelial cell,endothelial cell of artery,endothelial cell of lymphatic vessel,erythrocyte,fibroblast,intermediate monocyte,lung multiciliated epithelial cell,macrophage,mast cell,mature NK T cell,monocyte,natural killer cell,neutrophil,non-classical monocyte,pericyte,plasma cell,pulmonary alveolar type 1 cell,pulmonary alveolar type 2 cell,respiratory tract goblet cell,smooth muscle cell,vein endothelial cell
0,603,167,1,1,0,3,1,1,23,4,0,0,0,0,0,0,3,4,33,0,0,0,0,0,0,0,137,1,0,22,2,1
1,235,5076,146,0,0,3,0,0,1,0,0,23,0,0,2,3,0,0,2,0,3,0,1,0,0,0,29,0,0,0,16,0
10,11,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,509,0,0,0,0,0,0,0,2,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,10,0,0,0,0,0,0,0,11,0,0,1,0,0
13,102,47,2,0,1,3,484,0,42,2,3,1,1,0,0,3,0,1,44,4,1,0,0,0,0,1,64,1,4,0,1,0
14,403,132,7,1009,973,58,0,81,147,3,0,55,14,0,0,157,2,25,190,0,2,2,0,0,0,131,201,10,0,17,48,18
15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
17,107,15,9,28,3,285,0,3,13,0,1,108,5,0,0,0,0,0,16,0,1,0,0,0,0,3,18,2,14,24,19,28
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,242,147,6,6,1,549,0,0,60,1,429,1,6,0,0,0,0,38,64,0,1,0,0,0,0,0,61,67,94,832,0,10
21,360,146,1,25,0,223,0,0,58,1,22,21,15,0,1,0,0,9,49,0,3,0,0,3,0,3,533,28,60,84,23,0
22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,16,4,0,0,340,0,1,7,0,6,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,9,19,16,278,0,1
24,459,125,18,2,0,19,0,1,5,212,0,0,2,0,0,0,285,1,542,0,1,3,2,3,1,1,54,0,0,1,1,0
26,271,40,1,2,0,18,0,0,13,92,0,0,1,0,0,0,187,1,3705,0,4,7,0,99,3,0,162,0,0,1,0,0
27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,11,91,22,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
31,25,1,0,5,0,1680,0,0,2,0,0,18,3,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,0,20,11,4
32,34,4,0,11,3,35,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0
33,2,1,0,5,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
34,479,40,0,2,1,0,0,0,1,390,0,1,0,0,0,0,561,0,233,0,3,20,0,493,1,0,211,0,0,0,1,0
35,40,108,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
36,186,91,2,3,4,2,0,0,2611,1,1,231,811,1,1,0,2,14,108,0,1,0,1,0,0,4,179,5,0,1,42,851
38,40,44,1,0,0,9,0,0,129,1,15,0,2,0,0,0,2,1,9,0,0,0,1,1,0,0,97,1120,5,0,3,3
39,15,10,3,8,0,39,0,1,14,1,1,0,1,1,0,0,3,1,51,0,1,0,1,10,0,0,6,2,1,45,0,0
4,433,271,768,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,204,0,477,0,0,0,46,1,0,0,3,0
43,123,29,0,0,2,148,0,0,21,0,6,0,3,1,0,0,0,1536,37,0,0,0,0,1,0,1,182,2,1,408,0,1
44,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2276,0,0,0,0,0,0,0,0,4,0,0,110,0,0
45,59,12,0,3,0,124,0,0,5,0,4,1,12,0,0,0,0,3,0,0,0,0,0,0,0,1,83,1,4,1473,1,0
49,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,62,0,0,0,0,0,0,0,1,0,0,0,0,0
5,205,1586,655,1,0,3,0,0,0,0,0,11,1,0,0,0,0,5,3,0,32,0,0,0,0,1,38,0,0,0,2,0
51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,319,215,1,7,134,77,0,3,183,2,0,17,0,5,0,1,2,79,338,0,2,5,0,0,2,35,82,67,8,27,8,20
54,37,36,0,0,0,1,0,0,19,0,2,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,4,21,82,5,0,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
