accession,r2Key,status,reason,studyAccession
SRX19162061,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162061.h5ad,success,,PRJNA927026
SRX19162060,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162060.h5ad,success,,PRJNA927026
SRX19162058,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162058.h5ad,skip,excessive_cell_dropout,
SRX19162062,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162062.h5ad,skip,excessive_cell_dropout,
SRX19162064,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162064.h5ad,success,,PRJNA927026
ERX11662371,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662371.h5ad,success,,PRJEB68315
SRX19162063,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162063.h5ad,skip,excessive_cell_dropout,
SRX19233503,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233503.h5ad,skip,cell_type_all_missing,
ERX11662373,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662373.h5ad,success,,PRJEB68315
SRX19233502,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233502.h5ad,skip,cell_type_all_missing,
ERX11662385,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662385.h5ad,skip,cell_type_all_missing,
ERX11662357,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662357.h5ad,skip,cell_type_all_missing,
ERX11662360,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662360.h5ad,skip,cell_type_all_missing,
ERX11662364,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662364.h5ad,skip,cell_type_all_missing,
ERX11662370,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662370.h5ad,skip,cell_type_all_missing,
