evalBatchKey,harmonyBatchKey,embedding,Isolated labels,KMeans NMI,KMeans ARI,Silhouette label,cLISI,BRAS,iLISI,KBET,Graph connectivity,PCR comparison,Batch correction,Bio conservation,Total
study_accession,uncorrected,X_pca,0.50382674,0.5074825706194399,0.20898813633178712,0.4512081,0.99273366,0.5040242,0.004614688,0.3135048776705259,0.5963201308687068,0.0,0.28369278538780873,0.5328478813171387,0.4331858429454067
study_accession,study_accession,X_pca_harmony__study_accession,0.45256242,0.4608390031308961,0.2034846150863132,0.44272107,0.9860012,0.7515517,0.024645599,0.4813494347032149,0.4733371721990001,0.520709790777201,0.4503187423883612,0.5091216564178467,0.4856004908060525
study_accession,batch_study_tech,X_pca_harmony__batch_study_tech,0.45180902,0.46011051308056405,0.18921755973652385,0.44249487,0.98573744,0.75059694,0.025292031,0.4839272724210807,0.4674869298492983,0.5166947207586156,0.44879958049279234,0.5058738708496093,0.48304415470688256
study_accession,SRX_accession,X_pca_harmony__SRX_accession,0.43200523,0.4451066404079149,0.17165661262770743,0.4326466,0.98386365,0.72980714,0.032464385,0.4935621649388697,0.3410007614058343,0.43066822085700324,0.4055005341354708,0.4930557727813721,0.4580336773230116
study_accession,,Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
batch_study_tech,uncorrected,X_pca,0.52457744,0.5074825706194399,0.20898813633178712,0.4512081,0.99273366,0.51196283,0.0047798012,0.3237797389678772,0.5963201308687068,0.0,0.2873685033061535,0.5369979858398437,0.43714619282636763
batch_study_tech,study_accession,X_pca_harmony__study_accession,0.47130558,0.4608390031308961,0.2034846150863132,0.44272107,0.9860012,0.74842453,0.022477068,0.47824456386665065,0.4733371721990001,0.514698705947703,0.44743641248027693,0.5128703117370605,0.4866967520343471
batch_study_tech,batch_study_tech,X_pca_harmony__batch_study_tech,0.47110584,0.46011051308056405,0.18921755973652385,0.44249487,0.98573744,0.75205183,0.023422223,0.4886136196088571,0.4674869298492983,0.517177855041455,0.4497504952004592,0.509733247756958,0.4857401467343585
batch_study_tech,SRX_accession,X_pca_harmony__SRX_accession,0.45402086,0.4451066404079149,0.17165661262770743,0.4326466,0.98386365,0.7325598,0.029390471,0.4955837444387251,0.3410007614058343,0.4315558252926533,0.4060181171155041,0.49745888710021974,0.4608825791063335
batch_study_tech,,Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
SRX_accession,uncorrected,X_pca,0.5060906,0.5074825706194399,0.20898813633178712,0.4512081,0.99273366,0.50804156,0.0033032948,0.40910129597367667,0.5963201308687068,0.0,0.30335325538114144,0.5333006381988525,0.4413216850717681
SRX_accession,study_accession,X_pca_harmony__study_accession,0.4600002,0.4608390031308961,0.2034846150863132,0.44272107,0.9860012,0.67323244,0.0056901504,0.43310372618145426,0.4733371721990001,0.36136207922415786,0.3893451142396419,0.510609245300293,0.46210359287603253
SRX_accession,batch_study_tech,X_pca_harmony__batch_study_tech,0.45944077,0.46011051308056405,0.18921755973652385,0.44249487,0.98573744,0.6763055,0.0058139428,0.44140849178465064,0.4674869298492983,0.36447109598506144,0.3910971893460982,0.5074002265930175,0.4608790116942498
SRX_accession,SRX_accession,X_pca_harmony__SRX_accession,0.44865623,0.4451066404079149,0.17165661262770743,0.4326466,0.98386365,0.7492215,0.007720493,0.4297806044911089,0.3410007614058343,0.43246313940689,0.3920372958933777,0.4963859558105469,0.4546464918436792
SRX_accession,,Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
