cell_type,n_datasets,normalized_shannon_entropy_mean,kl_divergence_mean
"CD4-positive, alpha-beta T cell",587,0.48695558075516965,1.5721417875433819
natural killer cell,211,0.1726496419523801,3.4437608480360944
B cell,677,0.6752211074138149,1.0205163250774234
"CD8-positive, alpha-beta T cell",382,0.41098852977238737,2.3962882062681943
intermediate monocyte,339,0.5165241680933879,2.8123526286742653
classical monocyte,353,0.49176439712678827,2.974488139747262
monocyte,29,0.5653809559063729,2.346174155005378
macrophage,537,0.45562124415352734,2.228767143580216
,282,0.609484973293443,0.8904324965336272
basophil,262,0.08779642997415076,5.410266505590441
lung multiciliated epithelial cell,415,0.283418345759469,3.6150855676499263
plasma cell,599,0.6660217715714725,1.3707815681234634
pulmonary alveolar type 2 cell,321,0.29045471820855073,3.564433146453594
club cell,225,0.42502562379155606,3.317673147169661
respiratory tract goblet cell,460,0.45258214810531366,2.9083406900117694
pulmonary alveolar type 1 cell,238,0.3548071385631947,3.3795908662542904
capillary endothelial cell,405,0.5454602782262993,2.302079131910776
endothelial cell of lymphatic vessel,218,0.17753945472849791,5.091704706397813
basal cell,472,0.5312065248809047,2.1803796445507864
neutrophil,73,0.14234442905621528,4.961156350760611
adventitial cell,360,0.3743935229845347,3.4737993001567777
endothelial cell of artery,327,0.4270206772125082,3.187015538861679
vein endothelial cell,335,0.29942237963451834,3.4044228751960723
alveolar adventitial fibroblast,214,0.2564131094430603,3.518483364033915
mature NK T cell,172,0.4414149973291892,2.3175299303503714
bronchial smooth muscle cell,214,0.44719260748678175,3.642068193629555
pericyte,262,0.4459353625059113,3.3966463456405673
sebocyte,2,0.8487363808314483,0.09450323819712918
melanocyte,2,0.5031469772005637,1.733689277204352
T cell,2,0.7451620797386596,0.681844154511107
smooth muscle cell,8,0.627778639733419,1.1632762360092581
endothelial cell,7,0.6989090866409395,0.7898273751282149
fibroblast,6,0.35403885292368725,3.9586611680153276
mast cell,6,0.11150997442013379,5.492450792448158
erythrocyte,6,0.5385081890806696,1.5742598902321498
"naive thymus-derived CD4-positive, alpha-beta T cell",3,0.3102077704539395,0.8092523872359599
hematopoietic precursor cell,2,0.5575310954981267,2.9218633217273524
non-classical monocyte,5,0.4085784555425097,1.366041760445076
platelet,1,0.08294245411430679,4.115725628432128
