srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,"CD8-positive, alpha-beta T cell",intermediate monocyte,classical monocyte,monocyte,macrophage,,basophil,lung multiciliated epithelial cell,plasma cell,pulmonary alveolar type 2 cell,club cell,respiratory tract goblet cell,pulmonary alveolar type 1 cell,capillary endothelial cell,endothelial cell of lymphatic vessel,basal cell,neutrophil,adventitial cell,endothelial cell of artery,vein endothelial cell,alveolar adventitial fibroblast,mature NK T cell,bronchial smooth muscle cell,pericyte,sebocyte,melanocyte,T cell,smooth muscle cell,endothelial cell,fibroblast,mast cell,erythrocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
ERX11662361,1.3267157000340517,1.75519245881592,1.1492846527884797,0.8344185984363157,1.75640078840793,1.4494401085280828,2.731619890025814,2.497854281915412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662357,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662338,1.2100057369132118,3.5879158181105035,2.107418673914349,3.0068457720144632,3.1822881062348802,3.263777871437429,,1.053822736124579,1.1133049411811895,7.055788067404339,4.101084888157468,1.025246607981375,5.805935107753861,5.805935107753861,5.217978412748511,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662360,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662363,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662358,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662371,1.5390810062606486,2.423596691788946,0.7192049281561745,2.3683147243789735,2.8165896485410267,2.9664601085841396,,,,,1.7561177365297438,0.7604264474101796,2.8205333422465633,3.197291302012412,3.8183963658061923,4.5628011583443415,2.8524288284613033,6.51118788764512,,,,,,,,,,,,,,,,,,,,,
ERX11662356,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662373,2.8439227903485964,2.4029857483371706,0.7281517759753494,2.1558088492200107,1.1990210207206704,3.0564383104052397,,3.111769777782691,,5.553964693079871,,,,,,,,,3.0436141161791688,,,,,,,,,,,,,,,,,,,,
ERX11662362,0.40218805916810096,0.8802697223138564,1.1134604997980653,0.41723096518145064,3.20404926751212,3.264395785538447,2.9245338117947197,3.320459140618964,0.33028648896493845,6.036466958803896,,,,,,,,,1.1326692121473276,,,,,,,,,,,,,,,,,,,,
ERX11662369,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662370,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662375,3.2409479542733046,4.672594722076285,2.3665683137085396,4.489001341171594,3.4938712259820517,3.3869761939371097,,0.5418387945315798,,,2.5969511694757688,2.542778385435063,6.029484601980727,4.052830512509523,3.4186675756304097,5.239410922745675,,,3.9623158049033225,,,,,,,,,,,,,,,,,,,,
ERX11662364,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662382,1.642481610366417,2.422236316728794,1.8034782629333785,1.4628345375986678,2.9142906922438034,3.1482040412738663,,2.093194154690055,,,2.5126558960932015,2.939993538316894,,3.6071228006857003,4.0018913101077755,5.231852750585515,,,,,,,,,,,,,,,,,,,,,,,
ERX11662366,0.9689229102785475,5.5819941323732465,1.257196530268245,1.8261461633220335,2.0562246175945265,2.262115787207369,,2.232077740642439,0.9724327046914549,7.290023264072743,,2.8341787404057865,,,,,,,2.5664335312717155,7.94279046078019,,,,,,,,,,,,,,,,,,,
ERX11662376,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662381,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662365,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662384,1.2572766059595533,1.7108013353458658,1.0083244458856733,1.4216541758641572,2.381122598018836,2.6924390342255577,,1.9278302286841917,,,,2.7027205685975377,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662367,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662359,1.353333511059576,4.540657102990486,2.206044570354803,2.4183029579764574,2.1303094238548,2.375251149239983,2.5158588539767925,0.9410753464682735,2.642884174753289,6.178576406056444,4.550498105246193,3.2938262249810957,3.02287491728872,3.349120381303534,4.923018410638291,3.057796571948451,2.280578095255802,6.1349130009652075,4.03614026142837,,6.854455413376009,5.205573988803498,5.266997887231439,7.665583075756973,3.7080192480544305,,,,,,,,,,,,,,
ERX11662385,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876751,,,3.17579055468108,,,,,2.831542841575167,,,,4.89922329919381,,,3.17755628230552,,,,2.434981210346985,,1.0306936631429509,4.707877532303838,3.266452854579031,2.7183879354545235,,0.8455701844439608,1.2981946754912093,,,,,,,,,,,,
ERX11876753,,,2.029391139474523,,,,,,,,,4.27261158171245,,,2.4514736348138357,,,,1.982222937155636,,0.46173006911160147,3.597571532046813,2.6171931928488825,0.9680172541701044,,0.5817529586122145,1.4491886521017605,,,,,,,,,,,,
ERX11876748,4.061044025809154,,3.4434300040834525,,,,,3.463361822713392,,,,3.217941227835172,5.777149620203959,2.7260475797037453,2.1838471956560173,,4.724733704294804,,1.9265867645698065,,1.1929306050947628,4.269744016853948,3.547213727071739,2.2658618454804498,,1.4541853731914485,1.4804619943183412,,,,,,,,,,,,
ERX11876754,3.867125784462986,6.409196419229735,2.7640048771305077,4.8583499024956405,,,,3.570016662934124,,,,2.716315065387687,3.4863107130637223,3.8987560157014096,3.060334892984186,5.72372712975818,3.26763579855023,6.187160967094418,2.792264863439692,5.792864901922745,2.1422774939877915,1.9045178786330605,1.4156150382599682,2.9377596078325583,,2.6137490122127236,3.0348316048315107,,,,,,,,,,,,
ERX11876755,,5.74604137320504,2.8994056667028962,,,,,4.564542517175192,,,4.495903961385689,3.5986581733610086,3.9272763513682123,3.52850321508388,3.8981484487017255,,4.132284171877889,4.25432138082909,2.1338570133260095,6.040224477609498,0.9063628666079502,2.588135718853315,2.511546014709806,1.4999681455733662,,5.110674517836765,,,,,,,,,,,,,
ERX11876750,,,3.096544913593415,,,,,3.538829572686434,,,,2.852921201428904,,,3.633702217024934,,,,2.5779985543325243,6.424474254886934,1.2773152531108767,2.2209251461601305,2.231114567653515,2.8053982691496557,,1.0738164713932523,1.4201628579157388,,,,,,,,,,,,
ERX11876752,3.555574029388097,,2.3701739866137723,7.123316717513928,,,,4.670243218998238,2.811754072526465,,,2.781248067737723,,,2.9976050033802952,,2.280803213118293,6.000169048133931,2.497437623548256,4.544030769845932,1.5489468512871871,1.8512311911628339,1.6472761583082265,3.1347426982093873,,1.9832521910050043,2.1288859488812664,,,,,,,,,,,,
ERX11876764,0.07810766113923812,,1.0215461148686324,0.9639919682991694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876763,0.001717171152080962,,0.1161294551841527,0.06990109142239444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876756,4.152108235325934,,2.8033756551333697,,,,,4.054008002548768,,,,2.976881053357861,4.30262716035496,4.072885363325027,3.281205000783703,,4.065300432605148,7.263091780921536,1.8257069513211597,,0.9064520360011971,1.7796537243285255,0.9917185161840035,1.8660682377042888,,1.376686598384229,2.28205174304421,,,,,,,,,,,,
ERX11876767,0.4149638210223883,,0.9062880651089077,0.4366055890461653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876760,1.9314346698678544,3.4743184370371636,1.5906249380346946,3.4743184370371636,,,,5.37197656331077,,4.019178074183702,,1.3833886529426578,,,2.893761913163103,,3.3844911910282223,3.865818994284722,1.9234115603619164,4.533243280329952,1.7479218942291352,1.8402300044699047,1.459764457267688,4.037798250934958,3.1515515132627665,3.628349299587871,3.7497026223867578,,,,,,,,,,,,
ERX11876765,0.5120697203472866,5.459380995013733,1.7311063137534763,0.6352203327724509,5.889341955292919,,,,,,,4.358743213823474,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876758,,,1.6440200017491382,5.239650410757387,,,,4.480685655401087,,6.400704271105009,,1.269033988276658,6.400642287429693,,2.8036505281027346,,1.4211618956098333,5.075253716810431,2.32370503386589,,1.995971386589809,1.718310188839104,1.5059064956427048,2.305193920810419,,1.6490081175867395,2.5441815461283297,,,,,,,,,,,,
ERX11876759,,,0.5233289055002988,,,,,,,,,,,,2.4290952524765816,,,,2.386824867944766,,0.9519279278618995,,2.7442195890368146,1.4631533550959888,,0.43597806507305964,1.0125589249626281,,,,,,,,,,,,
ERX11876768,0.7468835553670216,,0.4131295842351727,,,,,,,,,2.1832878809923364,3.333322357676244,2.910379263204536,2.1907498953712787,,,,0.39912154221584456,,2.0899071708269616,,3.6173589969394344,,,0.5190505542080845,0.7761379766689148,,,,,,,,,,,,
ERX11876757,,,1.721025675222556,,,,,3.3004667994236208,,6.787151537527321,,1.7534100555714602,6.6306343591064385,,2.581803141783856,6.189493004594602,2.820500891127898,3.2179716670154983,1.8913626464196502,,1.1097315546229023,2.9899895750026553,2.6580088205084085,1.5372254119291542,,0.9213186775611659,1.8051559443672587,,,,,,,,,,,,
ERX11876770,5.153778277993817,,2.590230794736705,,,6.046159255272923,,4.120794169582018,,6.246610175442392,,,3.0070756145644855,2.5024756272590354,2.26202262470464,,3.5459031265179575,5.683590533448871,1.8648684158801978,5.906080594335301,2.1746886559294443,2.3205563958942976,1.9671001546663656,4.35797774687814,,3.364747773063692,4.074004428657891,,,,,,,,,,,,
ERX4409915,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
ERX4409913,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
