srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,"CD8-positive, alpha-beta T cell",intermediate monocyte,classical monocyte,monocyte,macrophage,,basophil,lung multiciliated epithelial cell,plasma cell,pulmonary alveolar type 2 cell,club cell,respiratory tract goblet cell,pulmonary alveolar type 1 cell,capillary endothelial cell,endothelial cell of lymphatic vessel,basal cell,neutrophil,adventitial cell,endothelial cell of artery,vein endothelial cell,alveolar adventitial fibroblast,mature NK T cell,bronchial smooth muscle cell,pericyte,sebocyte,melanocyte,T cell,smooth muscle cell,endothelial cell,fibroblast,mast cell,erythrocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
ERX11662361,0.19237367308356243,0.012374544649127158,0.7965660970409537,0.40618437766464166,0.48569906208796493,0.7542023898866398,0.6235702082127974,0.6234974937773069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662357,,,,,,,,,0.7411132179563379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662338,0.3862557988051502,0.0,0.6259769338006052,0.2455116851484677,0.07902946963242717,0.07167536967655876,,0.17224980305721369,0.2863969571159562,0.2460288484082506,0.037033283716751436,0.5876513991857538,0.0,0.0,0.43949698692151334,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662360,,,,,,,,,0.7057861582834115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662363,,,,,,,,,0.4720680996209399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662358,,,,,,,,,0.7431957286407423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662371,0.6468532835767947,0.6351792668199712,0.904526040344764,0.6082866867958068,0.7672444197167959,0.5581834466820162,,,,,0.19488708942343164,0.8474147785897874,0.7259501452943735,0.6043515040411317,0.6259492513878375,0.31591383906288933,0.6231623620263113,0.0,,,,,,,,,,,,,,,,,,,,,
ERX11662356,,,,,,,,,0.7910379491285523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662373,0.1728405198208805,0.9594838138869546,0.8005430336006655,0.4718199940526664,0.19722814068994288,0.4738626326735919,,0.6398243839286436,,0.13110652958234506,,,,,,,,,0.7614744352643515,,,,,,,,,,,,,,,,,,,,
ERX11662362,0.2987411256885268,0.10441907800540785,0.44844888901131585,0.29558165161463745,0.16781616144154332,0.051471472378174545,0.3626761794798551,0.042844650142760045,0.9980008838722995,0.27278294301859357,,,,,,,,,0.690733546900727,,,,,,,,,,,,,,,,,,,,
ERX11662369,,,,,,,,,0.8034622668763103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662370,,,,,,,,,0.47283853369358936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662375,0.5260154228781333,0.0,0.7484638525881169,0.19590927087360493,0.6689414400993378,0.7914830977337608,,0.7473414236084555,,,0.7366900445380381,0.7563216495159727,0.17203694935311378,0.668398354586668,0.821401835191644,0.14854949043034824,,,0.725098781453415,,,,,,,,,,,,,,,,,,,,
ERX11662364,,,,,,,,,0.5801334419522794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662382,0.42914790383926804,0.44782284872738237,0.6665287965086916,0.7072533917879632,0.588605603066439,0.5885269236993765,,0.7727449230703026,,,0.7375011655930386,0.7205344220879213,,0.9412590806411602,0.6503156104899528,0.0,,,,,,,,,,,,,,,,,,,,,,,
ERX11662366,0.6313739417923562,0.28718171639923296,0.6655527859413586,0.6367417254958389,0.543130159956946,0.6040850945830126,,0.5943260635218449,0.7773003099003686,0.10021741342150445,,0.9469115785765904,,,,,,,0.63125649211887,0.0,,,,,,,,,,,,,,,,,,,
ERX11662376,,,,,,,,,0.483150939136361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662381,,,,,,,,,0.8619044167652864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662365,,,,,,,,,0.7158445185281254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662384,0.45927652037009586,0.5784431724688872,0.8427786611723338,0.6320885590091435,0.8075490202461505,0.35031883080408405,,0.7915749837505289,,,,0.5740110817879132,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662367,,,,,,,,,0.7542592470277663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662359,0.40370412472244044,0.06634115571466408,0.6955661178473004,0.4037733558220627,0.5561121290481705,0.596326278947057,0.6409690461583614,0.5321184803163134,0.7395156719742697,0.10387989037548513,0.1702221485537448,0.5664130463829666,0.3346864551425189,0.5455886534041576,0.6159601422001022,0.957329437629297,0.7004299420582769,0.11496619827474731,0.6655839016040431,,0.8812908992306927,0.11299719902283,0.10783996913669329,0.17556502585750278,0.38913735913742176,,,,,,,,,,,,,,
ERX11662385,,,,,,,,,0.8143532696961799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876751,,,0.7017354831398279,,,,,0.6656102353387359,,,,0.2351933818192415,,,0.9182958340544894,,,,0.32917106138057456,,0.7394523757342845,0.8228237337459174,0.24207796073087573,0.5734600875844169,,0.6624663361868035,0.43960501389906265,,,,,,,,,,,,
ERX11876753,,,0.7708079609312745,,,,,,,,,0.2953802631540603,,,0.0,,,,0.41188593779380056,,0.6107629688154811,0.8440548694473743,0.3768195848138804,0.0,,0.2764711855579493,0.6230871446082283,,,,,,,,,,,,
ERX11876748,0.7100661733182491,,0.6024272032614763,,,,,0.6027994010972035,,,,0.896599396693663,0.5479156441451,0.6357972204072426,0.537613611739966,,0.20238228913468712,,0.5839008163383063,,0.6358752281763906,0.36270320021624325,0.5166252287955039,0.6935679621043369,,0.49667405982595036,0.6514518052260957,,,,,,,,,,,,
ERX11876754,0.46581293049874434,0.48890859144051524,0.6301383074507132,0.07050175960541472,,,,0.6345809141515966,,,,0.7016632281017587,0.5724244641871524,0.8812908992306927,0.7290517408534181,0.6880373033927769,0.1474984389945065,0.2672049405385351,0.5176408905390103,0.0,0.6507574602449177,0.6559061408410921,0.37993177257708105,0.5151170675186278,,0.37918699256011007,0.37599025758076915,,,,,,,,,,,,
ERX11876755,,0.0,0.7310428660976639,,,,,0.383721999748318,,,0.0,0.8217951691276381,0.0760346956656914,0.9990102708804813,0.5623296770114091,,0.1674491119921355,0.062114355789768504,0.5669760819821845,0.0,0.4835996905177377,0.48548570993520496,0.6066284217054665,0.362978966414001,,0.3499181622021018,,,,,,,,,,,,,
ERX11876750,,,0.7340005957692025,,,,,0.4428052115652858,,,,0.7410612799420723,,,0.0,,,,0.4057273365495139,0.0,0.49315174086204133,0.3422923147169179,0.12311261099294706,0.5986034099579175,,0.7410094249178637,0.6342585180041305,,,,,,,,,,,,
ERX11876752,0.49197178106629474,,0.6914699757884013,0.0,,,,0.6000430042650237,0.7754562590237535,,,0.587107943404076,,,0.21647219270161083,,0.582226013022694,0.14807673900041213,0.3681704140552509,0.9919924034538556,0.5682895817831622,0.339092291840589,0.18090259653095142,0.6939805168468403,,0.744507404260186,0.4484543607118091,,,,,,,,,,,,
ERX11876764,0.7476130852704397,,0.410106192298722,0.41466430559510237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876763,0.5406929121210048,,0.16702680404522807,0.8254684703325493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876756,0.7550351051042204,,0.7517035974129382,,,,,0.6440795176528247,,,,0.7883651969441053,0.9276824136249768,0.40741204356554717,0.6310494732723598,,0.26713123319141807,0.20559250818508307,0.6365060203838913,,0.5231352127166762,0.64929676240139,0.3333364674968239,0.7490795602423078,,0.5981294637432558,0.35712918831967977,,,,,,,,,,,,
ERX11876767,0.05247670321252144,,0.700667999941268,0.02610879531162862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876760,0.8829786604745874,0.0,0.7950583385085448,0.0,,,,0.7277800551036929,,0.04639138357369902,,0.7517529248237805,,,0.9200871069989459,,0.34059201741205736,0.04175261832615954,0.3505774218350995,0.9531971725430558,0.5360479144093176,0.6846366186410386,0.641007052347396,0.722179053581505,0.26676498780302604,0.31172732913435675,0.546980763017304,,,,,,,,,,,,
ERX11876765,0.716817137156831,0.21639693245126465,0.2694846504782267,0.6900335691515176,0.26676498780302604,,,,,,,0.6640878842988018,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11876758,,,0.8388000352299898,0.0,,,,0.3249642454053262,,0.15614130953282532,,0.8764797876608706,0.0,,0.2903838003276878,,0.21602117197333404,0.08290530188125138,0.4709283790503926,,0.4641222146481998,0.06722154475830686,0.12265678312332684,0.651157176232036,,0.6142331701723809,0.39578989795946645,,,,,,,,,,,,
ERX11876759,,,0.8334203654426633,,,,,,,,,,,,0.15649106290570153,,,,0.12702698295287315,,0.7665024537378669,,0.6681273338436139,0.9990723690745767,,0.39304625076990857,0.06676843354559714,,,,,,,,,,,,
ERX11876768,0.6615604593591887,,0.3793245062180819,,,,,,,,,0.839832708059134,0.5293608652873644,0.6380220252861852,0.620634477118459,,,,0.40969061005526397,,0.823899096751692,,0.6103019351149631,,,0.24465230846991445,0.45850033625304437,,,,,,,,,,,,
ERX11876757,,,0.7197185349039105,,,,,0.41398460584197316,,0.23542512201487645,,0.8478416028220297,0.0,,0.22907578786943059,0.2863969571159562,0.19997584129791468,0.0,0.516082233284114,,0.8424150435991707,0.14367253487256176,0.3020262734053843,0.7994797760813948,,0.8293560298808592,0.6291738384398983,,,,,,,,,,,,
ERX11876770,0.14272407143620675,,0.32734735290750533,,,0.6193821946787638,,0.339458651855574,,0.21084230031853216,,,0.2605240416779715,0.3607805650514635,0.393194031019757,,0.44357445630988407,0.0,0.732037214910119,0.4305518670104394,0.7923665032300944,0.93198876621108,0.5346513554332865,0.3870514213921979,,0.6569617131828386,0.4894653902456443,,,,,,,,,,,,
ERX4409915,,,0.0,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
ERX4409913,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,
ERX11662377,0.38562424374871845,0.1831220683013728,0.6132309490009183,0.4478565344974524,0.6027520806425164,0.5527963587731032,,0.7290594410355327,0.7784601997548448,0.4160724379021762,0.06996834951178105,0.4087713162189898,0.568422666685896,0.6361607594737181,0.6789858523887965,0.8021511888139773,0.8437306287958708,,0.7541096952249322,,,0.7420969148684194,,,0.38968486926437285,,,,,,,,,,,,,,
ERX11876771,0.2129148481193345,,0.8005765415969267,0.0,,,,,,,,0.6580883028157376,0.6674742199595056,0.1350362028021276,0.7973265101474424,,0.4988059447252494,0.5101309357282041,0.4584970682977511,,0.7318070666211713,0.5599148550783434,0.5003681939656331,0.7920412682336181,,0.6538378778671706,0.32415256227142825,,,,,,,,,,,,
ERX11876769,,,0.7427645732954801,,,,,0.6701926265282949,0.5127091420308771,,,,,,0.0,,,,0.2360555590056724,,0.40634758219545986,,0.9826154285526119,0.9601186626422924,,0.5686444444493045,0.24044209173860484,,,,,,,,,,,,
ERX8831394,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662378,0.3921617961241523,,0.8517981412987099,0.6052765567558498,0.11929335184987172,0.5337613494095497,,0.10804288058843063,0.36967746619163755,0.225512521575645,0.07885601377455284,0.9996098363678071,0.0,,0.011231343872279196,,0.6991165281971109,0.5011535315688265,0.034740392239205414,,0.5165158943432917,,0.19784391058669182,,0.6166895961319894,,,,,,,,,,,,,,
ERX11876772,,,0.8077746901524492,,,,,,0.9077398907785027,,,0.9037029095676218,,,,,0.40732287855859445,0.0,0.35529022954137823,,0.7286962154195631,0.6884935517629901,0.5679721156233282,0.7082581918175473,,0.506574356671929,0.7035985067055481,,,,,,,,,,,,
SRX10048376,0.4257133199954581,,0.6088129242895498,,0.976020648236615,,,0.6882766965617069,,0.0,0.5596490721548892,0.35080939634168995,0.3856326148242909,0.7563911172558423,0.7316407706546256,0.7226847345387745,0.5638468732414029,0.10928571467638523,0.7589135875987377,,0.4533673241768652,0.7298065758124647,0.3740619105597096,0.5508835763475549,,0.3208352044991185,0.8640282075506538,,,,,,,,,,,,
SRX10008476,,,,,,,,,,,,0.21084230031853216,,,,,,,0.3679625446911811,,0.42124220053076855,,,,,0.03663225874563136,,,,,,,,,,,,,
ERX8831397,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX8831395,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX8831396,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
SRX10048393,0.5956646033817775,,0.682328091598674,,,,,0.6564082096358823,,,0.08013604733127526,0.553025947652848,,,,0.5932271553663443,0.4576068604672564,,,,0.0,,0.2580186686648155,0.0,,,0.40790598013897633,,,,,,,,,,,,
SRX10048375,0.590044737485656,0.0,0.7263051575444173,0.9755259511264972,0.9264650636401605,0.38431154412649704,0.23913148810400034,0.6293789421437705,0.56815251264498,0.11327430349709669,0.1562149425485864,0.5040552073091952,,,0.1986202093250822,,0.6344418805926771,0.5891805604184231,,,0.4069341677875064,0.9984628557283827,0.5492722728008219,0.49365504880131866,,0.4560205340030941,0.6352925766135629,,,,,,,,,,,,
SRX10048397,0.5467670998632538,,0.7616096773429742,,,,,0.267827255878325,,,0.6103644510530045,0.8148798415990317,0.0,,0.7973265101474424,0.31303896621008587,0.48252915172796806,0.0,,,0.0,0.961236604722876,0.7286561673702678,0.060830626354146024,,0.12874507741338911,0.6097630879642212,,,,,,,,,,,,
SRX10048396,0.47897156345772596,,0.8126174547596015,,,,,0.2604006552532145,,,,0.7737635649919336,,,,0.0,0.4053318417385795,0.11886680531254395,,,0.27781050442320665,0.574803714168361,0.6615886295725169,0.2483929067997921,,0.4021791902022729,0.8775898900979706,,,,,,,,,,,,
SRX10048389,0.5552769988833798,,0.6717002851369316,,0.6946034122043317,0.6123034678652526,0.3584614377615047,0.6784281860095389,0.6296264994849979,0.0,0.4435322451837859,0.5085659342101746,0.13049969594355607,0.5435644431995964,0.35977818268695155,0.12120326260227456,0.5196147015327643,0.08365989249549191,,,,0.505651285953808,0.5822909654406304,0.14437935594585743,,0.4044483864864384,0.6901665526113375,,,,,,,,,,,,
SRX10048373,0.4478430602066663,,0.6436268605620066,0.39926925575877675,0.15284534455563048,0.28998604703320907,0.7591558863328451,0.5059267127141466,0.42752069671174453,0.07330869901080925,0.48679255505792757,0.46757957571988396,0.9674508781887893,0.05503793508320906,0.4658795978944085,0.15109697051711368,0.768533983962502,0.1549775882646822,0.3679347629570591,,0.6947474084003723,0.9333572600179804,0.14174748387633254,0.37179061807005037,,0.7226456030815737,0.6108830726158855,,,,,,,,,,,,
SRX10048385,0.43998549853897845,,0.6828854922336441,0.4666031366898676,0.5550427369126262,0.6880430686987148,0.4104190771196889,0.5834651614200455,0.40903132778415774,0.16737295343784145,0.37501412020847474,0.27878919779471006,0.03308633743334015,0.6077877385946578,0.5417075886268717,0.34768866320593356,0.5638117485664847,0.12038325679356753,0.3832370395105874,,,0.6412186945350935,0.2918538344196615,0.0687387750719269,,0.787126586201269,0.3926035296139579,,,,,,,,,,,,
SRX10152685,0.5757531475189009,0.0,0.5261966972021324,0.5706714555666991,0.39379104049278824,0.6067690769512845,,0.5244610886446557,0.5578578164321782,0.17556502585750278,0.6075909455810312,0.809492927640975,0.0,0.0,0.7261755696205903,0.24075048345657662,0.7332531422832299,0.21639693245126465,0.6190472977512075,,,0.0,0.0,,0.26676498780302604,,,,,,,,,,,,,,
SRX10048395,0.4210585130586265,,0.79706739441475,,,,,0.515168587180539,0.6949048809133914,0.0,0.4234312443260747,0.6045478181980712,0.0,,0.53802840667146,0.44213588771224394,0.14699879110885467,0.22533692111837123,,,0.18847719889548023,0.6035967490447888,0.33848221269008744,0.45162307640691585,,0.40717531319026157,0.5404348273770004,,,,,,,,,,,,
SRX10335835,0.7364271734350848,,0.867991214182276,,,,,,0.9210693213379958,,,0.7924934213099591,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662383,,,,,,,,,0.6891820764194303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX10048380,0.44941291313391335,0.3159971329784247,0.7017503542550411,0.28899185778484443,0.8516530129386896,0.6097573463287593,0.675819139282122,0.5428201346308127,0.14489961753310665,0.1649141665214432,0.27701013273192876,0.2572744602990916,0.03370677904927182,,,0.1595543619708644,0.5224078866605396,0.19113707077909828,,,0.08426242877623302,0.6374359148953388,0.4574792145908734,0.4594055823662192,,0.4164908617144135,0.6039186122110122,,,,,,,,,,,,
SRX10327364,,,0.6752479204674179,,,,,,,,0.5314098501380408,0.0,,,0.7705380256258465,,,,0.49116219953375717,,,,,,,,,,,,,,,,,,,,
SRX10327368,,,0.606039353729693,,,,,,0.8754622859440004,,0.2863969571159562,0.6517746427282184,,,0.6326012624954427,,,,0.5158265238606832,,,,,,,,,,,,,,,,,,,,
SRX10425170,0.3822954391522677,,0.6936131109988499,,0.6666781769217973,0.439351811773471,,0.772918986052612,,0.04466460085095255,0.2030739299866456,0.7329462153981628,0.06486635476598611,,0.28218171600995307,0.2837689703721876,0.15632379060861762,0.12068101401352381,,,0.1350362028021276,0.6321871852364039,0.4986535565129438,0.0,,0.24619489736997488,0.44868804078161745,,,,,,,,,,,,
SRX10425169,0.48381446578180626,0.0,0.7721984394927252,0.45320622153243145,0.4907469790058257,0.5137001566201126,,0.36504678139473223,,0.0549813138232189,0.09140162014739274,0.8402915055989384,0.4505390153710106,,,0.0,0.4132389448405568,0.16277931893188918,,,0.2758904789765431,0.5604440357760645,0.4013680181508401,0.1002802989586781,0.6098403047164005,0.21242083354733357,0.3712323266408757,,,,,,,,,,,,
SRX10984882,,,0.3387458961722498,,,,,,0.45868581620054033,,,0.5973125768822484,,,,,,,0.8101500611781395,,0.8593600204437322,,,,,0.8118624928672394,,,,,,,,,,,,,
SRX10048379,0.37523724603397374,0.14854949043034824,0.5705622107345907,0.5044219938307299,0.4950375525911189,0.18702753639448702,0.3214716585822292,0.5994262874516388,0.17517318400117765,0.1234623330246664,0.44508525959174744,0.13049606957113621,0.022073721703463674,0.6098403047164005,0.45650878572843273,0.28984673785258164,0.445239060692629,0.09191078564090154,0.16164102868620736,,0.4408278651356028,0.7227964663169767,0.4532107705679887,0.5097703954987972,,0.1719348751054185,0.776491589072125,,,,,,,,,,,,
SRX10327365,,,0.7062740891876007,,,,,,,,0.2961907493277739,0.30540057087920036,,,0.42748710005253443,,,,0.1769601194087934,,,,,,,,,,,,,,,,,,,,
SRX10327362,,,0.3591016256485496,,,,,,0.21084230031853216,,0.603248690792108,0.1484041132442457,,,0.5500340000658805,,,,0.2942915797166481,,,,,,,,,,,,,,,,,,,,
SRX11143425,,,,0.8417350324034293,,,,,,,,,,,,,,,,,,,,,,,,0.8780254947150857,0.6070567023906205,0.6529926769367576,0.8300358267137518,,,,,,,,
SRX11143423,0.4001636796741107,,0.6322828354443701,,,,,0.754405833939196,,,,0.2935672764530749,,,0.6467788140247126,,,,0.8924541000484504,,0.8384093169496546,,0.46566632946442277,,,0.6339372968291145,,,,,,,,,,,,,
SRX10957183,,,0.1851247601005459,,,,,,,,,0.15374218032876188,,,,,,,0.9775781497515226,,,,,,,,,,,,,,,,,,,,
SRX11143424,0.41043192373712084,,0.7829053544364705,,,,,0.976020648236615,,,,0.7180166943415842,,,0.3299485585662473,,,,0.743020750257877,,0.7595555228693033,,0.4152869479457213,,,0.7392705539235512,,,,,,,,,,,,,
SRX11438987,0.639251578139973,,0.7123224782831842,0.609678681840315,,,,0.5473570397270621,,,0.1831220683013728,0.8634971821614941,,,,,,,,,,,0.2135798153382773,,,,,,,,,,,,,,,,
SRX11143429,0.44343384327727814,,0.6167534005408067,,,,,0.31737719968061234,,,,0.7354096988839187,,,0.8319408093286663,,,,0.8652609457730465,,0.611192089828632,,,,0.5387611576969128,0.5519187751668639,,,,,,,,,,,,,
SRX11143428,0.8993352752103712,,0.9458694576496253,,,,,0.5961016986193115,0.8892117656765594,,,0.8091282366898084,,,,,,,0.8366804659368211,,0.8673085945686508,,,,0.8283024163292826,0.850533832553876,0.6471062836482654,,,,,,,,,,,,
SRX11438992,0.6595306741215188,0.4953053899645451,0.8648078284839977,0.722369093705656,0.0,,,0.5858839080416214,,,0.0888796956845758,0.633555677623675,,0.6031780977831303,0.35977818268695155,,0.24988229283318544,,0.7596986946788512,,,,0.0,,,,,,,,,,,,,,,,
SRX10048391,0.4878519832968593,,0.3700293896640114,0.726396815424565,,,0.5701651213722465,0.5861891340496415,0.33688704500387484,0.21410715562927227,0.5615158583823807,0.6343095546405662,0.2839802427714593,,,0.17584218957854658,0.49398910799214024,0.4658363917777457,,,0.13488114138461962,0.424970771444463,0.4747272403777263,0.45989058589517023,,0.17925606692832147,0.5487206748420581,,,,,,,,,,,,
SRX11143430,0.611970132860608,,,0.7928459815774068,,,,,,,,,,,,,,,,,,,,,,,,0.8194472669478109,0.39923725201050675,0.8373314825405616,0.8372630923621174,0.7995789215949071,0.34941360927609805,0.6690598465208027,,,,,
SRX11438989,0.5429951768970318,0.2374377386131413,0.8438036361625867,0.47329854048900727,,,,0.6154301681543061,,,0.29181825659888583,0.8248274133226895,0.0,0.7178188916329179,0.712456555545079,,0.3884443053218102,,0.5731855867871839,,0.22614994743549924,0.8106964090099102,0.7128776666633674,0.11327430349709669,,0.13612163401119692,0.6691915483764259,,,,,,,,,,,,
SRX11987892,,,0.6192305773248612,,,,,,,,,,,,,,0.6243274143872234,,,,0.047205971580879046,0.5607692015803303,0.0,0.9988455359952018,,0.7131201669249662,0.6341306917335091,,,,,,,,,,,,
