position,srx,status,r2_file,n_cell_types,n_clusters,timestamp,error
7/765,ERX11662361,success,clustered_20260509/ERX11662361_clustered.h5ad,8,7,2026-05-11 18:25:52,
3/765,ERX11662357,success,clustered_20260509/ERX11662357_clustered.h5ad,1,8,2026-05-11 18:27:05,
1/765,ERX11662338,success,clustered_20260509/ERX11662338_clustered.h5ad,14,9,2026-05-11 18:27:21,
6/765,ERX11662360,success,clustered_20260509/ERX11662360_clustered.h5ad,1,6,2026-05-11 18:28:00,
9/765,ERX11662363,success,clustered_20260509/ERX11662363_clustered.h5ad,1,7,2026-05-11 18:28:12,
4/765,ERX11662358,success,clustered_20260509/ERX11662358_clustered.h5ad,1,6,2026-05-11 18:28:16,
16/765,ERX11662371,success,clustered_20260509/ERX11662371_clustered.h5ad,14,16,2026-05-11 18:28:25,
2/765,ERX11662356,success,clustered_20260509/ERX11662356_clustered.h5ad,1,7,2026-05-11 18:28:36,
17/765,ERX11662373,success,clustered_20260509/ERX11662373_clustered.h5ad,9,10,2026-05-11 18:28:40,
8/765,ERX11662362,success,clustered_20260509/ERX11662362_clustered.h5ad,11,6,2026-05-11 18:28:54,
14/765,ERX11662369,success,clustered_20260509/ERX11662369_clustered.h5ad,1,4,2026-05-11 18:28:59,
15/765,ERX11662370,success,clustered_20260509/ERX11662370_clustered.h5ad,1,4,2026-05-11 18:29:11,
18/765,ERX11662375,success,clustered_20260509/ERX11662375_clustered.h5ad,14,23,2026-05-11 18:29:12,
10/765,ERX11662364,success,clustered_20260509/ERX11662364_clustered.h5ad,1,4,2026-05-11 18:29:15,
23/765,ERX11662382,success,clustered_20260509/ERX11662382_clustered.h5ad,12,17,2026-05-11 18:29:24,
12/765,ERX11662366,success,clustered_20260509/ERX11662366_clustered.h5ad,12,21,2026-05-11 18:29:31,
19/765,ERX11662376,success,clustered_20260509/ERX11662376_clustered.h5ad,1,3,2026-05-11 18:29:33,
22/765,ERX11662381,success,clustered_20260509/ERX11662381_clustered.h5ad,1,5,2026-05-11 18:29:39,
11/765,ERX11662365,success,clustered_20260509/ERX11662365_clustered.h5ad,1,5,2026-05-11 18:29:42,
25/765,ERX11662384,success,clustered_20260509/ERX11662384_clustered.h5ad,8,11,2026-05-11 18:29:50,
13/765,ERX11662367,success,clustered_20260509/ERX11662367_clustered.h5ad,1,6,2026-05-11 18:29:52,
5/765,ERX11662359,success,clustered_20260509/ERX11662359_clustered.h5ad,24,20,2026-05-11 18:30:11,
26/765,ERX11662385,success,clustered_20260509/ERX11662385_clustered.h5ad,1,6,2026-05-11 18:30:12,
29/765,ERX11876751,success,clustered_20260509/ERX11876751_clustered.h5ad,11,12,2026-05-11 18:30:41,
31/765,ERX11876753,success,clustered_20260509/ERX11876753_clustered.h5ad,10,7,2026-05-11 18:30:49,
27/765,ERX11876748,success,clustered_20260509/ERX11876748_clustered.h5ad,15,18,2026-05-11 18:30:55,
32/765,ERX11876754,success,clustered_20260509/ERX11876754_clustered.h5ad,20,25,2026-05-11 18:30:57,
33/765,ERX11876755,success,clustered_20260509/ERX11876755_clustered.h5ad,17,18,2026-05-11 18:31:02,
28/765,ERX11876750,success,clustered_20260509/ERX11876750_clustered.h5ad,12,12,2026-05-11 18:31:06,
30/765,ERX11876752,success,clustered_20260509/ERX11876752_clustered.h5ad,17,19,2026-05-11 18:31:07,
40/765,ERX11876764,success,clustered_20260509/ERX11876764_clustered.h5ad,3,4,2026-05-11 18:31:23,
39/765,ERX11876763,success,clustered_20260509/ERX11876763_clustered.h5ad,3,2,2026-05-11 18:31:23,
34/765,ERX11876756,success,clustered_20260509/ERX11876756_clustered.h5ad,16,21,2026-05-11 18:31:26,
42/765,ERX11876767,success,clustered_20260509/ERX11876767_clustered.h5ad,3,2,2026-05-11 18:31:39,
38/765,ERX11876760,success,clustered_20260509/ERX11876760_clustered.h5ad,19,19,2026-05-11 18:31:39,
41/765,ERX11876765,success,clustered_20260509/ERX11876765_clustered.h5ad,6,11,2026-05-11 18:31:40,
36/765,ERX11876758,success,clustered_20260509/ERX11876758_clustered.h5ad,16,12,2026-05-11 18:31:53,
37/765,ERX11876759,success,clustered_20260509/ERX11876759_clustered.h5ad,8,5,2026-05-11 18:31:55,
43/765,ERX11876768,success,clustered_20260509/ERX11876768_clustered.h5ad,11,10,2026-05-11 18:31:55,
35/765,ERX11876757,success,clustered_20260509/ERX11876757_clustered.h5ad,16,18,2026-05-11 18:32:02,
45/765,ERX11876770,success,clustered_20260509/ERX11876770_clustered.h5ad,18,23,2026-05-11 18:32:18,
49/765,ERX4409915,success,clustered_20260509/ERX4409915_clustered.h5ad,4,1,2026-05-11 18:32:28,
48/765,ERX4409913,success,clustered_20260509/ERX4409913_clustered.h5ad,2,1,2026-05-11 18:32:29,
20/765,ERX11662377,success,clustered_20260509/ERX11662377_clustered.h5ad,19,17,2026-05-11 18:32:37,
46/765,ERX11876771,success,clustered_20260509/ERX11876771_clustered.h5ad,16,20,2026-05-11 18:32:43,
44/765,ERX11876769,success,clustered_20260509/ERX11876769_clustered.h5ad,10,7,2026-05-11 18:32:55,
50/765,ERX8831394,success,clustered_20260509/ERX8831394_clustered.h5ad,1,1,2026-05-11 18:32:55,
21/765,ERX11662378,success,clustered_20260509/ERX11662378_clustered.h5ad,18,6,2026-05-11 18:32:58,
47/765,ERX11876772,success,clustered_20260509/ERX11876772_clustered.h5ad,12,21,2026-05-11 18:33:09,
57/765,SRX10048376,success,clustered_20260509/SRX10048376_clustered.h5ad,20,24,2026-05-11 18:33:19,
54/765,SRX10008476,success,clustered_20260509/SRX10008476_clustered.h5ad,4,3,2026-05-11 18:33:21,
53/765,ERX8831397,success,clustered_20260509/ERX8831397_clustered.h5ad,1,1,2026-05-11 18:33:48,
51/765,ERX8831395,success,clustered_20260509/ERX8831395_clustered.h5ad,1,1,2026-05-11 18:33:57,
52/765,ERX8831396,success,clustered_20260509/ERX8831396_clustered.h5ad,3,1,2026-05-11 18:33:58,
63/765,SRX10048393,success,clustered_20260509/SRX10048393_clustered.h5ad,11,14,2026-05-11 18:34:05,
56/765,SRX10048375,success,clustered_20260509/SRX10048375_clustered.h5ad,21,15,2026-05-11 18:34:07,
66/765,SRX10048397,success,clustered_20260509/SRX10048397_clustered.h5ad,16,14,2026-05-11 18:34:17,
65/765,SRX10048396,success,clustered_20260509/SRX10048396_clustered.h5ad,13,18,2026-05-11 18:34:17,
61/765,SRX10048389,success,clustered_20260509/SRX10048389_clustered.h5ad,21,18,2026-05-11 18:34:21,
55/765,SRX10048373,success,clustered_20260509/SRX10048373_clustered.h5ad,24,20,2026-05-11 18:34:23,
60/765,SRX10048385,success,clustered_20260509/SRX10048385_clustered.h5ad,23,21,2026-05-11 18:34:28,
68/765,SRX10152685,success,clustered_20260509/SRX10152685_clustered.h5ad,21,24,2026-05-11 18:34:37,
64/765,SRX10048395,success,clustered_20260509/SRX10048395_clustered.h5ad,18,17,2026-05-11 18:34:45,
73/765,SRX10335835,success,clustered_20260509/SRX10335835_clustered.h5ad,4,6,2026-05-11 18:34:50,
24/765,ERX11662383,success,clustered_20260509/ERX11662383_clustered.h5ad,1,4,2026-05-11 18:34:59,
59/765,SRX10048380,success,clustered_20260509/SRX10048380_clustered.h5ad,22,17,2026-05-11 18:35:00,
70/765,SRX10327364,success,clustered_20260509/SRX10327364_clustered.h5ad,5,4,2026-05-11 18:35:01,
