position,srx,status,r2_file,timestamp,error
1/801,ERX11662371,success,designated_clustering_1/ERX11662371_clustered.h5ad,2026-05-18 16:26:39,
3/801,ERX11662373,success,designated_clustering_1/ERX11662373_clustered.h5ad,2026-05-18 16:26:46,
2/801,SRX19233503,success,designated_clustering_1/SRX19233503_clustered.h5ad,2026-05-18 16:27:02,
4/801,ERX11662385,success,designated_clustering_1/ERX11662385_clustered.h5ad,2026-05-18 16:27:36,
13/801,ERX8831394,success,designated_clustering_1/ERX8831394_clustered.h5ad,2026-05-18 16:28:02,
8/801,ERX11662370,success,designated_clustering_1/ERX11662370_clustered.h5ad,2026-05-18 16:29:14,
15/801,SRX20098024,success,designated_clustering_1/SRX20098024_clustered.h5ad,2026-05-18 16:29:43,
9/801,ERX11662369,success,designated_clustering_1/ERX11662369_clustered.h5ad,2026-05-18 16:30:43,
16/801,SRX22613097,success,designated_clustering_1/SRX22613097_clustered.h5ad,2026-05-18 16:30:44,
17/801,SRX19233504,success,designated_clustering_1/SRX19233504_clustered.h5ad,2026-05-18 16:31:31,
19/801,ERX11662375,success,designated_clustering_1/ERX11662375_clustered.h5ad,2026-05-18 16:33:32,
5/801,ERX11662357,success,designated_clustering_1/ERX11662357_clustered.h5ad,2026-05-18 16:33:35,
14/801,ERX8831397,success,designated_clustering_1/ERX8831397_clustered.h5ad,2026-05-18 16:34:11,
21/801,ERX11662384,success,designated_clustering_1/ERX11662384_clustered.h5ad,2026-05-18 16:34:51,
22/801,ERX11662361,success,designated_clustering_1/ERX11662361_clustered.h5ad,2026-05-18 16:36:02,
23/801,SRX22613099,success,designated_clustering_1/SRX22613099_clustered.h5ad,2026-05-18 16:36:16,
24/801,SRX22613094,success,designated_clustering_1/SRX22613094_clustered.h5ad,2026-05-18 16:37:14,
26/801,ERX11662382,success,designated_clustering_1/ERX11662382_clustered.h5ad,2026-05-18 16:37:29,
25/801,SRX22613095,success,designated_clustering_1/SRX22613095_clustered.h5ad,2026-05-18 16:38:00,
6/801,ERX11662360,success,designated_clustering_1/ERX11662360_clustered.h5ad,2026-05-18 16:39:06,
20/801,ERX11662381,success,designated_clustering_1/ERX11662381_clustered.h5ad,2026-05-18 16:39:12,
29/801,SRX22613098,success,designated_clustering_1/SRX22613098_clustered.h5ad,2026-05-18 16:39:48,
10/801,ERX11662367,success,designated_clustering_1/ERX11662367_clustered.h5ad,2026-05-18 16:40:56,
31/801,ERX8831396,success,designated_clustering_1/ERX8831396_clustered.h5ad,2026-05-18 16:41:52,
18/801,ERX11662376,success,designated_clustering_1/ERX11662376_clustered.h5ad,2026-05-18 16:42:44,
33/801,SRX10327362,success,designated_clustering_1/SRX10327362_clustered.h5ad,2026-05-18 16:43:19,
32/801,SRX19192164,success,designated_clustering_1/SRX19192164_clustered.h5ad,2026-05-18 16:44:57,
30/801,ERX11662338,success,designated_clustering_1/ERX11662338_clustered.h5ad,2026-05-18 16:45:08,
36/801,ERX11876760,success,designated_clustering_1/ERX11876760_clustered.h5ad,2026-05-18 16:45:12,
35/801,ERX11876750,success,designated_clustering_1/ERX11876750_clustered.h5ad,2026-05-18 16:45:56,
38/801,ERX11876767,success,designated_clustering_1/ERX11876767_clustered.h5ad,2026-05-18 16:46:00,
37/801,ERX11876763,success,designated_clustering_1/ERX11876763_clustered.h5ad,2026-05-18 16:46:02,
11/801,ERX11662377,success,designated_clustering_1/ERX11662377_clustered.h5ad,2026-05-18 16:46:36,
12/801,ERX11662378,success,designated_clustering_1/ERX11662378_clustered.h5ad,2026-05-18 16:46:49,
34/801,SRX26771412,success,designated_clustering_1/SRX26771412_clustered.h5ad,2026-05-18 16:47:21,
42/801,ERX11876753,success,designated_clustering_1/ERX11876753_clustered.h5ad,2026-05-18 16:47:42,
7/801,ERX11662364,success,designated_clustering_1/ERX11662364_clustered.h5ad,2026-05-18 16:48:02,
40/801,ERX11876755,success,designated_clustering_1/ERX11876755_clustered.h5ad,2026-05-18 16:48:05,
41/801,ERX11876754,success,designated_clustering_1/ERX11876754_clustered.h5ad,2026-05-18 16:48:23,
44/801,ERX11876768,success,designated_clustering_1/ERX11876768_clustered.h5ad,2026-05-18 16:48:31,
47/801,ERX11876765,success,designated_clustering_1/ERX11876765_clustered.h5ad,2026-05-18 16:48:59,
39/801,SRX18248070,success,designated_clustering_1/SRX18248070_clustered.h5ad,2026-05-18 16:49:19,
27/801,ERX11662366,success,designated_clustering_1/ERX11662366_clustered.h5ad,2026-05-18 16:49:25,
43/801,ERX11876769,success,designated_clustering_1/ERX11876769_clustered.h5ad,2026-05-18 16:49:42,
50/801,SRX22996343,success,designated_clustering_1/SRX22996343_clustered.h5ad,2026-05-18 16:49:57,
