position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
1/801,ERX11662371,success,designated_clustering_2/ERX11662371_clustered.h5ad,2026-05-19 16:07:50,,1.0,25,50.32604523003101,20,16,4,26,14,286,2554,5.685932882478941
3/801,ERX11662373,success,designated_clustering_2/ERX11662373_clustered.h5ad,2026-05-19 16:07:52,,0.4,17,50.11686710640788,10,10,0,16,9,243,2881,4.088368632640313
2/801,SRX19233503,success,designated_clustering_2/SRX19233503_clustered.h5ad,2026-05-19 16:08:01,,0.1,42,50.180380791425705,7,7,0,1,1,31,4373,0.469471758518169
4/801,ERX11662385,success,designated_clustering_2/ERX11662385_clustered.h5ad,2026-05-19 16:08:28,,0.1,15,50.80723166465759,6,6,0,1,1,269,6660,0.33438438438437934
13/801,ERX8831394,success,designated_clustering_2/ERX8831394_clustered.h5ad,2026-05-19 16:08:53,,0.1,50,36.370958387851715,1,1,0,1,1,273,3981,0.9999999999999749
8/801,ERX11662370,success,designated_clustering_2/ERX11662370_clustered.h5ad,2026-05-19 16:09:56,,0.1,47,50.26959627866745,4,4,0,1,1,693,8488,0.7730914231856648
15/801,SRX20098024,success,designated_clustering_2/SRX20098024_clustered.h5ad,2026-05-19 16:10:38,,0.3,30,50.25494284927845,7,7,0,10,4,160,5235,1.2383137965001183
9/801,ERX11662369,success,designated_clustering_2/ERX11662369_clustered.h5ad,2026-05-19 16:10:59,,0.1,49,50.236889719963074,4,4,0,1,1,253,12313,0.49744172825468613
16/801,SRX22613097,success,designated_clustering_2/SRX22613097_clustered.h5ad,2026-05-19 16:11:23,,0.1,50,37.4005526304245,1,1,0,1,1,71,3261,0.9999999999999694
17/801,SRX19233504,success,designated_clustering_2/SRX19233504_clustered.h5ad,2026-05-19 16:12:21,,0.1,37,50.061701238155365,5,5,0,1,1,49,4603,0.6608733434716345
5/801,ERX11662357,success,designated_clustering_2/ERX11662357_clustered.h5ad,2026-05-19 16:13:54,,0.1,49,50.18012821674347,8,8,0,1,1,456,15876,0.4162887377173065
19/801,ERX11662375,success,designated_clustering_2/ERX11662375_clustered.h5ad,2026-05-19 16:14:00,,1.9,15,56.30830526351929,29,23,6,23,14,451,4259,3.2418397254806717
14/801,ERX8831397,success,designated_clustering_2/ERX8831397_clustered.h5ad,2026-05-19 16:14:28,,0.1,50,31.96093887090683,1,1,0,1,1,149,12399,0.9999999999999919
21/801,ERX11662384,success,designated_clustering_2/ERX11662384_clustered.h5ad,2026-05-19 16:15:13,,0.8,35,50.17537102103233,14,11,3,14,8,298,2534,2.7888475541370754
23/801,SRX22613099,success,designated_clustering_2/SRX22613099_clustered.h5ad,2026-05-19 16:16:25,,0.1,50,45.18413692712784,2,2,0,8,4,152,2491,0.9816189763766663
22/801,ERX11662361,success,designated_clustering_2/ERX11662361_clustered.h5ad,2026-05-19 16:16:26,,0.2,32,50.050245225429535,7,7,0,17,8,513,4910,2.863687392441413
24/801,SRX22613094,success,designated_clustering_2/SRX22613094_clustered.h5ad,2026-05-19 16:17:36,,0.2,50,43.505966663360596,3,2,1,17,5,103,2339,0.8232745139092841
26/801,ERX11662382,success,designated_clustering_2/ERX11662382_clustered.h5ad,2026-05-19 16:17:36,,1.6,15,54.017043113708496,18,17,1,20,12,223,1428,5.159076239790522
25/801,SRX22613095,success,designated_clustering_2/SRX22613095_clustered.h5ad,2026-05-19 16:18:26,,0.1,50,43.61688122153282,1,1,0,1,1,129,3093,0.9999999999999677
6/801,ERX11662360,success,designated_clustering_2/ERX11662360_clustered.h5ad,2026-05-19 16:19:13,,0.1,33,50.341808050870895,6,6,0,1,1,2177,22701,0.4363684419188563
20/801,ERX11662381,success,designated_clustering_2/ERX11662381_clustered.h5ad,2026-05-19 16:20:00,,0.1,50,48.80914390087128,5,5,0,1,1,121,11579,0.37196649106140106
29/801,SRX22613098,success,designated_clustering_2/SRX22613098_clustered.h5ad,2026-05-19 16:20:13,,0.1,50,46.54610455036163,2,2,0,13,7,92,2994,1.163016756322175
18/801,ERX11662376,success,designated_clustering_2/ERX11662376_clustered.h5ad,2026-05-19 16:22:09,,0.1,27,50.0103235244751,3,3,0,1,1,336,21214,0.8460450645799904
31/801,ERX8831396,success,designated_clustering_2/ERX8831396_clustered.h5ad,2026-05-19 16:22:24,,0.1,50,38.43994215130806,1,1,0,6,3,344,5064,0.983807266982603
10/801,ERX11662367,success,designated_clustering_2/ERX11662367_clustered.h5ad,2026-05-19 16:22:58,,0.1,50,45.27468755841255,6,6,0,1,1,1161,24377,0.36575460475037797
33/801,SRX10327362,success,designated_clustering_2/SRX10327362_clustered.h5ad,2026-05-19 16:24:39,,0.5,22,50.19984133541584,6,5,1,6,6,1548,4128,2.337441055338811
32/801,SRX19192164,success,designated_clustering_2/SRX19192164_clustered.h5ad,2026-05-19 16:25:24,,0.1,34,50.01295655965805,6,6,0,1,1,874,11815,0.595683453237405
30/801,ERX11662338,success,designated_clustering_2/ERX11662338_clustered.h5ad,2026-05-19 16:25:27,,0.2,18,50.132251251488924,9,9,0,27,14,1896,13203,4.548302344377436
11/801,ERX11662377,success,designated_clustering_2/ERX11662377_clustered.h5ad,2026-05-19 16:25:31,,1.3,29,50.13900101184845,24,17,7,27,19,1477,27467,3.7233112488978497
38/801,ERX11876767,success,designated_clustering_2/ERX11876767_clustered.h5ad,2026-05-19 16:26:19,,0.2,50,46.632640063762665,3,2,1,12,3,76,1332,1.5496940352615711
36/801,ERX11876760,success,designated_clustering_2/ERX11876760_clustered.h5ad,2026-05-19 16:26:20,,1.6,26,50.01026876270771,24,19,5,25,19,923,3312,7.95946071344515
37/801,ERX11876763,success,designated_clustering_2/ERX11876763_clustered.h5ad,2026-05-19 16:26:32,,0.4,50,41.872839629650116,5,2,3,15,3,74,2396,1.101884904185646
35/801,ERX11876750,success,designated_clustering_2/ERX11876750_clustered.h5ad,2026-05-19 16:26:39,,0.8,25,50.26935860514641,15,12,3,23,12,728,6442,4.241456275556175
12/801,ERX11662378,success,designated_clustering_2/ERX11662378_clustered.h5ad,2026-05-19 16:26:43,,0.2,42,50.055914372205734,8,6,2,26,18,331,29142,3.059618010690126
34/801,SRX26771412,success,designated_clustering_2/SRX26771412_clustered.h5ad,2026-05-19 16:28:01,,0.1,41,50.09058341383934,9,8,1,1,1,712,11276,0.3006385242993943
42/801,ERX11876753,success,designated_clustering_2/ERX11876753_clustered.h5ad,2026-05-19 16:28:46,,0.7,15,51.44278407096863,11,7,4,19,10,301,3435,3.484957956619905
44/801,ERX11876768,success,designated_clustering_2/ERX11876768_clustered.h5ad,2026-05-19 16:28:59,,0.9,45,50.107213854789734,13,10,3,19,11,272,3457,2.7996123599433673
40/801,ERX11876755,success,designated_clustering_2/ERX11876755_clustered.h5ad,2026-05-19 16:29:21,,0.7,15,50.28573274612427,20,18,2,25,17,493,5528,8.639985042889899
27/801,ERX11662366,success,designated_clustering_2/ERX11662366_clustered.h5ad,2026-05-19 16:29:44,,1.1,50,49.89695847034454,23,21,2,18,12,463,20914,3.761147743732619
41/801,ERX11876754,success,designated_clustering_2/ERX11876754_clustered.h5ad,2026-05-19 16:29:49,,1.5,33,50.229816883802414,27,25,2,27,20,791,6043,9.08914176304563
47/801,ERX11876765,success,designated_clustering_2/ERX11876765_clustered.h5ad,2026-05-19 16:30:06,,0.9,50,49.30860102176666,14,11,3,14,6,79,1857,3.6506183451993164
43/801,ERX11876769,success,designated_clustering_2/ERX11876769_clustered.h5ad,2026-05-19 16:30:17,,0.3,46,50.01222863793373,8,7,1,16,10,1281,6793,2.7463595768065656
7/801,ERX11662364,success,designated_clustering_2/ERX11662364_clustered.h5ad,2026-05-19 16:30:26,,0.1,26,50.20269826054573,4,4,0,1,1,268,31624,0.6024538325322522
39/801,SRX18248070,success,designated_clustering_2/SRX18248070_clustered.h5ad,2026-05-19 16:31:09,,1.9,50,49.64928179979324,24,21,3,21,13,646,11142,3.94885685495338
49/801,ERX11876770,success,designated_clustering_2/ERX11876770_clustered.h5ad,2026-05-19 16:31:12,,1.7,15,53.49671244621277,27,23,4,25,18,283,2724,11.092035861870142
50/801,SRX22996343,success,designated_clustering_2/SRX22996343_clustered.h5ad,2026-05-19 16:31:20,,0.2,21,50.20827278494835,15,15,0,26,12,116,3801,6.223401629694404
45/801,ERX11876758,success,designated_clustering_2/ERX11876758_clustered.h5ad,2026-05-19 16:31:23,,0.5,15,51.28672122955322,14,12,2,26,16,643,6083,6.888319783230822
46/801,ERX11876751,success,designated_clustering_2/ERX11876751_clustered.h5ad,2026-05-19 16:31:25,,0.7,19,50.061594508588314,13,12,1,20,11,430,4633,3.4313444206941766
53/801,SRX22996385,success,designated_clustering_2/SRX22996385_clustered.h5ad,2026-05-19 16:31:57,,0.1,19,50.15775337815285,7,7,0,19,11,189,5006,3.2743534452306213
48/801,SRX26487574,success,designated_clustering_2/SRX26487574_clustered.h5ad,2026-05-19 16:32:16,,0.4,50,47.568002343177795,7,7,0,16,8,67,8567,1.4245555004869574
56/801,SRX22996310,success,designated_clustering_2/SRX22996310_clustered.h5ad,2026-05-19 16:32:24,,0.9,15,52.323901653289795,16,15,1,26,17,111,3025,8.167152077286044
55/801,SRX22996351,success,designated_clustering_2/SRX22996351_clustered.h5ad,2026-05-19 16:32:29,,0.3,37,50.22515878081322,8,8,0,24,11,181,4005,5.362742176135589
52/801,ERX11876748,success,designated_clustering_2/ERX11876748_clustered.h5ad,2026-05-19 16:32:53,,1.2,21,50.250620394945145,22,18,4,22,15,543,6877,3.913333129108588
57/801,SRX25038166,success,designated_clustering_2/SRX25038166_clustered.h5ad,2026-05-19 16:32:56,,0.8,19,50.02620108425617,17,12,5,24,14,229,4829,5.270789366993457
59/801,SRX22996360,success,designated_clustering_2/SRX22996360_clustered.h5ad,2026-05-19 16:33:02,,1.2,20,50.27912333607674,19,18,1,24,16,548,2826,6.5806740770280525
51/801,SRX20407496,success,designated_clustering_2/SRX20407496_clustered.h5ad,2026-05-19 16:33:23,,0.2,33,50.03634765744209,6,6,0,27,12,696,8546,3.4266614918114047
