position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
1/116,SRX10048389,skipped,cytetype_pipeline_20260522_175813/SRX10048389_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX10048389_cyteonto.csv,,,2026-05-26 12:11:56,,
2/116,SRX10100448,success,cytetype_pipeline_20260522_175813/SRX10100448_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX10100448_cyteonto.csv,run-09924a8e-0682-4d92-b66e-500f356853b6,output/cyteonto_pipeline/20260526_121155/results/SRX10100448_cyteonto.csv,2026-05-26 12:15:37,220.65,
3/116,SRX11438989,success,cytetype_pipeline_20260522_175813/SRX11438989_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX11438989_cyteonto.csv,run-af67a97f-1bca-4ac8-aa5d-01afbc5a8d33,output/cyteonto_pipeline/20260526_121155/results/SRX11438989_cyteonto.csv,2026-05-26 12:17:13,96.46,
4/116,SRX12285822,success,cytetype_pipeline_20260522_175813/SRX12285822_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX12285822_cyteonto.csv,run-15ea22c6-aef0-40cc-9e53-5b0195fe4c8b,output/cyteonto_pipeline/20260526_121155/results/SRX12285822_cyteonto.csv,2026-05-26 12:19:03,109.53,
5/116,SRX14098306,success,cytetype_pipeline_20260522_175813/SRX14098306_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14098306_cyteonto.csv,run-73f9c737-1abf-49e3-942b-1c6c5cede1fa,output/cyteonto_pipeline/20260526_121155/results/SRX14098306_cyteonto.csv,2026-05-26 12:21:06,123.18,
6/116,SRX14767851,success,cytetype_pipeline_20260522_175813/SRX14767851_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14767851_cyteonto.csv,run-81cb46db-a6f4-4698-b284-08222e566c01,output/cyteonto_pipeline/20260526_121155/results/SRX14767851_cyteonto.csv,2026-05-26 12:22:54,108.36,
7/116,SRX14767852,success,cytetype_pipeline_20260522_175813/SRX14767852_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14767852_cyteonto.csv,run-f398bd24-8357-4b4b-98a5-1f3df65e640a,output/cyteonto_pipeline/20260526_121155/results/SRX14767852_cyteonto.csv,2026-05-26 12:24:47,112.84,
8/116,SRX14767853,success,cytetype_pipeline_20260522_175813/SRX14767853_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14767853_cyteonto.csv,run-099324de-ca30-470d-9e28-762ec5b04851,output/cyteonto_pipeline/20260526_121155/results/SRX14767853_cyteonto.csv,2026-05-26 12:26:40,112.61,
9/116,SRX14767854,success,cytetype_pipeline_20260522_175813/SRX14767854_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14767854_cyteonto.csv,run-33a14289-0794-44bd-a254-22e628303c82,output/cyteonto_pipeline/20260526_121155/results/SRX14767854_cyteonto.csv,2026-05-26 12:28:27,107.14,
10/116,SRX14767855,success,cytetype_pipeline_20260522_175813/SRX14767855_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX14767855_cyteonto.csv,run-b976bbeb-aa0e-45c4-bdda-b77eb45335de,output/cyteonto_pipeline/20260526_121155/results/SRX14767855_cyteonto.csv,2026-05-26 12:30:17,110.26,
