run_id,algorithm,pair_index,author_label,algorithm_label,author_ontology_id,author_embedding_similarity,algorithm_ontology_id,algorithm_embedding_similarity,cytescore_similarity,similarity_method,pair_label,accession,table_filepath
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,0,capillary endothelial cell,Aerocyte,CL:0002144,0.6632,CL:0002651,0.5392,0.0681,cytescore,capillary endothelial cellAerocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,1,pulmonary alveolar type 1 cell,AT2-to-AT1 transitional cells,CL:0002062,0.7371,CL:1000365,0.6004,0.0782,cytescore,pulmonary alveolar type 1 cellAT2-to-AT1 transitional cells,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,2,pulmonary alveolar type 2 cell,AT2 cells - ion transport activated,CL:0002063,0.7484,CL:4030016,0.5986,0.1004,cytescore,pulmonary alveolar type 2 cellAT2 cells - ion transport activated,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,3,macrophage,Ciliated macrophage-like,CL:0009048,0.6254,CL:0000421,0.609,0.3028,cytescore,macrophageCiliated macrophage-like,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,7,capillary endothelial cell,Alveolar capillary endothelial cell,CL:0002144,0.6632,CL:4028002,0.7446,0.6372,cytescore,capillary endothelial cellAlveolar capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,9,alveolar adventitial fibroblast,Adventitial fibroblast,CL:4028006,0.7123,CL:1000306,0.6503,0.6097,cytescore,alveolar adventitial fibroblastAdventitial fibroblast,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,10,endothelial cell of lymphatic vessel,Lymphatic capillary endothelial cell,CL:0002138,0.7041,CL:1000411,0.6869,0.5183,cytescore,endothelial cell of lymphatic vesselLymphatic capillary endothelial cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,12,macrophage,Plasma cell,CL:0009048,0.6254,CL:0000946,0.6399,0.1134,cytescore,macrophagePlasma cell,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,14,"CD4-positive, alpha-beta T cell",T cell,CL:0000624,0.7171,CL:0000084,0.5812,0.585,cytescore,"CD4-positive, alpha-beta T cellT cell",SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
run-a0b506b8-7851-49ac-9e6d-1f549880f38c,algo1,16,B cell,Classical monocyte,CL:0000944,0.6114,CL:0000860,0.7014,0.1232,cytescore,B cellClassical monocyte,SRX10048389,/Users/otodreas/Desktop/Work/Nygen/scBaseCount_Pipeline/output/cyteonto_pipeline/20260526_112224/results/SRX10048389_cyteonto.csv
