position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
1/116,SRX10048389,dry_run,cytetype_pipeline_20260522_175813/SRX10048389_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX10048389_cyteonto.csv,,,2026-05-26 11:11:01,,
2/116,SRX10100448,dry_run,cytetype_pipeline_20260522_175813/SRX10100448_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX10100448_cyteonto.csv,,,2026-05-26 11:11:01,,
3/116,SRX11438989,dry_run,cytetype_pipeline_20260522_175813/SRX11438989_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX11438989_cyteonto.csv,,,2026-05-26 11:11:01,,
4/116,SRX12285822,dry_run,cytetype_pipeline_20260522_175813/SRX12285822_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX12285822_cyteonto.csv,,,2026-05-26 11:11:01,,
5/116,SRX14098306,dry_run,cytetype_pipeline_20260522_175813/SRX14098306_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14098306_cyteonto.csv,,,2026-05-26 11:11:01,,
6/116,SRX14767851,dry_run,cytetype_pipeline_20260522_175813/SRX14767851_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14767851_cyteonto.csv,,,2026-05-26 11:11:01,,
7/116,SRX14767852,dry_run,cytetype_pipeline_20260522_175813/SRX14767852_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14767852_cyteonto.csv,,,2026-05-26 11:11:01,,
8/116,SRX14767853,dry_run,cytetype_pipeline_20260522_175813/SRX14767853_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14767853_cyteonto.csv,,,2026-05-26 11:11:01,,
9/116,SRX14767854,dry_run,cytetype_pipeline_20260522_175813/SRX14767854_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14767854_cyteonto.csv,,,2026-05-26 11:11:01,,
10/116,SRX14767855,dry_run,cytetype_pipeline_20260522_175813/SRX14767855_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX14767855_cyteonto.csv,,,2026-05-26 11:11:01,,
11/116,SRX15263316,dry_run,cytetype_pipeline_20260522_175813/SRX15263316_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX15263316_cyteonto.csv,,,2026-05-26 11:11:01,,
12/116,SRX15263317,dry_run,cytetype_pipeline_20260522_175813/SRX15263317_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX15263317_cyteonto.csv,,,2026-05-26 11:11:01,,
13/116,SRX17137139,dry_run,cytetype_pipeline_20260522_175813/SRX17137139_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17137139_cyteonto.csv,,,2026-05-26 11:11:01,,
14/116,SRX17412809,dry_run,cytetype_pipeline_20260522_175813/SRX17412809_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412809_cyteonto.csv,,,2026-05-26 11:11:01,,
15/116,SRX17412812,dry_run,cytetype_pipeline_20260522_175813/SRX17412812_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412812_cyteonto.csv,,,2026-05-26 11:11:01,,
16/116,SRX17412813,dry_run,cytetype_pipeline_20260522_175813/SRX17412813_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412813_cyteonto.csv,,,2026-05-26 11:11:01,,
17/116,SRX17412814,dry_run,cytetype_pipeline_20260522_175813/SRX17412814_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412814_cyteonto.csv,,,2026-05-26 11:11:01,,
18/116,SRX17412815,dry_run,cytetype_pipeline_20260522_175813/SRX17412815_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412815_cyteonto.csv,,,2026-05-26 11:11:01,,
19/116,SRX17412820,dry_run,cytetype_pipeline_20260522_175813/SRX17412820_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412820_cyteonto.csv,,,2026-05-26 11:11:01,,
20/116,SRX17412823,dry_run,cytetype_pipeline_20260522_175813/SRX17412823_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412823_cyteonto.csv,,,2026-05-26 11:11:01,,
21/116,SRX17412828,dry_run,cytetype_pipeline_20260522_175813/SRX17412828_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412828_cyteonto.csv,,,2026-05-26 11:11:01,,
22/116,SRX17412832,dry_run,cytetype_pipeline_20260522_175813/SRX17412832_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412832_cyteonto.csv,,,2026-05-26 11:11:01,,
23/116,SRX17412848,dry_run,cytetype_pipeline_20260522_175813/SRX17412848_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412848_cyteonto.csv,,,2026-05-26 11:11:01,,
24/116,SRX17412850,dry_run,cytetype_pipeline_20260522_175813/SRX17412850_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17412850_cyteonto.csv,,,2026-05-26 11:11:01,,
25/116,SRX17664572,dry_run,cytetype_pipeline_20260522_175813/SRX17664572_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17664572_cyteonto.csv,,,2026-05-26 11:11:01,,
26/116,SRX17689200,dry_run,cytetype_pipeline_20260522_175813/SRX17689200_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17689200_cyteonto.csv,,,2026-05-26 11:11:01,,
27/116,SRX17689203,dry_run,cytetype_pipeline_20260522_175813/SRX17689203_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17689203_cyteonto.csv,,,2026-05-26 11:11:01,,
28/116,SRX17689209,dry_run,cytetype_pipeline_20260522_175813/SRX17689209_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17689209_cyteonto.csv,,,2026-05-26 11:11:01,,
29/116,SRX17896691,dry_run,cytetype_pipeline_20260522_175813/SRX17896691_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX17896691_cyteonto.csv,,,2026-05-26 11:11:01,,
