position,srx,status,input_r2_file,output_r2_file,timestamp,duration_seconds,error
1/116,SRX17412823,success,designated_clustering_2/SRX17412823_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412823_annotated.h5ad,2026-05-22 18:14:30,973.20,
2/116,SRX6812462,success,designated_clustering_2/SRX6812462_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX6812462_annotated.h5ad,2026-05-22 18:43:11,893.99,
3/116,SRX19844821,success,designated_clustering_2/SRX19844821_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844821_annotated.h5ad,2026-05-22 19:20:22,1324.76,
4/116,SRX19844846,success,designated_clustering_2/SRX19844846_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844846_annotated.h5ad,2026-05-22 19:51:56,1419.60,
5/116,SRX9276336,success,designated_clustering_2/SRX9276336_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276336_annotated.h5ad,2026-05-22 20:20:19,1321.80,
6/116,SRX27291574,success,designated_clustering_2/SRX27291574_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX27291574_annotated.h5ad,2026-05-22 20:50:55,1358.15,
7/116,SRX17412850,success,designated_clustering_2/SRX17412850_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412850_annotated.h5ad,2026-05-22 21:23:21,1503.72,
8/116,SRX6726382,success,designated_clustering_2/SRX6726382_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX6726382_annotated.h5ad,2026-05-22 21:45:44,1047.26,
9/116,SRX6726383,success,designated_clustering_2/SRX6726383_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX6726383_annotated.h5ad,2026-05-22 22:13:37,920.64,
10/116,SRX27291623,success,designated_clustering_2/SRX27291623_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX27291623_annotated.h5ad,2026-05-22 22:43:21,903.95,
11/116,SRX19704158,success,designated_clustering_2/SRX19704158_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19704158_annotated.h5ad,2026-05-22 23:25:43,1646.50,
12/116,SRX9276309,success,designated_clustering_2/SRX9276309_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276309_annotated.h5ad,2026-05-22 23:49:40,1283.33,
13/116,SRX17412828,success,designated_clustering_2/SRX17412828_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412828_annotated.h5ad,2026-05-23 00:19:25,1267.98,
14/116,SRX17412832,success,designated_clustering_2/SRX17412832_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412832_annotated.h5ad,2026-05-23 00:50:55,1358.46,
15/116,SRX17689209,success,designated_clustering_2/SRX17689209_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17689209_annotated.h5ad,2026-05-23 01:17:42,1165.19,
16/116,SRX19704159,success,designated_clustering_2/SRX19704159_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19704159_annotated.h5ad,2026-05-23 01:49:02,1245.13,
17/116,SRX19844825,success,designated_clustering_2/SRX19844825_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19844825_annotated.h5ad,2026-05-23 02:15:54,1057.04,
18/116,SRX17412848,success,designated_clustering_2/SRX17412848_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17412848_annotated.h5ad,2026-05-23 02:43:15,898.41,
19/116,SRX27113463,success,designated_clustering_2/SRX27113463_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX27113463_annotated.h5ad,2026-05-23 03:15:24,1026.85,
20/116,SRX9276323,success,designated_clustering_2/SRX9276323_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9276323_annotated.h5ad,2026-05-23 03:43:24,906.70,
21/116,SRX19704188,success,designated_clustering_2/SRX19704188_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19704188_annotated.h5ad,2026-05-23 04:20:48,1351.56,
22/116,SRX17689203,success,designated_clustering_2/SRX17689203_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17689203_annotated.h5ad,2026-05-23 04:51:41,1404.33,
23/116,SRX17689200,success,designated_clustering_2/SRX17689200_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17689200_annotated.h5ad,2026-05-23 05:20:41,1344.43,
24/116,SRX19704196,success,designated_clustering_2/SRX19704196_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX19704196_annotated.h5ad,2026-05-23 05:44:38,980.69,
25/116,SRX27291612,success,designated_clustering_2/SRX27291612_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX27291612_annotated.h5ad,2026-05-23 06:21:58,1420.76,
26/116,SRX23724085,success,designated_clustering_2/SRX23724085_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724085_annotated.h5ad,2026-05-23 06:49:09,1251.91,
27/116,SRX10048389,success,designated_clustering_2/SRX10048389_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX10048389_annotated.h5ad,2026-05-23 07:19:22,1265.20,
28/116,SRX15263316,success,designated_clustering_2/SRX15263316_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX15263316_annotated.h5ad,2026-05-23 07:50:10,1313.05,
29/116,SRX23724096,success,designated_clustering_2/SRX23724096_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724096_annotated.h5ad,2026-05-23 08:21:39,1401.74,
30/116,SRX22226494,success,designated_clustering_2/SRX22226494_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX22226494_annotated.h5ad,2026-05-23 08:49:51,1293.83,
31/116,SRX10100448,success,designated_clustering_2/SRX10100448_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX10100448_annotated.h5ad,2026-05-23 09:17:17,1139.79,
32/116,SRX12285822,success,designated_clustering_2/SRX12285822_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX12285822_annotated.h5ad,2026-05-23 09:50:52,1355.55,
33/116,SRX23331471,success,designated_clustering_2/SRX23331471_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23331471_annotated.h5ad,2026-05-23 10:15:48,1050.73,
34/116,SRX8353568,success,designated_clustering_2/SRX8353568_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8353568_annotated.h5ad,2026-05-23 10:48:14,1196.87,
35/116,SRX23724094,success,designated_clustering_2/SRX23724094_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724094_annotated.h5ad,2026-05-23 11:21:33,1396.54,
36/116,SRX23724088,success,designated_clustering_2/SRX23724088_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724088_annotated.h5ad,2026-05-23 11:53:00,1483.12,
37/116,SRX22226492,success,designated_clustering_2/SRX22226492_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX22226492_annotated.h5ad,2026-05-23 12:17:58,1181.62,
38/116,SRX23802731,success,designated_clustering_2/SRX23802731_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23802731_annotated.h5ad,2026-05-23 12:53:11,1493.86,
39/116,SRX23395191,success,designated_clustering_2/SRX23395191_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23395191_annotated.h5ad,2026-05-23 13:17:52,1175.09,
40/116,SRX23724122,success,designated_clustering_2/SRX23724122_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724122_annotated.h5ad,2026-05-23 13:45:48,1051.55,
41/116,SRX22226505,success,designated_clustering_2/SRX22226505_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX22226505_annotated.h5ad,2026-05-23 14:20:31,1333.63,
42/116,SRX17137139,success,designated_clustering_2/SRX17137139_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX17137139_annotated.h5ad,2026-05-23 14:51:07,1370.22,
43/116,SRX11438989,success,designated_clustering_2/SRX11438989_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX11438989_annotated.h5ad,2026-05-23 15:23:32,1515.05,
44/116,SRX23724098,success,designated_clustering_2/SRX23724098_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724098_annotated.h5ad,2026-05-23 15:52:11,1434.16,
45/116,SRX22226500,success,designated_clustering_2/SRX22226500_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX22226500_annotated.h5ad,2026-05-23 16:19:35,1278.39,
46/116,SRX22226496,success,designated_clustering_2/SRX22226496_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX22226496_annotated.h5ad,2026-05-23 16:48:27,1209.74,
47/116,SRX23724110,success,designated_clustering_2/SRX23724110_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX23724110_annotated.h5ad,2026-05-23 17:19:57,1299.77,
48/116,SRX15263317,success,designated_clustering_2/SRX15263317_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX15263317_annotated.h5ad,2026-05-23 17:47:52,1175.11,
