studyAccession,studyTitle,geoAccession,pubmedIds,srxAccession,h5adName,condition,diseaseJson,assayHint,libraryStrategy,tissueType,sampleTitle,conditionEvidence
PRJNA1117768,10x single-cell RNAseq profiling of influenza Virus infected Human Lung Tissue Explants (HLTE),GSE268542,39395995,SRX24732576,SRX24732576.h5ad,control,COPD,scRNA,RNA-Seq,Lung,Human lung tissue cells uninfected control,sampleTitle=Human lung tissue cells uninfected control
PRJNA1117768,10x single-cell RNAseq profiling of influenza Virus infected Human Lung Tissue Explants (HLTE),GSE268542,39395995,SRX24732577,SRX24732577.h5ad,disease,COPD,scRNA,RNA-Seq,Lung,Human lung tissue cells IAV infected,
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038161,SRX25038161.h5ad,control,"lung cancer, COPD",scRNA,RNA-Seq,Lung,"TH122, Control, Organoid, scRNA","sampleTitle=TH122, Control, Organoid, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038162,SRX25038162.h5ad,control,"lung cancer, COPD",scRNA,RNA-Seq,Lung,"TH122, Control, Tissue, scRNA","sampleTitle=TH122, Control, Tissue, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038163,SRX25038163.h5ad,control,lung cancer (patients with COPD),scRNA,RNA-Seq,Lung,"TH137, Control, Organoid, scRNA","sampleTitle=TH137, Control, Organoid, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038164,SRX25038164.h5ad,control,chronic obstructive pulmonary disease (COPD),scRNA,RNA-Seq,Lung,"TH137, Control, Tissue, scRNA","sampleTitle=TH137, Control, Tissue, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038165,SRX25038165.h5ad,disease,chronic obstructive pulmonary disease (COPD),scRNA,RNA-Seq,Lung,"TH147, COPD, Organoid, scRNA",
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038166,SRX25038166.h5ad,disease,COPD,scRNA,RNA-Seq,Lung,"TH147, COPD, Tissue, scRNA",
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038167,SRX25038167.h5ad,control,Chronic Obstructive Pulmonary Disease (COPD),scRNA,RNA-Seq,Lung,"TH153, Control, Organoid, scRNA","sampleTitle=TH153, Control, Organoid, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038168,SRX25038168.h5ad,control,"lung cancer, COPD",scRNA,RNA-Seq,Lung,"TH153, Control, Tissue, scRNA","sampleTitle=TH153, Control, Tissue, scRNA"
PRJNA1127657,Single-cell sequencing highlights increased atypical AT2 interacting with M1 macrophage in COPD,GSE270667,,SRX25038169,SRX25038169.h5ad,disease,COPD,scRNA,RNA-Seq,Lung,"TH154, COPD, Organid, scRNA",
