srx_accession,file_path,obs_count,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX15263316,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263316.h5ad,5356,4763.5,16285.0,5356
SRX15263318,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263318.h5ad,4150,2574.0,6394.0,4150
SRX15263315,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263315.h5ad,7700,3278.5,7705.5,7700
SRX17137139,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17137139.h5ad,19000,2710.0,6768.0,19000
SRX15263317,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263317.h5ad,4433,4110.0,11010.0,4433
SRX22226494,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226494.h5ad,3264,1416.0,2586.5,3264
SRX22226496,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226496.h5ad,3044,1133.0,1852.5,3044
SRX22226498,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226498.h5ad,3308,1337.0,2395.5,3308
SRX22226500,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226500.h5ad,1989,1941.0,3925.0,1989
SRX22226492,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226492.h5ad,3967,2034.0,4055.0,3967
SRX23331468,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331468.h5ad,2862,1731.5,7286.5,2862
SRX23331472,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331472.h5ad,6494,3258.5,9039.0,6494
SRX23331471,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331471.h5ad,7637,5463.0,21010.0,7637
SRX23395191,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395191.h5ad,2178,1456.5,2933.0,2178
SRX23395192,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23395192.h5ad,3034,1049.0,1741.0,3034
SRX23331463,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23331463.h5ad,14073,3104.0,7525.0,14073
SRX12285822,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12285822.h5ad,4377,3538.0,11048.0,4377
SRX11438989,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438989.h5ad,4159,2183.0,5065.0,4159
SRX11438984,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438984.h5ad,3680,2904.0,6742.0,3680
SRX11438987,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438987.h5ad,1481,1380.0,3615.0,1481
SRX11438992,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX11438992.h5ad,2654,2490.0,6175.5,2654
SRX14589433,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14589433.h5ad,6976,1582.0,2935.0,6976
