srx_accession,file_path,obs_count,disease,diseaseLabel,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX17412823,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412823.h5ad,3908,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1365.5,3579.5,3908
SRX6812462,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6812462.h5ad,4665,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,5833.0,23609.0,4665
SRX19844821,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844821.h5ad,11996,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1059.0,1725.0,11996
SRX19844846,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844846.h5ad,1399,idiopathic pulmonary fibrosis,IPF / Pulmonary Fibrosis,1256.0,2725.0,1399
SRX9276336,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9276336.h5ad,4175,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1026.0,2037.0,4175
SRX27291574,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27291574.h5ad,10751,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1395.0,2416.0,10751
SRX17412850,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412850.h5ad,5900,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1128.5,2414.5,5900
SRX6726382,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726382.h5ad,11083,pulmonary fibrosis,IPF / Pulmonary Fibrosis,2582.0,6853.0,11083
SRX6726383,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726383.h5ad,1815,pulmonary fibrosis,IPF / Pulmonary Fibrosis,1786.0,5407.0,1815
SRX27291623,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27291623.h5ad,7873,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1569.0,2261.0,7873
