srx_accession,entrez_id,file_path,obs_count,lib_prep,tech_10x,cell_prep,organism,tissue,tissue_ontology_term_id,disease,disease_ontology_term_id,perturbation,cell_line,antibody_derived_tag,czi_collection_id,czi_collection_name,is_lung,study_accession
SRX19162061,26358130,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162061.h5ad,685,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"lungs, lung-associated lymph nodes","UBERON:0000170,UBERON:0039167",unsure,,unsure,unsure,no,,,True,PRJNA927026
SRX19162060,26358129,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162060.h5ad,1005,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"lung, lung lymph node, mesenteric lymph node","UBERON:0002048,UBERON:0007644,UBERON:0002509",unsure,,none,B cells,no,,,True,PRJNA927026
SRX19162058,26358127,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162058.h5ad,3425,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,"lung, lung-associated lymph nodes, mesenteric lymph nodes","UBERON:0002048,UBERON:0035764,UBERON:0002509",unsure,,unsure,unsure,maybe,,,True,PRJNA927026
SRX19162062,26358131,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162062.h5ad,3522,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung and lung-associated lymph nodes,"UBERON:0002048,UBERON:0035764",none,,none,none,no,,,True,PRJNA927026
SRX19162064,26358133,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162064.h5ad,5478,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung and lung-associated lymph nodes,"UBERON:0002048,UBERON:0035764",unsure,,unsure,unsure,maybe,,,True,PRJNA927026
ERX11662371,34277419,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662371.h5ad,2840,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,unsure,no,,,True,PRJEB68315
SRX19162063,26358132,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162063.h5ad,5054,10x_Genomics,5_prime_gex,single_cell,Homo sapiens,lung and lung-associated lymph nodes,"UBERON:0002048,UBERON:0039167",unsure,,unsure,unsure,no,,,True,PRJNA927026
SRX19233503,26437775,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233503.h5ad,4404,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,distal thrombus from pulmonary artery,UBERON:0010210,chronic thromboembolic pulmonary hypertension,MONDO:0013024,unsure,not_applicable,no,,,True,PRJNA929967
ERX11662373,34280022,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662373.h5ad,3124,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung adenocarcinoma,MONDO:0005061,unsure,not_applicable,no,,,True,PRJEB68315
SRX19233502,26437774,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233502.h5ad,691,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,distal thrombus from pulmonary artery,UBERON:8600060,chronic thromboembolic pulmonary hypertension,MONDO:0013024,none,none,no,,,True,PRJNA929967
ERX11662385,34275557,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662385.h5ad,6929,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,non-small cell lung cancer (NSCLC),MONDO:0005233,not specified,not applicable,no,,,True,PRJEB68315
ERX11662357,34280800,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662357.h5ad,16332,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,tissues kept in cold complete RPMI medium until dissection,patient 20,no,,,True,PRJEB68315
ERX11662360,34277174,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662360.h5ad,24878,10x_Genomics,3_prime_gex,single_cell,Homo sapiens,lung,UBERON:0002048,lung squamous cell carcinoma,MONDO:0005097,unsure,not applicable,no,,,True,PRJEB68315
