position,srx,status,gs_uri,r2_key,md5,timestamp,error
1/1048,SRX19162061,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162061.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162061.h5ad,1yWDD1V/azYCkXRQZGQaNw==,2026-07-30 15:01:11,
2/1048,SRX19162060,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162060.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162060.h5ad,DfNZddXXTcfMPe6YR1wtgw==,2026-07-30 15:01:13,
3/1048,SRX19162058,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162058.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162058.h5ad,TcDAxoXjlFsK/UNVZv+wtg==,2026-07-30 15:01:16,
4/1048,SRX19162062,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162062.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162062.h5ad,33rAROfJYAGgAkcL9riKVg==,2026-07-30 15:01:18,
5/1048,SRX19162064,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162064.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162064.h5ad,26PQCYr21YeTgJylsCOfJQ==,2026-07-30 15:01:22,
6/1048,SRX19162063,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162063.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162063.h5ad,r5GXjqvlsz3YkSL86j8Mhg==,2026-07-30 15:01:24,
7/1048,SRX19233502,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233502.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19233502.h5ad,ogGl7lGcLRY5slQVa0azmw==,2026-07-30 15:01:26,
8/1048,ERX11662380,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662380.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11662380.h5ad,0i+CmnX3Kdm6vFjQkMXJRg==,2026-07-30 15:01:42,
9/1048,SRX19780691,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780691.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780691.h5ad,DltUfOZqZI44J46nI5TWJg==,2026-07-30 15:01:45,
10/1048,SRX19780690,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780690.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19780690.h5ad,ZLb2eDP4KMkDNARJeRha7w==,2026-07-30 15:01:48,
